"subject","arm","median_lfc","sd_lfc","iqr_lfc","q25","q75","n_proteins"
"CR022","CRE",-0.0257385352628905,0.726858253552663,0.91876882366511,-0.496269548402147,0.422499275262963,1944
"CR008","CRE",-0.0252770738633856,0.59632096265864,0.64820574674399,-0.359054868678118,0.289150878065872,1944
"CR163","CRE",-0.0182111789251174,0.432178212838748,0.467367277424952,-0.260078131679421,0.207289145745531,1944
"CR072","CRE",0.00171309288590038,0.821496193532093,1.09343996944378,-0.503522042279094,0.589917927164681,1944
"CR012","CRE",0.0359756789403018,0.569556769793391,0.621428999529025,-0.249011734741851,0.372417264787174,1944
"CR025","CRE",0.0528092440495485,0.722714538238654,0.634582813096955,-0.275967728436443,0.358615084660512,1944
"CR017","PLA",-0.0433626452544686,0.617485410716942,0.613156992272176,-0.322300907379386,0.290856084892789,1944
"CR018","PLA",-0.0164565855498573,0.776557751293768,0.750078116677845,-0.393253333641868,0.356824783035977,1944
"CR149","PLA",-0.00898311160805143,0.726658424460549,0.797433137766342,-0.415000479831879,0.382432657934463,1944
"CR006","PLA",-0.000571417760326653,0.965443695232375,0.675272738639698,-0.32726018979676,0.348012548842938,1944
