"contrast","n_up","n_down","n_total","label"
"Cancer_vs_Healthy",208,79,287,"n = 287  (208↑  79↓)"
"Training_CR",19,9,28,"n = 28  (19↑  9↓)"
"Training_CRE",17,10,27,"n = 27  (17↑  10↓)"
"Training_PLA",24,21,45,"n = 45  (24↑  21↓)"
