pathway,contrast,NES,padj,size,database
GOBP_ACTIN_FILAMENT_ORGANIZATION,Training_CRE,2.3721207156594097,1.930198056767812e-7,128,GO:BP
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Training_CRE,2.3800048434445555,2.177590123538506e-5,61,Hallmark
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,Training_CRE,2.466581598693267,2.177590123538506e-5,16,Reactome
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,Training_CRE,2.351593249115948,7.802965335406124e-5,53,GO:BP
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,Training_CRE,2.278735589505093,1.988071189959495e-4,50,GO Slim
REACTOME_COLLAGEN_DEGRADATION,Training_CRE,2.360766666930371,1.988071189959495e-4,17,Reactome
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,Training_CRE,2.2885195737175126,2.1045986449851967e-4,35,Reactome
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Training_CRE,2.1386531298608316,3.820790431540229e-4,79,Reactome
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,Training_CRE,2.3082479106847233,5.762477652927883e-4,21,Reactome
REACTOME_NEUTROPHIL_DEGRANULATION,Training_CRE,1.8443247475052882,7.572662978142945e-4,197,Reactome
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,Training_CRE,2.281589853256398,8.061693022982348e-4,19,Reactome
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,Training_CRE,2.0910064463819076,8.061693022982348e-4,82,Reactome
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,Training_CRE,2.2405566675416306,9.804165535503232e-4,31,Reactome
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,Training_CRE,2.110135792777163,0.0011816756999761206,69,KEGG
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,Training_CRE,2.248905172553394,0.0016929980436858898,23,Reactome
GOBP_PROTEIN_POLYUBIQUITINATION,Training_CRE,-2.1656897352511697,0.0035360955011838877,42,GO:BP
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,Training_CRE,2.155571045745012,0.0040364915076646435,26,Reactome
REACTOME_RHO_GTPASE_EFFECTORS,Training_CRE,1.9121092735997953,0.004234895787944745,89,Reactome
REACTOME_RRNA_PROCESSING,Training_CRE,1.9318175591527902,0.004257400247843347,76,Reactome
REACTOME_ECM_PROTEOGLYCANS,Training_CRE,2.141713447994397,0.005103367733518914,27,Reactome
