"test","group","statistic","p_value","df","mean_diff","ci_lo","ci_hi","shapiro_p"
"paired_t_CRE","CRE",1.95130863873103,0.0868164628895903,8,2.21111111111111,-0.4019206074047,4.82414282962692,0.309462741597906
"paired_t_PLA","PLA",1.34887753141279,0.226056315237827,6,1.05714285714286,-0.860551911474735,2.97483762576045,0.00169323507426513
"unpaired_t_delta","CRE vs PLA",0.837566775101038,0.416966377064363,13.3969159351043,-1.15396825396825,-1.81356757919342,4.12150408712992,NA
