gene,pattern,sort_key,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,imputed
ACOT1,CRE-specific,-0.9936,-0.9936,0.2567,0.020415,0.889257,0.037666,TRUE
IPO9,CRE-specific,-1.0376,-1.0376,0.8479,0.030485,0.065637,4.4e-5,TRUE
MICU2,CRE-specific,-1.0925,-1.0925,0.5695,0.04466,0.553404,0.007804,TRUE
NGLY1,CRE-specific,-1.4267,-1.4267,0.4961,0.003745,0.511557,3.35e-4,TRUE
HGH1,CRE-specific,-1.6963,-1.6963,1.0385,4.4e-5,0.105847,1e-6,TRUE
TMEM70,PLA-specific,2.4381,-0.2022,2.4381,0.945959,4e-5,1.23e-4,TRUE
EML4,PLA-specific,2.282,-0.9983,2.282,0.105329,2.81e-4,0,TRUE
G3BP2,PLA-specific,2.0231,-0.0968,2.0231,0.985197,4.1e-5,3.14e-4,TRUE
MYL3,PLA-specific,1.8815,-0.5784,1.8815,0.631762,8.44e-4,2.11e-4,FALSE
MRPL13,PLA-specific,1.8526,0.3599,1.8526,0.676764,1.04e-4,0.009848,TRUE
MYH2,PLA-specific,1.8066,-0.2906,1.8066,0.893667,9.39e-4,0.001726,TRUE
SDR39U1,PLA-specific,1.7163,-1.0029,1.7163,0.058616,2.5e-5,0,TRUE
MARCHF5,PLA-specific,1.6816,-0.2019,1.6816,0.917847,0.002781,0.002584,TRUE
IL18,PLA-specific,1.6726,0.1047,1.6726,0.972078,2.14e-4,0.003085,TRUE
C6orf136,PLA-specific,1.6646,0.293,1.6646,0.892752,0.001411,0.08501,TRUE
MYL1,PLA-specific,1.6488,-0.0206,1.6488,0.99936,2.66e-4,0.004596,TRUE
MYOZ1,PLA-specific,1.6249,1.0363,1.6249,0.234165,0.023287,0.776684,TRUE
DRG1,PLA-specific,1.551,-0.1604,1.551,0.957112,1.39e-4,0.001615,TRUE
LPCAT3,PLA-specific,1.464,0.3347,1.464,0.769752,0.00583,0.118603,TRUE
OVCA2,PLA-specific,1.4506,-0.7016,1.4506,0.130656,0.011993,8.7e-5,TRUE
DIAPH2,PLA-specific,1.4496,0.4455,1.4496,0.677688,0.002199,0.199898,TRUE
SLC25A4,PLA-specific,1.4411,-0.1881,1.4411,0.939408,0.001556,0.00442,FALSE
ISCA2,PLA-specific,1.44,0.0421,1.44,0.995776,0.040736,0.067647,TRUE
UBE2F,PLA-specific,1.431,-0.4083,1.431,0.609149,0.001201,1.38e-4,TRUE
NDUFA3,PLA-specific,1.3995,-0.6099,1.3995,0.539387,0.010265,0.001453,TRUE
TIMM8A,PLA-specific,1.3137,-0.8933,1.3137,0.062614,0.003494,2e-6,TRUE
