gene,pattern,sort_key,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,imputed
TUBA8,Interaction,1.3386,-0.3481,0.9906,0.772357,0.058172,0.024973,FALSE
RRAS2,Interaction,1.3331,-0.7542,0.5789,0.166202,0.445227,0.01952,TRUE
MCEE,Interaction,1.326,-0.6155,0.7105,0.226348,0.195914,0.006757,TRUE
ANXA5,Interaction,1.322,0.4514,-0.8707,0.6711,0.172267,0.048822,FALSE
NDRG1,Interaction,1.3204,0.4963,-0.8241,0.441405,0.089437,0.007481,TRUE
LHPP,Interaction,1.3171,-0.7289,0.5882,0.183965,0.331347,0.010897,TRUE
RPL14,Interaction,1.3119,0.7785,-0.5334,0.09632,0.459507,0.011546,TRUE
MXRA7,Interaction,1.2976,0.5606,-0.737,0.377336,0.246814,0.02208,TRUE
TXLNB,Interaction,1.2971,-0.7842,0.5129,0.179545,0.573218,0.037039,TRUE
SYNPO,Interaction,1.293,-0.4243,0.8686,0.531212,0.088361,0.010871,TRUE
C12orf57,Interaction,1.2689,-0.522,0.7469,0.28785,0.200509,0.011916,TRUE
CORO1C,Interaction,1.2688,0.749,-0.5198,0.209677,0.575602,0.046689,TRUE
TIGAR,Interaction,1.2669,-0.5187,0.7483,0.339352,0.189077,0.013029,TRUE
SEPTIN10,Interaction,1.2579,0.1647,-1.0931,0.921187,0.055329,0.035174,TRUE
FABP3,Interaction,1.2474,-0.2999,0.9474,0.824729,0.069262,0.038711,FALSE
PPIA,Interaction,1.2365,0.4048,-0.8317,0.652962,0.107806,0.026195,FALSE
CMBL,Interaction,1.219,-0.5961,0.623,0.310197,0.289252,0.019527,FALSE
GSN,Interaction,1.2188,0.6976,-0.5212,0.247835,0.511671,0.040717,FALSE
SPARC,Interaction,1.216,0.6119,-0.6042,0.346977,0.303171,0.026843,TRUE
OXSM,Interaction,1.2147,-0.3824,0.8323,0.548046,0.106806,0.014321,TRUE
PRKAA1,Interaction,1.2123,-0.3624,0.8499,0.709694,0.108875,0.032575,TRUE
FABP5,Interaction,1.2104,0.4305,-0.7799,0.538219,0.086346,0.011656,FALSE
GLUL,Interaction,1.2082,0.4785,-0.7297,0.426284,0.125226,0.010272,TRUE
TNPO1,Interaction,1.2077,0.4981,-0.7096,0.34745,0.202396,0.015339,TRUE
CTSZ,Interaction,1.2053,0.5718,-0.6335,0.261403,0.230499,0.010164,TRUE
ARFIP1,Interaction,1.2034,0.3533,-0.85,0.676519,0.157292,0.041485,TRUE
ARHGDIB,Interaction,1.1822,0.4587,-0.7235,0.584264,0.216146,0.045144,TRUE
PPP1R2,Interaction,1.1752,-0.67490000000000006,0.5003,0.14862,0.377361,0.010331,TRUE
RAB2B,Interaction,1.1736,-0.7311,0.4425,0.172616,0.590496,0.037288,TRUE
EPS15,Interaction,1.1556,0.4597,-0.6958,0.335486,0.159512,0.010397,TRUE
HSP90B1,Interaction,1.151,0.5654,-0.5856,0.281004,0.268137,0.014428,FALSE
TRIM28,Interaction,1.1483,0.4335,-0.7148,0.484256,0.255112,0.039355,TRUE
MYH10,Interaction,1.1444,0.4917,-0.6527,0.403196,0.195044,0.017585,TRUE
RAB9A,Interaction,1.1351,-0.3587,0.7764,0.542529,0.079203,0.009804,TRUE
LMCD1,Interaction,1.1282,-0.3501,0.7781,0.726442,0.136911,0.046929,FALSE
FECH,Interaction,1.1272,-0.3924,0.7348,0.591908,0.10283,0.018766,TRUE
SPRYD4,Interaction,1.1229,-0.3855,0.7373,0.572301,0.1006,0.015716,TRUE
PDLIM3,Interaction,1.1045,-0.2267,0.8778,0.877099,0.060325,0.044161,TRUE
SLC35A4,Interaction,1.094,-0.5269,0.5671,0.272831,0.372426,0.029751,TRUE
PDIA3,Interaction,1.0894,0.5554,-0.5339,0.325179,0.377128,0.032896,FALSE
COQ9,Interaction,1.0806,-0.3538,0.7268,0.696004,0.151443,0.045651,FALSE
ATP2A2,Interaction,1.0794,-0.4645,0.615,0.50084,0.277014,0.043673,FALSE
IGBP1,Interaction,1.0791,-0.4575,0.6217,0.299379,0.383167,0.049601,TRUE
KTN1,Interaction,1.0753,0.3263,-0.749,0.611682,0.099614,0.017329,TRUE
KPNA3,Interaction,1.0688,-0.2158,0.853,0.881545,0.067452,0.048005,TRUE
MSN,Interaction,1.0629,0.4713,-0.5916,0.472513,0.293051,0.042097999999999997,FALSE
PSMF1,Interaction,1.0621,0.3393,-0.7228,0.697572,0.128048,0.038069,FALSE
MACROD1,Interaction,1.0603,-0.3237,0.7366,0.713773,0.114635,0.035546,TRUE
PGM5,Interaction,1.0563,-0.4493,0.607,0.451996,0.210904,0.023907,FALSE
CYFIP1,Interaction,1.0433,0.3416,-0.7016,0.68217,0.1303,0.038137,TRUE
CNP,Interaction,1.0334,0.3749,-0.6585,0.591532,0.197844,0.038707,TRUE
PRKCSH,Interaction,1.0177,0.3961,-0.6216,0.523404,0.162134,0.023146,FALSE
NLN,Interaction,1.0077,-0.2211,0.7865,0.840902,0.05133,0.028851,TRUE
CTTN,Interaction,1.0075,0.3641,-0.6434,0.530346,0.091918,0.011827,FALSE
DMAC2L,Interaction,1.0043,-0.5579,0.4464,0.219275,0.455163,0.028153,TRUE
HSPA1L,Interaction,0.9994,-0.4694,0.53,0.370328,0.281467,0.024859,FALSE
RPL23A,Interaction,0.9992,0.4031,-0.596,0.356898,0.078656,0.00377,FALSE
PTMS,Interaction,0.9966,0.4667,-0.5299,0.400659,0.285867,0.029688,TRUE
CA14,Interaction,0.9873,-0.4941,0.4932,0.358696,0.417909,0.048594,TRUE
SLC25A20,Interaction,0.9732,-0.1851,0.7881,0.898063,0.054769,0.045915,FALSE
RPS27A,Interaction,0.9697,0.2769,-0.6928,0.764317,0.105793,0.041858,FALSE
SEPTIN11,Interaction,0.9674,0.6376,-0.3298,0.1421,0.667126,0.038155,TRUE
SUMO2,Interaction,0.9663,0.3391,-0.6272,0.628301,0.168348,0.037085,TRUE
ENDOD1,Interaction,0.9494,-0.2374,0.712,0.813961,0.071613,0.03655,FALSE
CYB5R1,Interaction,0.9486,-0.2509,0.6978,0.772251,0.059764,0.024545,FALSE
MTARC2,Interaction,0.9182,0.3134,-0.6049,0.590009,0.189547,0.035106,TRUE
RPS10,Interaction,0.8935,0.2399,-0.6537,0.801387,0.103873,0.048806,FALSE
DDRGK1,Interaction,0.887,0.2682,-0.6188,0.727049,0.133364,0.042692,TRUE
TXN2,Interaction,0.876,-0.4501,0.4258,0.273714,0.354116,0.022154,TRUE
SQOR,Interaction,0.8651,0.2377,-0.6274,0.752847,0.096115,0.03237,TRUE
NPLOC4,Interaction,0.8422,-0.2909,0.5513,0.646652,0.145381,0.034242,FALSE
UBE2K,Interaction,0.7773,-0.2204,0.5569,0.740247,0.069433,0.023672,FALSE
ACTR2,Interaction,0.742,0.5354,-0.2066,0.083037,0.784966,0.038166,FALSE
HNRNPD,Interaction,0.7387,0.3912,-0.3475,0.26329,0.385755,0.02398,FALSE
