gene,pathway,go_slim_id,pattern,logFC_Training_CRE,logFC_Training_PLA
ABLIM2,Cytoskeleton & Motility,GO:0007010,Shared,1.2816,2.5719
FTL,Other,OTHER,Shared,2.5407,1.3737
RBM3,Transcription & Chromatin,GO:0016071,Shared,-1.8663,-1.6207
SLC41A3,Transport,GO:0055085,Shared,1.2025,1.8095
ACOT1,Amino Acid & Cofactor Metabolism,GO:0055086,CRE-specific,-0.9936,0.2567
FBLN5,Amino Acid & Cofactor Metabolism,GO:0098754,CRE-specific,0.9008,-0.3433
NNMT,Amino Acid & Cofactor Metabolism,GO:0006766,CRE-specific,1.4075,-0.1622
PLTP,Amino Acid & Cofactor Metabolism,GO:0006766,CRE-specific,1.4487,0.6588
ACTN3,Carbohydrate & Energy Metabolism,GO:0005975,CRE-specific,1.4066,-0.7779
LANCL2,Carbohydrate & Energy Metabolism,GO:0005975,CRE-specific,-0.8089,0.4728
SMTNL1,Circulatory System,GO:0003013,CRE-specific,-0.9065,0.0203
FSCN1,Cytoskeleton & Motility,GO:0007163,CRE-specific,0.8404,0.2998
SORD,Cytoskeleton & Motility,GO:0007018,CRE-specific,-0.7366,-0.309
GPNMB,DNA & Cell Cycle,GO:0000278,CRE-specific,1.7283,-0.3031
RHOC,DNA & Cell Cycle,GO:0000910,CRE-specific,1.025,-0.3445
SAMHD1,DNA & Cell Cycle,GO:0006260,CRE-specific,0.9472,-0.9346
TMOD3,DNA & Cell Cycle,GO:0000278,CRE-specific,1.1324,-0.2344
CD276,ECM & Adhesion,GO:0007155,CRE-specific,1.2642,-0.5205
COL12A1,ECM & Adhesion,GO:0030198,CRE-specific,1.3435,0.3925
COL14A1,ECM & Adhesion,GO:0030198,CRE-specific,1.8469,-0.2344
COL1A1,ECM & Adhesion,GO:0030198,CRE-specific,1.6452,-0.015
LIMCH1,ECM & Adhesion,GO:0034330,CRE-specific,0.881,-0.5366
THY1,ECM & Adhesion,GO:0034330,CRE-specific,1.5803,0.3317
FTH1,Immune & Inflammation,GO:0002376,CRE-specific,0.8735,0.4929
MRC1,Immune & Inflammation,GO:0098542,CRE-specific,1.2348,-0.7586
BDH2,Lipid Metabolism,GO:0006629,CRE-specific,0.7609,0.0897
AHNAK2,Other,OTHER,CRE-specific,2.1243,-1.0816
ART3,Other,OTHER,CRE-specific,-0.7733,-0.3031
CKAP4,Other,OTHER,CRE-specific,1.373,-0.806
HGH1,Other,OTHER,CRE-specific,-1.6963,1.0385
OSTF1,Other,OTHER,CRE-specific,0.9071,-0.5916
PBDC1,Other,OTHER,CRE-specific,0.8719,0.7937
PCOLCE,Other,OTHER,CRE-specific,1.2348,0.2958
SELENOO,Other,OTHER,CRE-specific,2.0398,1.034
ARIH2,Protein Homeostasis,GO:0030163,CRE-specific,-0.9263,-0.0311
CTSG,Protein Homeostasis,GO:0051604,CRE-specific,1.0823,0.2604
NGLY1,Protein Homeostasis,GO:0009100,CRE-specific,-1.4267,0.4961
UGDH,Protein Homeostasis,GO:0009100,CRE-specific,0.9657,-0.6594
BASP1,Transcription & Chromatin,GO:0006355,CRE-specific,1.5005,-0.6758
CRABP2,Transcription & Chromatin,GO:0006355,CRE-specific,1.722,0.0892
EYA3,Transcription & Chromatin,GO:0006325,CRE-specific,-0.8786,0.5829
LSM8,Transcription & Chromatin,GO:0016071,CRE-specific,0.9825,-0.1796
RBMX,Transcription & Chromatin,GO:0016071,CRE-specific,0.8962,-0.2915
SRSF11,Transcription & Chromatin,GO:0016071,CRE-specific,-0.9517,-0.082
RPL35A,Translation & Ribosome,GO:0042254,CRE-specific,1.0375,-0.9555
ARCN1,Transport,GO:0006886,CRE-specific,0.7202,0.2181
COPE,Transport,GO:0016192,CRE-specific,0.8424,-0.1608
EMC2,Transport,GO:0061024,CRE-specific,1.2451,-0.3857
IPO9,Transport,GO:0006913,CRE-specific,-1.0376,0.8479
MICU2,Transport,GO:0055085,CRE-specific,-1.0925,0.5695
MRC2,Transport,GO:0016192,CRE-specific,1.2459,-0.5707
S100A13,Transport,GO:0016192,CRE-specific,1.2035,-0.0814
ACACA,Amino Acid & Cofactor Metabolism,GO:0055086,PLA-specific,-0.3417,1.2346
ADHFE1,Amino Acid & Cofactor Metabolism,GO:0006520,PLA-specific,-0.1498,0.9645
AKR1C2,Amino Acid & Cofactor Metabolism,GO:0007586,PLA-specific,0.1457,-1.1381
ALDH5A1,Amino Acid & Cofactor Metabolism,GO:0006520,PLA-specific,-0.2601,0.9569
FAH,Amino Acid & Cofactor Metabolism,GO:0006520,PLA-specific,0.1888,-0.8797
FITM2,Amino Acid & Cofactor Metabolism,GO:0055086,PLA-specific,-0.1705,0.8959
GGT5,Amino Acid & Cofactor Metabolism,GO:0006520,PLA-specific,0.6616,-1.6097
GOT2,Amino Acid & Cofactor Metabolism,GO:0006520,PLA-specific,-0.1349,1.1595
HBA1,Amino Acid & Cofactor Metabolism,GO:0098754,PLA-specific,0.6863,-1.8916
HBB,Amino Acid & Cofactor Metabolism,GO:0098754,PLA-specific,0.5492,-1.8052
LPCAT3,Amino Acid & Cofactor Metabolism,GO:0007586,PLA-specific,0.3347,1.464
ME2,Amino Acid & Cofactor Metabolism,GO:0055086,PLA-specific,0.059,0.6889
NADK2,Amino Acid & Cofactor Metabolism,GO:0055086,PLA-specific,-0.2655,1.2853
PRXL2A,Amino Acid & Cofactor Metabolism,GO:0098754,PLA-specific,-0.0192,-1.1066
S100A9,Amino Acid & Cofactor Metabolism,GO:0098754,PLA-specific,0.5596,-1.4436
SMS,Amino Acid & Cofactor Metabolism,GO:0006520,PLA-specific,0.0762,0.8978
ALDH1B1,Carbohydrate & Energy Metabolism,GO:0005975,PLA-specific,0.537,0.8406
CAVIN3,Carbohydrate & Energy Metabolism,GO:0006091,PLA-specific,-0.0232,-1.6086
FDXR,Carbohydrate & Energy Metabolism,GO:0006091,PLA-specific,-0.2767,1.0572
G6PD,Carbohydrate & Energy Metabolism,GO:0005975,PLA-specific,0.4382,-0.994
GPD1,Carbohydrate & Energy Metabolism,GO:0005975,PLA-specific,0.0774,-0.9579
HMGCS2,Carbohydrate & Energy Metabolism,GO:0006091,PLA-specific,-0.2869,-1.3692
NUDT9,Carbohydrate & Energy Metabolism,GO:1901135,PLA-specific,-0.6035,1.297
PC,Carbohydrate & Energy Metabolism,GO:0005975,PLA-specific,-0.5317,-1.4101
