gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
KRT19,3.3942,3.2518,0,0.171022,Up
CAV2,3.6597,2.6577,0,0.26731,Up
ATL3,2.5788,2.8683,0,0.220572,Up
AOX1,3.0976,2.2055,0,0.380551,Up
AHNAK2,3.2058,2.884,0,0.220572,Up
PRKAR2B,2.4226,2.6269,0,0.26731,Up
SDR39U1,-2.7192,3.1283,0,0.202025,Down
DBN1,2.167,2.9714,0,0.217428,Up
PALM,2.4689,3.3273,0,0.164248,Up
GGT5,2.2713,5.1492000000000004,0,0.017328,Up
CD248,3.8715,4.045,0,0.110128,Up
HNMT,2.5403,3.788,0,0.132683,Up
TUBB4A,2.906,2.5255,0,0.291372,Up
EML4,-3.2803,1.9973,0,0.476377,Down
MRC1,1.9933,2.9294,1e-6,0.220572,Up
ADD3,1.9652,2.9767,1e-6,0.217428,Up
SFXN3,1.732,3.545,1e-6,0.139301,Up
ELAVL1,1.8016,3.3844,1e-6,0.164248,Up
HGH1,-2.7348,2.2792,1e-6,0.356122,Down
TIMM8A,-2.207,2.5972,2e-6,0.268526,Down
GOSR2,-2.0772,2.6513,3e-6,0.26731,Down
VCAN,2.311,2.3427,4e-6,0.356122,Up
RPL35A,1.993,2.6185,6e-6,0.26731,Up
C11orf68,-1.4402,3.5798,7e-6,0.139301,Down
NUDT9,-1.9005,2.6799,8e-6,0.26731,Down
KRT8,3.1854,1.5796,9e-6,0.476377,Up
COL6A2,2.5025,2.0115,9e-6,0.476377,Up
FCGRT,2.5462,1.9162,1.3e-5,0.476377,Up
SAMHD1,1.8818,2.5439,1.6e-5,0.290962,Up
FASN,2.5129,1.8011,3e-5,0.476377,Up
GNAI3,1.6449,2.6739,4e-5,0.26731,Up
IPO9,-1.8855,2.3107,4.4e-5,0.356122,Down
TNKS1BP1,2.26,1.9029,5e-5,0.476377,Up
MRC2,1.8166,2.3285,5.9e-5,0.356122,Up
CKAP4,2.179,1.9183,6.6e-5,0.476377,Up
ETHE1,-1.3879,2.981,7.3e-5,0.217428,Down
OVCA2,-2.1522,1.8877,8.7e-5,0.476377,Down
MAP1B,1.6058,2.4581,1.13e-4,0.315082,Up
TMEM70,-2.6403,1.4805,1.23e-4,0.476377,Down
UBE2F,-1.8393,2.0984,1.38e-4,0.430174,Down
ALYREF,2.3243,1.6594,1.39e-4,0.476377,Up
ACADL,1.9962,1.857,1.96e-4,0.476377,Up
MYL3,-2.46,1.4946,2.11e-4,0.476377,Down
RAP1A,-1.9647,1.8097,2.78e-4,0.476377,Down
COL14A1,2.0813,1.7032,2.85e-4,0.476377,Up
G3BP2,-2.1199,1.6524,3.14e-4,0.476377,Down
EIF2B3,-1.394,2.5066,3.21e-4,0.292641,Down
NGLY1,-1.9228,1.8071,3.35e-4,0.476377,Down
LRP1,1.5363,2.2604,3.37e-4,0.356122,Up
OSTF1,1.4986,2.2768,3.87e-4,0.356122,Up
PSAP,1.5248,2.1704,4.9e-4,0.392884,Up
CTNNA1,1.3329,2.4334,5.71e-4,0.316105,Up
BASP1,2.1763,1.4723,6.25e-4,0.476377,Up
RBBP4,-1.3898,2.2893,6.58e-4,0.356122,Down
HBA1,2.5779,1.2044,7.86e-4,0.479802,Up
COL4A2,2.3241,1.3249,8.33e-4,0.479802,Up
MAPK14,-1.43,2.144,8.59e-4,0.400313,Down
NADK2,-1.5509,1.9169,0.001064,0.476377,Down
CD58,1.6653,1.7592,0.001176,0.476377,Up
BCAP31,1.503,1.9436,0.001199,0.476377,Up
HDLBP,1.5098,1.9201,0.001262,0.476377,Up
EYA3,-1.4616,1.9824,0.001266,0.476377,Down
