pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,arc_r1_var,clean_label
GOBP_ACTIN_FILAMENT_ORGANIZATION,7.194808011761271e-6,2.245014309916483,122,DBN1;ADD3;CTTN;ACTR2;RHOC;RHOA;ARPC1B;LIMCH1;HSP90B1;TMOD3;STMN1;CYFIP1;RHOG;ZYX;ACTR3;PFN1;ARFIP1;NRP1;DSTN;ARF1;LCP1;GSN;SNX9;ARRB1;CORO1C;MTPN;EZR;CFL1;ESAM;SPTAN1;CAP1;CNN2;CALD1;SPTBN1;TAGLN2;ITGB1;LMOD3;VASP;TPM4;PLS3;RNH1;SORBS1;CAPZA1;MARCKS;DMTN;S100A10;CNN3;IQGAP1;FLNA,GO:BP,2.9095121942419934e-8,0.45533074183478234,0.7337619883564803,Supplement_Interaction,1,4,12.666666666666666,8.333333333333332,0.06981317007977318,0.2210750385859484,0.14544410433286076,5.952002368012227,Actin Filament Org.
GOBP_CELL_SUBSTRATE_ADHESION,1.768901669810427e-5,2.2912836877564557,77,CTTN;RHOA;LIMCH1;P4HB;CALR;ZYX;CD34;VCL;NRP1;FBLN5;TLN1;LAMB1;VWF;ACTN3;CORO1C;CFL1;THY1;APOD;ITGA6;COL3A1;PECAM1;ANXA2;CD36;ITGA1;COL1A1;ITGB1;LAMC1;CD63;SORBS1;RSU1;DMTN;S100A10;FLNA;NID1;RAB1A;ITGA7;ARPC2;LIMS1;ACTN4;ILK;FERMT3;VAMP3;CRK;JUP;CD44;FBLN2;RAC1;MYOC;NID2;LYVE1;CDC42;RRAS;TNXB;THBS1;EPDR1;FBLN1;ACTN1,GO:BP,9.197062408026485e-8,0.5022718289757035,0.7049757151672383,Supplement_Interaction,2,15.666666666666666,24.333333333333332,20,0.2734349161457783,0.4246967846519535,0.3490658503988659,5.886134415790283,"Cell Substrate
Adhesion"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3.408112980315916e-5,2.2614404136830664,60,VCAN;LRP1;COL6A2;BASP1;NNMT;SERPINH1;LGALS1;NT5E;COL4A2;SPARC;FBLN5;THY1;LUM;COL3A1;CALD1;COL1A1;COL1A2;ITGB1;LAMC1;TPM4;VIM;COL4A1;DCN;FLNA;PPIB;PCOLCE;FMOD;COL12A1;BGN;COPA;CAPG;COL6A3;CD44;FBLN2;COMP;NID2;ECM1;MYLK;LAMA2;THBS1;TAGLN;FBLN1;DPYSL3,Hallmark,1.5851688280539146e-6,0.5188006912207476,0.6435518361507222,Supplement_Interaction,3,27.333333333333332,36,31.666666666666664,0.4770566622117834,0.6283185307179586,0.552687596464871,5.8353454051480975,EMT
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,4.723835695141336e-5,2.355014931271386,52,CAV2;LRP1;COL14A1;SERPINH1;COL4A2;COL6A1;LCP1;GSN;FBLN5;LAMB1;COL18A1;LUM;COL3A1;ANXA2;PRDX4;COL1A1;COL1A2;ITGB1;LAMC1;CST3;LAMB2;COL15A1;COL4A1;NID1;CTSG;CAV1;FMOD;COL12A1;FSCN1,GO:BP,3.408162176129397e-7,0.5586153723864449,0.674962860011025,Supplement_Interaction,4,39,47.666666666666664,43.33333333333333,0.6806784082777885,0.8319402767839637,0.756309342530876,5.809060036006748,"External Encapsulating
Structure Org."
HALLMARK_COMPLEMENT,6.447329896072975e-5,2.149657432189614,63,GNAI3;LRP1;S100A13;CALM1;GNG2;RHOG;S100A9;COL4A2;LAP3;PFN1;CTSH;HSPA5;ANXA5;LGALS3;CTSB;APOC1;CD36;CA2;CTSC;CTSD;EHD1;GNAI2;LGMN;LAMP2;C1QA;SERPINA1;GNB2;CASP3;LTF;CSRP1;STX4,Hallmark,4.498137136795099e-6,0.48907165341890224,0.610526878385931,Supplement_Interaction,5,50.666666666666664,59.33333333333333,55,0.8843001543437936,1.0355620228499687,0.9599310885968813,5.783327602409485,Complement
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,2.830896577747158e-4,2.373687158370826,28,CTNNA1;ZYX;NRP1;TLN1;LAMB1;MYH9;THY1;ITGA6;COL3A1;ITGA1;ITGB1;LAMC1;CD63;LAMB2;FLNA;NID1;ITGA7;LIMS1;ILK;FERMT3,GO:BP,3.270822157997872e-6,0.6513893720143614,0.6272567397185284,Supplement_Interaction,6,62.33333333333333,71,66.66666666666666,1.0879219004097986,1.239183768915974,1.163552834662886,5.6496717326408525,"Integrin Mediated
Signaling"
GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY,6.092734791376938e-4,2.2451465397174655,38,PALM;CTTN;ACTR2;HSP90AA1;ARF4;CYFIP1;RHOG;ACTR3;PFN1;NRP1;CORO1C;CFL1;MAP4;SEPTIN7;SEPTIN9;YAP1;DMTN;RALA;ARPC2;CAV1;FSCN1;GDI2,GO:BP,7.391532675847239e-6,0.5753137865886533,0.610526878385931,Supplement_Interaction,7,74,82.66666666666667,78.33333333333334,1.2915436464758039,1.442805514981979,1.3671745807288915,5.570745917516938,"Reg. Cell Projection
Assembly"
GOBP_WOUND_HEALING,0.0012803081944214,1.971504121502222,98,RHOC;RHOA;GNAQ;MYH10;AHNAK;PDIA3;CD34;PPIA;VCL;LCP1;TLN1;VWF;HBB;MYH9;TMX1;ANXA5;AP3B1;PRDX2;COL3A1;CNN2;HMGB1;ACTB;PECAM1;ANXA2;CD36;ITGB1;CLIC1;KRT1;ANXA1;GPX1;SERPINA1;YAP1;F13A1;DMTN;S100A10;FLNA;HSPB1;CTSG;CAV1;CSRP1;CD9;ILK;FERMT3;GNA13;CHMP6;CRK;RAP2B;CORO1B;CD151;CD44;COMP,GO:BP,1.8490875136068844e-5,0.41312668798632,0.5756102610711286,Supplement_Interaction,8,85.66666666666667,94.33333333333334,90,1.4951653925418091,1.6464272610479844,1.5707963267948966,5.484994840659287,Wound Healing
HALLMARK_APICAL_JUNCTION,0.00150187617054813,2.011304692734208,51,CTNNA1;VCAN;CD276;MYH10;ZYX;CD34;MSN;VCL;PFN1;VWF;ACTN3;EPB41L2;MYH9;THY1;CAP1;CNN2;ACTB;PECAM1;ITGB1;VASP;GNAI2;RSU1;ARPC2;FSCN1;MYL12B;ACTN4;STX4,Hallmark,1.3970941121378014e-4,0.47895964532806407,0.5188480777437918,Supplement_Interaction,9,97.33333333333334,106.00000000000001,101.66666666666669,1.6987871386078142,1.8500490071139897,1.774418072860902,5.46500405263753,Apical Junction
GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS,0.00158552075928026,2.1272281230086874,59,MRC1;CAV2;LRP1;CTTN;EPS15;B2M;SDCBP;SCARB2;CANX;ARF1;SNX9;ARRB1;EZR;SNX1;CAP1;APOC1;ANXA2;CD36;ITGB1;CD63;HGS;CLTC;CD81;CLTB;CD14;RALA;CAV1;TF;CD9;AP2A1;PPT1;RAC1;CLU;SNCA;AP2B1;LYVE1;ADIPOQ,GO:BP,2.381486986787223e-5,0.4922455728419645,0.5756102610711286,Supplement_Interaction,10,109.00000000000001,117.66666666666669,113.33333333333334,1.9024088846738194,2.0536707531799947,1.9780398189269068,5.458066633937223,"Receptor Mediated
Endocytosis"
