pathway,pathway_label,NES,pval,padj,side
REACTOME_CARDIAC_CONDUCTION,Cardiac Conduction,-2.1518480156974973,1.3354338075196554e-4,0.02746319415371896,Lower than healthy
REACTOME_ION_HOMEOSTASIS,Ion Homeostasis,-2.1437336754054948,1.7127581148904206e-4,0.030038233697698893,Lower than healthy
KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING,Skeletal Type Vgcc Ryr Signaling,-2.0934699425152203,3.3611096850024374e-4,0.0488417253083497,Lower than healthy
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Branched Chain Amino Acid Catabolism,-2.081909490602614,7.123623626218345e-4,0.07120375987249644,Lower than healthy
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,Citric Acid Cycle Tca Cycle,-2.0798136822554034,7.139975921150842e-4,0.07120375987249644,Lower than healthy
GOBP_ACYL_COA_METABOLIC_PROCESS,Acyl Coa Metabolic Process,-1.8168963891614036,0.0010251535246720701,0.07988045963007724,Lower than healthy
GOBP_AMINO_ACID_METABOLIC_PROCESS,Amino Acid Metabolic Process,-1.6255795867423226,0.0010890871343245026,0.07989185639941492,Lower than healthy
GOBP_NEURONAL_ACTION_POTENTIAL,Neuronal Action Potential,-1.5196811864937887,8.444514135691608e-4,0.07602403886557504,Lower than healthy
REACTOME_NEUTROPHIL_DEGRANULATION,Neutrophil Degranulation,1.9526451351356564,1.5001373744000828e-6,0.0018561583565865818,Higher than healthy
GOBP_CARTILAGE_DEVELOPMENT,Cartilage Development,2.2501280963049126,1.8247722734826796e-6,0.0018561583565865818,Higher than healthy
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Negative Regulation Of Protein Containing Complex Assembly,2.2514449538195263,2.743340116729903e-6,0.002325437972281381,Higher than healthy
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Negative Regulation Of Actin Filament Polymerization,2.2562887576119213,3.3980397650490267e-6,0.002468918606434193,Higher than healthy
GOBP_LAMELLIPODIUM_ORGANIZATION,Lamellipodium Organization,2.264861212347565,6.313695808595047e-6,0.004013932110314301,Higher than healthy
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION,Negative Regulation Of Actin Filament Depolymerization,2.2878696922285586,4.26615411578776e-7,7.232553277632182e-4,Higher than healthy
GOBP_ACTIN_FILAMENT_ORGANIZATION,Actin Filament Organization,2.3301278353653903,1.3719064251233791e-9,6.9775160781775065e-6,Higher than healthy
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,Actin Filament Depolymerization,2.3505852942916716,3.9665554950726824e-7,7.232553277632182e-4,Higher than healthy
