gene,logFC,P,pi,neglogP,sig,dir
MB,-0.2822702629759313,0.29834583345158877,0.7107699686861613,0.5252800229166449,FALSE,NS
CKM,0.12963846816015945,0.598309770376659,0.9355802399496572,0.22307390508704747,FALSE,NS
ALDOA,0.19961844218314972,0.05274066354207547,0.5557976334255819,1.2778544105522718,FALSE,NS
GAPDH,0.3214030202109157,0.00833347175918518,0.2146580533384004,2.0791740319975083,FALSE,NS
CKB,-0.11759571951458624,0.5279838005929377,0.9276440634871492,0.27737940212721734,FALSE,NS
CA3,0.43957397079717175,0.08202020387801927,0.33311015536016,1.0860791555192888,FALSE,NS
FHL1,-0.2240906851173712,0.17261248480022967,0.6745823711395319,0.7629277956210568,FALSE,NS
ACTA1,0.8097612362839737,0.07401384826889965,0.12145446498987313,1.1306870145380814,FALSE,NS
ENO1,0.2019002283817386,0.504470514473548,0.870968558763795,0.29716421253045,FALSE,NS
ENO3,-0.24716231928104904,0.36669183510650727,0.780389978950034,0.4356987600903022,FALSE,NS
PKM,0.08670961345905148,0.488174865491889,0.9397157257147032,0.3114245847287069,FALSE,NS
TPI1,-0.04700622817042443,0.7122010370643543,0.9841729046542516,0.14739739826777673,FALSE,NS
ENO2,0.06058164585650161,0.7890920524297536,0.985752358630163,0.1028723307191404,FALSE,NS
PGAM1,0.32243475591743653,0.15576791466589526,0.5490688968831859,0.807521994151113,FALSE,NS
CASQ1,-0.09391868499621124,0.513259303652168,0.9392803048983154,0.28966316959852517,FALSE,NS
PGK1,0.23566717897650943,0.07496824607445116,0.5430571288511206,1.1251226496060405,FALSE,NS
HSPB1,0.17991411080158315,0.40290309629777543,0.8491218527369928,0.3947993950591993,FALSE,NS
MYL1,0.10440321021820688,0.8005016414216517,0.9770363153197672,0.096637773226711507,FALSE,NS
PYGM,-0.10279694117686412,0.7409366336342699,0.9696475223687098,0.1302189321552323,FALSE,NS
CRYAB,-0.09891520841742718,0.688126772199771,0.9637024018271824,0.1623315452019346,FALSE,NS
LDHA,0.1971814288574496,0.33942804540094107,0.8081131345682229,0.46925227675119496,FALSE,NS
MYL2,-0.16980522188154443,0.6666197446991087,0.9334554465454152,0.1761218270588127,FALSE,NS
AK1,0.20377281063348285,0.15888278329976788,0.6873867904754405,0.7989231608354576,FALSE,NS
FABP4,2.309538332554622,0.00536705642104773,5.711348201134613e-6,2.2702638391789796,TRUE,Up
FABP3,-0.07824546966912571,0.8177145451043483,0.9843770519286764,0.0873982771624397,FALSE,NS
ATP2A1,-0.2725960630210711,0.33700566006301247,0.7434225992260755,0.4723628050233467,FALSE,NS
MDH1,-0.16920339371619875,0.2481199435536891,0.7899047053107286,0.6053383263073457,FALSE,NS
MYH7,-0.5391632495469931,0.30714059064426447,0.5291649458846203,0.5126627848987665,FALSE,NS
PGAM2,0.03175681350996307,0.9013547514745306,0.996707285601714,0.04510424754989567,FALSE,NS
PYGB,0.00299689799565427,0.9875249940345912,0.9999623792322668,0.005451903667136211,FALSE,NS
PRDX6,0.224210753965016,0.26959554518212925,0.745348990934303,0.5692872883934079,FALSE,NS
IDH2,-0.1344115525934786,0.46681044622448586,0.90266929489514,0.33085943393153183,FALSE,NS
MYH2,-0.2790381796614554,0.6058899565336776,0.8695199466506988,0.21760624647715301,FALSE,NS
ATP2A2,-0.6619552722703279,0.01832136490061046,0.07081997575999531,1.737042175497702,FALSE,NS
ATP5F1B,0.06163495357413851,0.702723782949084,0.9784904225366534,0.1532153479730063,FALSE,NS
MDH2,-0.0668820411799338,0.6758709514990975,0.974139025968134,0.17013621885425925,FALSE,NS
ATP5F1A,-0.07536773005023356,0.6892690869307253,0.972343534612099,0.16161119876746696,FALSE,NS
MYH1,0.17948196768189997,0.733915784627377,0.945988638986356,0.13435377165062384,FALSE,NS
PFKM,-0.23615113383984543,0.4567724905927262,0.8310702863906424,0.34030005962984305,FALSE,NS
S100A1,0.3063097457668551,0.3767477874021314,0.7415495930327556,0.4239492895690484,FALSE,NS
HSPB6,-0.0710141071410959,0.7398531788742599,0.978830487163532,0.13085445585164945,FALSE,NS
EEF1A1,0.6482751285233732,0.01619420263110602,0.06905137715405787,1.7906404308854145,FALSE,NS
FBP2,0.182021265185055,0.5099713019247369,0.8846410846960442,0.2924542626597184,FALSE,NS
ARF4,0.2869709152833124,0.29062492085265307,0.7014425990520984,0.5366671480395561,FALSE,NS
SLC25A4,0.06992781214325916,0.8498075643896361,0.9886840858344492,0.0706794074450726,FALSE,NS
TNNC2,0.9219456332568344,0.06029245931225228,0.0750704117966454,1.2197370010250588,FALSE,NS
PGM1,-0.03693465237241966,0.8315083335693941,0.9932082102711438,0.08013339382261467,FALSE,NS
YWHAE,0.249521972571106,0.24613821353662557,0.704832293675021,0.6088209558228156,FALSE,NS
GOT1,-0.08772464100241706,0.7238204607452161,0.9720445445233248,0.14036914454482896,FALSE,NS
CKMT2,-0.17787356056122938,0.5887582454505504,0.9100764482498674,0.23006299760640292,FALSE,NS
ATP2A3,-0.6054675040344204,0.01687453449181331,0.0844591027398035,1.7727681989665836,FALSE,NS
