config,set,n,direction,PValue,PValue.Mixed,expected,consistent,cor_within
Imp_Pi,tcre_up,52,Down,0.8813538354406221,0.5028426175566164,Up,FALSE,0.23356056089939142
Imp_Pi,tcre_down,20,Up,0.2436880385208621,0.5306142051507959,Down,FALSE,0.23356056089939142
Imp_P,tcre_up,65,Down,0.8674304781170898,0.3908946377498772,Up,FALSE,0.23356056089939142
Imp_P,tcre_down,48,Up,0.7060626171079675,0.4290526244937435,Down,FALSE,0.23356056089939142
