set,n,direction,PValue,PValue.Mixed,expected,consistent,cor_within
cvh_up,371,Up,0.9993537413119806,0.5397070427810982,Up,TRUE,0.21181357727844352
cvh_down,146,Up,0.28291779020314023,0.33947743584467144,Down,FALSE,0.21181357727844352
