gene,uniprot_id,set,t_cancer_vs_healthy,t_training_cr,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_Cancer_vs_Healthy
ACTB,P60709,cvh_up,2.7606506021275,0.500668650807347,1.45934123081213,0.217123006943224,0.00101826649022973
VIM,P08670,cvh_up,4.12323575878961,0.369198593187526,2.73008494764978,0.200543258702055,8.103493261399024e-11
ANXA2,P07355,cvh_up,3.81406112580729,0.105643525175725,1.89882617030562,0.0431469877717596,5.381301551229032e-7
TTR,P02766,cvh_up,5.05163714972196,0.27244997050951,2.35076553386145,0.10400972995007,2.6451777802382284e-12
DCN,P07585,cvh_up,3.51114574432225,0.75913547157528,1.86292667444177,0.330427531871704,3.554590912277076e-6
ANXA1,P04083,cvh_up,4.43407944914756,0.264829468405494,2.43402555578179,0.119260879940624,1.0378882352163626e-10
LUM,P51884,cvh_up,4.04598831363677,0.867677040917532,1.8170560975672,0.319677341358521,2.913075867982885e-7
GSN,P06396,cvh_up,4.05387781190249,0.856061497942938,1.40701361783093,0.243748890976901,8.41283002217142e-6
LCP1,P13796,cvh_up,3.8997791146084,0.384503670556236,1.77580671429317,0.143636962335021,8.798460116678123e-7
CP,P00450,cvh_up,5.89780667812313,0.822845596869329,2.7178060679856,0.311068702648116,3.156842790196399e-17
HSP90B1,P14625,cvh_up,2.71597299520588,0.295026238832102,0.73052466142353,0.0650998689319966,0.03450821718342786
NME2,P22392,cvh_up,3.63959346836482,0.271710490431202,0.811773468301464,0.0497162564553104,0.00314065713870465
YWHAZ,P63104,cvh_up,2.58755977694628,0.211277812743352,0.857888231163315,0.0574651107522541,0.02521876921479769
CLU,P10909,cvh_up,6.3206351373436,0.327826784520431,3.03340421072831,0.129069621194025,6.978292656959487e-21
FLNA,P21333,cvh_up,4.30486227711701,0.534242532210137,1.26299775496226,0.128585445599894,1.0801149767086135e-5
TAGLN,Q01995,cvh_up,5.41921052217889,0.365403925809288,2.37282900081741,0.131254337868322,1.3649373122717538e-13
ACTN4,O43707,cvh_up,3.67760410293149,0.955999680225402,1.55458726926722,0.331526245987508,1.3590506095050808e-5
MSN,P26038,cvh_up,3.93470488059344,0.127111572828354,1.11842400376132,0.0296407675301733,1.3690911648310544e-4
COMP,P49747,cvh_up,2.94931657266636,0.0557697057602036,3.6044224856376,0.0372495138448823,1.1969210495896032e-8
PRELP,P51888,cvh_up,3.91034212904157,0.458769976655434,2.51894380406729,0.242442496679049,2.3793657943250374e-9
SERPING1,P05155,cvh_up,6.2064048580568,0.309452753997544,3.05703430161384,0.125044501341225,1.4443935340888418e-20
S100A10,P60903,cvh_up,3.572496494154,0.762557052791619,1.53899912603882,0.26949390127694,2.411992321158707e-5
APOD,P05090,cvh_up,3.94720180050756,0.415058831056843,1.76901995648944,0.15260300932011,7.257590824021311e-7
AKR1C3,P42330,cvh_up,3.60483089895597,0.273975455699266,1.55939031121029,0.0972280621347821,1.8154225126687995e-5
MYH9,P35579,cvh_up,3.19727216015547,0.753540609945451,0.861656391892517,0.166598546317525,0.00637493844834932
S100A11,P31949,cvh_up,4.20427005434415,0.405978179879497,2.09993236592588,0.149676794746446,1.4695291115112256e-8
CST3,P01034,cvh_up,3.25569682489715,0.793956280790475,1.08589928581121,0.223345231800423,0.00146718004728084
DPYSL2,Q16555,cvh_up,3.3869395451443,0.551154934566972,0.939202089093307,0.125382043131456,0.00248035300203909
TAGLN2,P37802,cvh_up,4.63653166616998,0.913860080707729,1.3220536456676,0.213769426471385,1.672194947995961e-6
OGN,P20774,cvh_up,4.20272346549977,1.43757312002729,1.92987990645142,0.524742635765236,5.0113258937052356e-8
AZGP1,P25311,cvh_up,4.80185665691635,0.0757215992242492,1.72302420590072,0.0222900992409691,1.2348550579373321e-8
THBS4,P35443,cvh_up,2.35065741269009,1.49089245556377,2.61766833535654,0.82500228720775,8.303353254728763e-5
PDIA3,P30101,cvh_up,3.49802720474214,0.679957691779117,0.916287139713937,0.146116861992843,0.00216015755415139
COL6A3,P12111,cvh_up,2.23748131932049,1.42876118213263,1.21226793623315,0.635051403422201,0.01502160701900191
COL6A1,P12109,cvh_up,3.28975436850453,0.212223675028004,1.89166370022154,0.0992742870317844,1.090450998263006e-5
MYL12B,O14950,cvh_up,3.34666100187552,1.2397660295914401,0.744627290914682,0.226296061686671,0.00934088378062375
GNAI2,P04899,cvh_up,3.76844354637066,0.110097817290887,1.20518431523039,0.0288855209014347,1.230766173196167e-4
MUSTN1,Q8IVN3,cvh_up,2.58272727797888,1.21653318171068,1.12006467159888,0.434175388834543,0.00837974385395462
SPTAN1,Q13813,cvh_up,4.23528561748151,0.262664626043327,1.47411170317937,0.0749996638377493,2.17286916199824e-6
SERPINF1,P36955,cvh_up,5.27231003708129,0.877996226260265,2.01234926760307,0.274919221639461,3.0888117121328004e-11
ASPN,Q9BXN1,cvh_up,2.93751887772086,2.07920590332858,1.44829207417414,0.830262764399295,5.889932697278113e-4
COL1A2,P08123,cvh_up,1.47944074554184,0.650857921851149,2.77812073856066,0.437465676112112,0.00538135039445627
VAT1,Q99536,cvh_up,4.16492775427904,0.652280393830518,1.52706483430713,0.196197905073296,1.8754004705502685e-6
RPL14,P50914,cvh_up,2.68524121287475,0.182487907201663,0.825693006964855,0.0486456382172307,0.02852127810261777
CAP1,Q01518,cvh_up,4.43807012339832,0.371838757442992,1.29130580377629,0.0887563911482125,4.972323840371742e-6
PPBP,P02775,cvh_up,2.95875149065538,0.489421857110422,2.81638722626497,0.21235897627388,6.04793563268577e-7
CLTC,Q00610,cvh_up,3.07947448507749,0.861394377632105,0.68253784752125,0.156625401940897,0.02263466400081646
ANXA4,P09525,cvh_up,3.88681984726018,1.00593586046055,1.00485750883599,0.213348895215379,3.889684641802852e-4
PPIB,P23284,cvh_up,3.46830891723472,1.00209648271062,1.05601920311384,0.250307359168751,9.253045112264288e-4
APOE,P02649,cvh_up,5.64249761258828,1.01591956809841,2.66632549570232,0.393832130060904,5.447558022320224e-16
CNN1,P51911,cvh_up,2.4023865043192,1.49650822414417,1.42549338935383,0.479687832163194,0.00567378953412017
CLEC3B,P05452,cvh_up,4.77256418932464,1.44946440773604,1.66773486980836,0.415520853098261,2.5742701895267965e-8
PLS3,P13797,cvh_up,3.41135706538317,1.21132168847202,1.02103955179066,0.297430099879707,0.00137202905691891
F13A1,P00488,cvh_up,3.84022565408367,0.979801335154511,1.52721688387596,0.319662753756594,8.078702465172448e-6
