set,n,direction,PValue,PValue.Mixed,expected,consistent,cor_within
cre_up,52,Down,0.8813538354406221,0.5028426175566164,Up,FALSE,0.23356056089939142
cre_down,20,Up,0.2436880385208621,0.5306142051507959,Down,FALSE,0.23356056089939142
