gene,uniprot_id,set,t_training_cre,t_training_pla,logFC_Training_CRE,logFC_Training_PLA,pi_score_Training_CRE
FTH1,P02794,cre_up,2.71382756839788,0.613456003284266,0.891874367365006,0.217716351413117,0.01824808202808297
FTL,P02792,cre_up,4.11555191963418,1.82381208930467,2.5434011747997,1.21717512183313,1.176532424852114e-9
S100A13,Q99584,cre_up,4.00713087621921,0.777338512842272,1.21330715164689,0.25417545511154,7.76174547428723e-5
COL1A1,P02452,cre_up,1.95198562506667,0.209855729666012,1.66241805241689,0.15932273998995,0.01001676721195417
COL12A1,Q99715,cre_up,2.05048578436959,1.22331202040532,1.33716734169093,0.774970736402949,0.02174673293063719
THY1,P04216,cre_up,3.0451763427947,1.09557460119914,1.57660292658243,0.590545475448575,2.675211936556667e-4
CRABP2,P29373,cre_up,1.76035158705292,0.067577737970703,1.72108615392014,0.0851471885662889,0.0247231582852578
CTSG,P08311,cre_up,2.25135091712761,0.335571296279691,1.08304995690915,0.196355852594618,0.02666829778961956
SLC41A3,Q96GZ6,cre_up,2.31505798006561,2.56577456693445,1.20167522706848,1.80545195396734,0.02656578267634535
BDH2,Q9BUT1,cre_up,2.6489579447896,0.256661024561244,0.758424896352725,0.0954234636264033,0.03930653021502221
ARCN1,P48444,cre_up,4.66414314563443,1.34183300533755,0.718715530760765,0.218489728144188,0.00121724627119802
ABLIM2,Q6H8Q1,cre_up,2.5181916515669,4.08617286271459,1.26816189593666,2.58078348029952,0.01653717966329459
PLTP,P55058,cre_up,1.94767437885893,0.208293781232521,1.45913256526541,0.125933134061427,0.0221363088457304
TMOD3,Q9NYL9,cre_up,2.78477908276367,0.0629736359474638,1.12374147423395,0.0269485046692779,0.00736306190747434
PBDC1,Q9BVG4,cre_up,2.83062778389991,2.39654506810728,0.867455945860701,1.07514402900013,0.0207517221517572
FUNDC1,Q8IVP5,cre_up,1.76556322212378,1.02313268526813,1.5851073369656,0.806222848243587,0.04333058152005554
SELENOO,Q9BVL4,cre_up,3.1082033170487,2.14730743623621,2.05037836316672,1.04359148016518,1.6326459213921438e-4
SMTNL1,A8MU46,cre_down,-2.46502535541694,-7.8237640231166e-4,-0.890372343116486,-3.1605938924173e-4,0.03114462228775244
ART3,Q13508,cre_down,-2.88300015665995,-1.01356390774945,-0.771489783156699,-0.307989371478016,0.02402261556062327
ARIH2,O95376,cre_down,-3.51119803376536,-0.0854260825989032,-0.922451086483303,-0.0323642493684062,0.00420502451546755
RBM3,P98179,cre_down,-2.53497064190631,-2.16538827191935,-1.87168374433696,-1.77040315076085,0.00138263073817522
SORD,Q00796,cre_down,-2.78568609967174,-1.06409059030243,-0.744511668220563,-0.308772351101375,0.03198037064351179
