gene,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,significance,quadrant,imputed
KRT19,0.7805,-3.1114,0.267742,0,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
CD248,1.0829,-2.4717,0.019551,0,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
CAV2,1.6275,-1.6761,0.001324,0.006374,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
AHNAK2,2.1299,-0.8699,1e-6,0.262106,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
EML4,-0.9947,1.9387,0.105023,0.005437,1.5e-5,Interaction,Discordant (CRE Down / PLA Up),TRUE
TUBB2B,0.0752,-2.7952,0.99066,0,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
RETSAT,-0.5253,-2.2793,0.653691,1.9e-4,0.031788,Interaction,Concordant Down,TRUE
AOX1,0.7807,-2.0195,0.266139,0.001605,1.5e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
KRT8,1.6193,-1.1531,0.02815,0.151731,2.08e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
HGH1,-1.7084,1.059,2.1e-5,0.082859,0,Interaction,Discordant (CRE Down / PLA Up),TRUE
PRKAR2B,-0.0695,-2.6363,0.990966,0,0,Interaction,Concordant Down,TRUE
ATL3,0.3013,-2.3977,0.807303,0,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
TMEM70,-0.189,2.4309,0.951254,3.6e-5,1.13e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
MRPL13,0.3502,2.2406,0.67167,6e-6,7.43e-4,Interaction,Concordant Up,TRUE
HBG2,0.9594,-1.6206,0.357118,0.030607,0.001401,Interaction,Discordant (CRE Up / PLA Down),TRUE
TUBB4A,0.3141,-2.2053,0.759181,2.4e-5,5e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
COL6A2,0.9039,-1.5484,0.183591,0.006967,3.8e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
FCGRT,1.0178,-1.4023,0.076081,0.032268,1.02e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
SDR39U1,-0.9883,1.3737,0.043527,0.001316,0,Interaction,Discordant (CRE Down / PLA Up),TRUE
TIMM8A,-0.9023,1.4464,0.060523,0.001419,1e-6,Interaction,Discordant (CRE Down / PLA Up),TRUE
CES1,-0.1083,-2.239,0.989199,9.77e-4,0.014568,Interaction,Concordant Down,TRUE
FASN,0.3476,-1.9944,0.844955,2.25e-4,2.98e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
SAMHD1,0.9475,-1.3903,0.01228,5.83e-4,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
MRC1,1.243,-1.0885,3.4e-4,0.009849,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
HNMT,0.8654,-1.4179,0.037294,2.14e-4,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
GGT5,0.6583,-1.6111,0.059651,0,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
PALM,0.3767,-1.8451,0.610772,4e-6,0,Interaction,Discordant (CRE Up / PLA Down),TRUE
COL4A2,1.1074,-1.1085,0.147804,0.165305,0.002568,Interaction,Discordant (CRE Up / PLA Down),TRUE
ACTN3,1.4208,-0.7798,0.027187,0.50156,0.004259,Interaction,Discordant (CRE Up / PLA Down),TRUE
OVCA2,-0.7031,1.4463,0.117525,0.011102,6.9e-5,Interaction,Discordant (CRE Down / PLA Up),TRUE
G3BP2,-0.0942,2.035,0.98578,3.6e-5,2.72e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
GOSR2,-0.8481,1.2168,0.083789,0.002478,3e-6,Interaction,Discordant (CRE Down / PLA Up),TRUE
