pathway,NES_CRE,padj_CRE,NES_PLA,padj_PLA,sig_CRE,sig_PLA,sig_class,concordant
GOBP_ACTIN_FILAMENT_ORGANIZATION,2.222404105383741,7.767288118166634e-5,1.729956721735778,0.10501229156372253,TRUE,FALSE,Sig CRE only,NS
GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,2.263876997279662,4.7488422798714535e-4,1.4171093388706657,0.436234843182734,TRUE,FALSE,Sig CRE only,NS
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,2.053609232036255,4.7488422798714535e-4,1.5208091105281383,0.29210481197851185,TRUE,FALSE,Sig CRE only,NS
GOSLIM_CYTOPLASMIC_TRANSLATION,1.9755643013412625,4.7488422798714535e-4,1.128514362412697,0.615690374921235,TRUE,FALSE,Sig CRE only,NS
REACTOME_EPH_EPHRIN_SIGNALING,2.3052854622390586,4.7488422798714535e-4,1.5931824940306014,0.35496024167505813,TRUE,FALSE,Sig CRE only,NS
REACTOME_MRNA_3_END_PROCESSING,2.2687581602255826,4.7488422798714535e-4,-1.1799965598028752,0.6287720002005717,TRUE,FALSE,Sig CRE only,NS
REACTOME_MRNA_SPLICING,2.259404413526907,4.7488422798714535e-4,-1.2781995654916483,0.5457724949656735,TRUE,FALSE,Sig CRE only,NS
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,2.134154062892952,4.7488422798714535e-4,1.381209436661615,0.3813434842552424,TRUE,FALSE,Sig CRE only,NS
REACTOME_DENGUE_VIRUS_HOST_INTERACTIONS,2.207193710247403,5.344832849030572e-4,-0.8868723531350851,0.9505778588807785,TRUE,FALSE,Sig CRE only,NS
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,2.104103080428434,6.1882422070723e-4,1.5463444390264653,0.32883394942588895,TRUE,FALSE,Sig CRE only,NS
GOBP_MYOTUBE_DIFFERENTIATION,2.148061925158411,6.786489415567468e-4,1.352338805270568,0.44735678103328685,TRUE,FALSE,Sig CRE only,NS
REACTOME_RRNA_PROCESSING,2.079742652907687,6.786489415567468e-4,1.4599209380950418,0.35496024167505813,TRUE,FALSE,Sig CRE only,NS
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,2.185660829253384,9.330836255433861e-4,-0.6437151463999031,0.9997322623828648,TRUE,FALSE,Sig CRE only,NS
GOBP_CYTOPLASMIC_TRANSLATION,1.957813603689053,9.330836255433861e-4,1.1769232364621782,0.5805581882119608,TRUE,FALSE,Sig CRE only,NS
GOBP_SYNCYTIUM_FORMATION,2.1492758637878864,0.0011460837483772473,1.4665934544865344,0.3813434842552424,TRUE,FALSE,Sig CRE only,NS
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,1.95576187919302,0.002856811803384048,1.4923766112648134,0.35496024167505813,TRUE,FALSE,Sig CRE only,NS
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON,2.088771066584413,0.004955216413919628,1.3801583233041423,0.48685716215496555,TRUE,FALSE,Sig CRE only,NS
GOBP_PROTEIN_POLYUBIQUITINATION,-2.0435952889097098,0.004955216413919628,-1.0718144004543497,0.752107939632546,TRUE,FALSE,Sig CRE only,NS
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,-1.9043092683383605,0.005369411365052221,-1.4237200371652836,0.3763897942923366,TRUE,FALSE,Sig CRE only,NS
GOBP_RNA_SPLICING,1.9007191527198726,0.010163757452412053,-0.9149781702655313,0.9340963142005688,TRUE,FALSE,Sig CRE only,NS
GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS,2.033757202049202,0.010302915660485423,-0.9295599199643726,0.9062010565365004,TRUE,FALSE,Sig CRE only,NS
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,1.8152003030758377,0.01570316921313025,0.7583165508930669,0.9997322623828648,TRUE,FALSE,Sig CRE only,NS
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,2.0000653357036153,0.016849873400750177,0.8218829741068036,0.9587510126105208,TRUE,FALSE,Sig CRE only,NS
GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,1.9357455812227733,0.017229545173243332,-1.0383386493183964,0.7975884740769652,TRUE,FALSE,Sig CRE only,NS
REACTOME_SEMAPHORIN_INTERACTIONS,1.9990410709984532,0.021355525414616806,1.211258487321067,0.6154718544526775,TRUE,FALSE,Sig CRE only,NS
GOBP_SPERMATID_DIFFERENTIATION,-2.0056349374055924,0.022154269911579785,-1.1087969388565124,0.7379617787020684,TRUE,FALSE,Sig CRE only,NS
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,1.9445926555659576,0.023512086914824617,1.5947740215363704,0.35496024167505813,TRUE,FALSE,Sig CRE only,NS
