gene,pathway_label,pathway_padj,pathway_db,primary_contrast,display_logFC
COL12A1,Collagen Biosynthesis,2.6273032502994184e-4,Reactome,Training_CRE,1.33716734169093
COL14A1,Collagen Biosynthesis,2.6273032502994184e-4,Reactome,Training_CRE,1.85601427822666
COL1A1,Collagen Biosynthesis,2.6273032502994184e-4,Reactome,Training_CRE,1.66241805241689
COL4A2,Collagen Biosynthesis,2.6273032502994184e-4,Reactome,Supplement_Interaction,2.21590999381105
COL6A1,Collagen Biosynthesis,2.6273032502994184e-4,Reactome,Supplement_Interaction,1.91405866543203
COL6A2,Collagen Biosynthesis,2.6273032502994184e-4,Reactome,Supplement_Interaction,2.45232939585857
PCOLCE,Collagen Biosynthesis,2.6273032502994184e-4,Reactome,Supplement_Interaction,1.51330246827696
SERPINH1,Collagen Biosynthesis,2.6273032502994184e-4,Reactome,Supplement_Interaction,1.54091111781775
BASP1,EMT,0.003962694041405008,Hallmark,Training_CRE,1.4971889874308
COL12A1,EMT,0.003962694041405008,Hallmark,Training_CRE,1.33716734169093
COL1A1,EMT,0.003962694041405008,Hallmark,Training_CRE,1.66241805241689
COL4A2,EMT,0.003962694041405008,Hallmark,Supplement_Interaction,2.21590999381105
COL6A2,EMT,0.003962694041405008,Hallmark,Supplement_Interaction,2.45232939585857
FBLN5,EMT,0.003962694041405008,Hallmark,Training_CRE,0.902101602108349
LRP1,EMT,0.003962694041405008,Hallmark,Supplement_Interaction,1.32131380631338
NNMT,EMT,0.003962694041405008,Hallmark,Training_CRE,1.39684814292252
PCOLCE,EMT,0.003962694041405008,Hallmark,Supplement_Interaction,1.51330246827696
SERPINH1,EMT,0.003962694041405008,Hallmark,Supplement_Interaction,1.54091111781775
THY1,EMT,0.003962694041405008,Hallmark,Training_CRE,1.57660292658243
VCAN,EMT,0.003962694041405008,Hallmark,Supplement_Interaction,1.72518530038627
CD163,Binding And Uptake Of Liga..,0.008328224836112067,Reactome,Supplement_Interaction,1.46486753871712
COL1A1,Binding And Uptake Of Liga..,0.008328224836112067,Reactome,Training_CRE,1.66241805241689
COL4A2,Binding And Uptake Of Liga..,0.008328224836112067,Reactome,Supplement_Interaction,2.21590999381105
FTH1,Binding And Uptake Of Liga..,0.008328224836112067,Reactome,Training_CRE,0.891874367365006
FTL,Binding And Uptake Of Liga..,0.008328224836112067,Reactome,Training_CRE,2.5434011747997
HSP90B1,Binding And Uptake Of Liga..,0.008328224836112067,Reactome,Supplement_Interaction,1.01281609482007
LRP1,Binding And Uptake Of Liga..,0.008328224836112067,Reactome,Supplement_Interaction,1.32131380631338
