pathway,pathway_label,database,NES_Training_CRE,NES_Training_PLA,padj_Training_CRE,padj_Training_PLA,significance,set_size
HALLMARK_IL2_STAT5_SIGNALING,IL2 Stat5 Signaling,Hallmark,1.663,-1.773,0.1217,0.0869,NS,39
GOSLIM_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,GO Slim,1.618,1.594,0.07514,0.06829,NS,116
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Establishment Or Maintenance Of Cell Polarity,GO Slim,1.661,-1.406,0.1263,0.2871,NS,46
HALLMARK_COAGULATION,Coagulation,Hallmark,1.578,-1.352,0.1694,0.354,NS,40
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Hallmark,1.495,-1.405,0.3091,0.3535,NS,21
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Hallmark,1.234,-1.639,0.5338,0.1608,NS,34
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Hallmark,1.47,-1.301,0.243,0.376,NS,49
HALLMARK_UV_RESPONSE_DN,UV Response Dn,Hallmark,1.294,-1.428,0.4836,0.3149,NS,26
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,-1.004,-1.699,0.7795,0.1361,NS,25
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,1.747,0.951,0.07809,0.7834,NS,42
GOSLIM_CYTOKINESIS,Cytokinesis,GO Slim,1.511,-1.164,0.1998,0.5361,NS,45
GOSLIM_WOUND_HEALING,Wound Healing,GO Slim,1.362,-1.298,0.3054,0.3363,NS,96
HALLMARK_GLYCOLYSIS,Glycolysis,Hallmark,0.891,-1.695,0.9058,0.07782,NS,75
GOSLIM_PROTEIN_FOLDING,Protein Folding,GO Slim,1.52,1.039,0.1163,0.6817,NS,101
GOSLIM_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO Slim,-1.115,-1.406,0.6261,0.2675,NS,59
HALLMARK_APOPTOSIS,Apoptosis,Hallmark,1.512,-0.974,0.2261,0.7648,NS,42
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,-1.005,-1.476,0.7795,0.2633,NS,36
GOSLIM_RIBOSOME_BIOGENESIS,Ribosome Biogenesis,GO Slim,1.162,1.315,0.5829,0.3706,NS,59
HALLMARK_PEROXISOME,Peroxisome,Hallmark,-1.343,-1.108,0.3773,0.6115,NS,43
GOSLIM_NUCLEOCYTOPLASMIC_TRANSPORT,Nucleocytoplasmic Transport,GO Slim,1.182,-1.266,0.5369,0.3785,NS,83
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,1.104,1.341,0.6308,0.2727,NS,113
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Hallmark,0.895,-1.544,0.8774,0.2198,NS,28
HALLMARK_HEME_METABOLISM,Heme Metabolism,Hallmark,-1.038,-1.291,0.7395,0.3706,NS,66
GOSLIM_CILIUM_ORGANIZATION,Cilium Organization,GO Slim,1.777,0.535,0.05875,0.9952,NS,37
GOSLIM_DIGESTION,Digestion,GO Slim,1.096,-1.211,0.7163,0.5398,NS,14
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,Hallmark,0.963,-1.335,0.8178,0.3844,NS,34
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Hallmark,0.874,-1.424,0.91,0.2887,NS,42
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Protein Localization To Plasma Membrane,GO Slim,1.25,-1.019,0.4675,0.7064,NS,76
GOSLIM_MUSCLE_SYSTEM_PROCESS,Muscle System Process,GO Slim,-0.951,1.294,0.8622,0.3009,NS,145
HALLMARK_HYPOXIA,Hypoxia,Hallmark,1.438,-0.804,0.2606,0.9359,NS,59
GOSLIM_VITAMIN_METABOLIC_PROCESS,Vitamin Metabolic Process,GO Slim,1.145,-1.093,0.6413,0.6351,NS,26
GOSLIM_TRNA_METABOLIC_PROCESS,Trna Metabolic Process,GO Slim,0.692,1.542,1,0.1923,NS,49
GOSLIM_RENAL_SYSTEM_PROCESS,Renal System Process,GO Slim,-0.83,-1.392,0.9365,0.3822,NS,18
GOSLIM_MITOTIC_NUCLEAR_DIVISION,Mitotic Nuclear Division,GO Slim,-1.309,0.906,0.3995,0.8228,NS,47
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Hallmark,1.399,0.743,0.3634,0.9434,NS,33
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,Hallmark,0.833,-1.298,0.9365,0.4401,NS,27
HALLMARK_SPERMATOGENESIS,Spermatogenesis,Hallmark,-1.257,-0.869,0.5543,0.8304,NS,12
