gene,set,logFC_CvH,logFC_TCR,t_TCR
CA2,cancer_up,1.42927835392965,-0.207647903374127,-0.793849870953698
SOD1,cancer_up,0.884887347182094,-0.356401212896367,-2.98819144522031
LGALS1,cancer_up,1.03382138390841,-0.285781486372711,-1.33655669564689
BLVRB,cancer_up,1.35150450401852,-0.21940939223051,-0.90723322748497
CSRP3,cancer_dn,-0.698449823731625,0.485278710649673,2.70599088770696
CAT,cancer_up,2.41838959084413,-0.11597977478408,-0.344755269564184
SLC25A6,cancer_dn,-0.625330438463259,0.223514548494226,1.28008630566856
SELENBP1,cancer_up,0.826536178089622,-0.304933192779661,-1.60857504900288
NDUFA4,cancer_dn,-1.00218085554692,0.118287242586527,0.69797809277555
PLIN1,cancer_up,3.21859185129004,-0.155555490954153,-0.271298322515259
CAVIN1,cancer_up,1.01012702204211,-0.0325637996998633,-0.130540961291564
HINT1,cancer_up,0.513697438043984,-0.211458917266929,-1.93295803066647
ADH1B,cancer_up,1.15558104451415,-0.34418139346714,-0.976640067759009
PLIN4,cancer_up,0.906315535856262,-0.254034477727672,-0.975063782462628
CISD1,cancer_dn,-0.547074778019134,0.238915741437372,1.90507673556085
NUTF2,cancer_up,0.545721674402305,-0.177658499566368,-1.9067583585171
PYGL,cancer_up,0.833491913966817,-0.372943128294118,-2.63681919609247
RAN,cancer_up,0.562040250730973,-0.192565378022103,-1.6833927698909
COQ8A,cancer_dn,-0.579066635977867,0.0502689802900314,0.369369810920772
ATP5MD,cancer_dn,-0.713747436734636,0.178175687657189,0.959672144004151
BPGM,cancer_up,1.84843923958157,-0.0553432835111121,-0.190977829378322
AOC3,cancer_up,2.33485825543897,-0.0336354309330407,-0.0755878230795867
SNCA,cancer_up,3.47960499399927,-0.0772990830507077,-0.176868020883208
MYO6,cancer_dn,-1.13217339147129,0.301214821580272,1.53982238877706
STOM,cancer_up,2.12258774968057,-0.0983475961338591,-0.289371488017785
