pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label
GOBP_CELL_SUBSTRATE_ADHESION,1.1103588272927544e-8,1.9642247654808827e-5,2.209859791949344,42,77,,GO:BP,3.8609625668449197,Discordant (CRE Up / PLA Down),Cell Substrate Adhesion
GOBP_WOUND_HEALING,2.887610981946059e-8,2.5540919135312893e-5,2.025704809286899,49,98,,GO:BP,3.232851985559567,Discordant (CRE Up / PLA Down),Wound Healing
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,6.189110779894145e-8,2.7371342424081856e-5,2.875193922858824,22,31,,Reactome,7.703576209600306,Discordant (CRE Up / PLA Down),Interleukin 12 Family Signaling
GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS,4.746969720694452e-8,2.7371342424081856e-5,2.3347106276526968,34,59,,GO:BP,4.338137082601055,Discordant (CRE Up / PLA Down),Receptor Mediated Endocytosis
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,1.101948885200982e-7,3.5101882891064655e-5,2.0257048092868986,45,90,,Reactome,3.216845878136201,Discordant (CRE Up / PLA Down),Platelet Activation Signaling And Aggregation
WP_VEGFAVEGFR2_SIGNALING,5.262809649507386e-7,1.0541892379336646e-4,1.6840196607324822,69,166,,WikiPathways,2.321846403336036,Discordant (CRE Up / PLA Down),Vegfavegfr2 Signaling
REACTOME_NEUTROPHIL_DEGRANULATION,5.363314381799311e-7,1.0541892379336646e-4,1.6125013407258897,80,201,,Reactome,2.1730954600761656,Discordant (CRE Up / PLA Down),Neutrophil Degranulation
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,7.715649826663646e-7,1.2408167766698173e-4,2.6215003414301044,22,34,,Reactome,5.768215720022949,Discordant (CRE Up / PLA Down),Binding And Uptake Of Ligands By Scavenger...
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,9.015973403970426e-7,1.3291047459686403e-4,2.2507831214298877,30,54,,GO:BP,3.961605584642234,Discordant (CRE Up / PLA Down),Response To Molecule Of Bacterial Origin
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,1.5374530943217734e-6,2.092118864504013e-4,2.7491708126036487,19,28,,GO:BP,6.618911719939117,Discordant (CRE Up / PLA Down),Integrin Mediated Signaling Pathway
GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY,2.3863774229016574e-6,2.9452151972920787e-4,2.452168979663088,23,38,,GO:BP,4.824712643678161,Discordant (CRE Up / PLA Down),Regulation Of Cell Projection Assembly
GOBP_ACTIN_FILAMENT_ORGANIZATION,2.4973560180543345e-6,2.9452151972920787e-4,1.7600386047902565,53,122,,GO:BP,2.473333333333333,Discordant (CRE Up / PLA Down),Actin Filament Organization
GOBP_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS,2.9798698471218415e-6,3.294618599724086e-4,3.2917703150912105,13,16,,GO:BP,13.492090395480226,Discordant (CRE Up / PLA Down),Hydrogen Peroxide Catabolic Process
REACTOME_RHO_GTPASE_EFFECTORS,4.392563567727533e-6,4.570849971358827e-4,1.887588572290065,41,88,,Reactome,2.7831074430226397,Discordant (CRE Up / PLA Down),Rho Gtpase Effectors
GOBP_PLATELET_AGGREGATION,5.40244981281188e-6,5.055254428323997e-4,2.754958540630182,17,25,,GO:BP,6.643344709897611,Discordant (CRE Up / PLA Down),Platelet Aggregation
GOBP_REGULATION_OF_BODY_FLUID_LEVELS,6.442706080031362e-6,5.295155882511661e-4,1.996346768572596,34,69,,GO:BP,3.081596786341953,Discordant (CRE Up / PLA Down),Regulation Of Body Fluid Levels
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM,8.138774962265035e-6,6.259779525324716e-4,2.329560530679934,23,40,,GO:BP,4.252434077079108,Discordant (CRE Up / PLA Down),Defense Response To Bacterium
WP_BURN_WOUND_HEALING,1.528205576516195e-5,0.0011264148603571452,2.7009397457158655,16,24,,WikiPathways,6.2419080068143105,Discordant (CRE Up / PLA Down),Burn Wound Healing
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,1.760717211482238e-5,0.001197964902735415,2.10361653272101,27,52,,GO:BP,3.403125,Discordant (CRE Up / PLA Down),Extracellular Matrix Organization
HALLMARK_COMPLEMENT,1.7315308998349066e-5,0.001197964902735415,1.9935507646950434,31,63,,Hallmark,3.062062937062937,Discordant (CRE Up / PLA Down),Complement
GOBP_ENDOTHELIUM_DEVELOPMENT,1.9034972113708935e-5,0.0012099375438726849,2.7623247399366804,15,22,,GO:BP,6.680029154518951,Discordant (CRE Up / PLA Down),Endothelium Development
GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,1.9151074747560867e-5,0.0012099375438726849,2.514668039114771,18,29,,GO:BP,5.116083916083916,Discordant (CRE Up / PLA Down),Substrate Adhesion Dependent Cell Spreading
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,2.2914528819351882e-5,0.0013977862579804647,1.8506438998423518,37,81,,Reactome,2.6683263732733695,Discordant (CRE Up / PLA Down),Extracellular Matrix Organization
GOBP_CELL_CELL_JUNCTION_ORGANIZATION,2.7499738690351596e-5,0.001569259282039741,2.4055244610281927,19,32,,GO:BP,4.572312961011591,Discordant (CRE Up / PLA Down),Cell Cell Junction Organization
