quadrant,gene
UU,ABLIM2
UU,SLC41A3
UU,ENPP4
UD,AHNAK2
UD,LSM8
UD,SFXN3
UD,MRC2
UD,MRC1
UD,RHOC
UD,S100A13
UD,COPE
UD,COL14A1
UD,RPL35A
UD,NNMT
UD,EMC2
UD,ADD3
UD,CKAP4
UD,ELAVL1
UD,ACTR2
UD,GGT5
UD,DBN1
UD,TMOD3
UD,GNAI3
UD,OSTF1
UD,SAMHD1
UD,LIMCH1
UD,GPNMB
UD,CD276
UD,LRP1
UD,HNMT
UD,CAV2
UD,ACTR3
UD,CD248
UD,BASP1
UD,SSR4
UD,RBMX
UD,FBLN5
UD,HNRNPD
UD,UGDH
UD,RPL14
UD,CTSH
UD,SEPTIN11
UD,DYNC1I2
UD,CD34
UD,FCGRT
UD,HNRNPM
UD,NUDCD3
UD,IGFBP5
UD,PDIA4
UD,SEPTIN9
UD,RAB23
UD,RPL23A
UD,ARPC1B
UD,TPM4
UD,ACTN3
UD,GLUD1
UD,EPS15
UD,RPL5
UD,SND1
UD,VCAN
UD,MVP
UD,LRRC59
UD,NAGK
UD,GNA11
UD,CTSZ
UD,HDLBP
UD,CLTC
UD,LGMN
UD,PTBP1
UD,HLA-A
UD,CALD1
UD,CASP3
UD,HSP90B1
UD,HNRNPDL
UD,KRT8
UD,LDHA
UD,PRDX4
UD,TNPO1
UD,C20orf27
UD,ACACB
UD,PTGIS
UD,MTDH
UD,CORO1C
UD,VARS1
UD,CHORDC1
UD,F13A1
UD,COL6A1
UD,PDIA3
UD,SSB
UD,CACYBP
UD,GSN
UD,KCTD12
UD,SH3BGRL3
UD,PLS3
UD,BTF3
UD,GYPC
UD,PTMS
UD,SEPTIN2
UD,CALR
UD,ALYREF
UD,APOD
UD,ARF1
UD,SH3BGRL
UD,COL6A2
UD,CAPZA1
UD,CD58
UD,RANGAP1
UD,RPL10A
UD,MYH10
UD,YWHAQ
UD,PGRMC1
UD,RPL36
UD,STAT1
UD,ARF4
UD,RCN3
UD,HNRNPU
UD,SEPTIN7
UD,GLUL
