module,contrast,model,r_equiv,p_raw,p_bh,sig_tier
MEturquoise,Cancer_vs_Healthy,CRvH,-0.608,0.00119350838545473,0.01909613416727575,FDR
MEblue,Cancer_vs_Healthy,CRvH,0.4455,0.02656055412706955,0.2549813196198677,nominal
MEbrown,Cancer_vs_Healthy,CRvH,0.6598,2.3778596649398948e-4,0.00832500366985151,FDR
MEyellow,Cancer_vs_Healthy,CRvH,-0.6181,3.4687515291047965e-4,0.00832500366985151,FDR
MEgreen,Cancer_vs_Healthy,CRvH,0.0816,0.6970264756799078,0.9595200750238686,ns
MEred,Cancer_vs_Healthy,CRvH,0.0288,0.881791084513025,0.9813937676430432,ns
MEblack,Cancer_vs_Healthy,CRvH,-0.3814,0.04036038901168182,0.32288311209345455,nominal
MEturquoise,Training_CR,CRvH,0.4112,0.18648906990942335,0.9531819171570848,ns
MEblue,Training_CR,CRvH,-0.0471,0.8890946791544718,0.9813937676430432,ns
MEbrown,Training_CR,CRvH,-0.3055,0.31305758159428715,0.9531819171570848,ns
MEyellow,Training_CR,CRvH,-0.2067,0.44725294178165864,0.9531819171570848,ns
MEgreen,Training_CR,CRvH,0.2147,0.5062247374022073,0.9531819171570848,ns
MEred,Training_CR,CRvH,0.2773,0.30266551360214716,0.9531819171570848,ns
MEblack,Training_CR,CRvH,0.2306,0.3926460411992566,0.9531819171570848,ns
MEturquoise,Baseline_Supplement,CR,0.1191,0.6746730954687208,0.9595200750238686,ns
MEblue,Baseline_Supplement,CR,-0.1745,0.5362526469924194,0.9531819171570848,ns
MEbrown,Baseline_Supplement,CR,-0.208,0.46206236025072656,0.9531819171570848,ns
MEyellow,Baseline_Supplement,CR,0.1403,0.6354546114380566,0.9531819171570848,ns
MEgreen,Baseline_Supplement,CR,0.2032,0.4716568406330306,0.9531819171570848,ns
MEred,Baseline_Supplement,CR,0.1815,0.5387150611724825,0.9531819171570848,ns
MEblack,Baseline_Supplement,CR,0.2704,0.35547680738823484,0.9531819171570848,ns
MEturquoise,Training_CRE,CR,0.3667,0.2758696340089675,0.9531819171570848,ns
MEblue,Training_CRE,CR,-0.0263,0.9405023606579164,0.9813937676430432,ns
MEbrown,Training_CRE,CR,-0.2664,0.4282168516749938,0.9531819171570848,ns
MEyellow,Training_CRE,CR,-0.1747,0.5751131527330253,0.9531819171570848,ns
MEgreen,Training_CRE,CR,0.1887,0.5819974862365136,0.9531819171570848,ns
MEred,Training_CRE,CR,0.151,0.628281833730933,0.9531819171570848,ns
MEblack,Training_CRE,CR,0.1696,0.5852778321243463,0.9531819171570848,ns
MEturquoise,Training_PLA,CR,0.3087,0.3436453031165436,0.9531819171570848,ns
MEblue,Training_PLA,CR,-0.0596,0.8606468237120618,0.9813937676430432,ns
MEbrown,Training_PLA,CR,-0.2563,0.42101281984223016,0.9531819171570848,ns
MEyellow,Training_PLA,CR,-0.1117,0.6996500547049042,0.9595200750238686,ns
MEgreen,Training_PLA,CR,0.094,0.7749083281464852,0.9813937676430432,ns
MEred,Training_PLA,CR,0.2155,0.45253287376932183,0.9531819171570848,ns
MEblack,Training_PLA,CR,0.1438,0.6178690434337923,0.9531819171570848,ns
MEturquoise,Supplement_Interaction,CR,0.0096,0.9774666703478836,0.9877223682003275,ns
MEblue,Supplement_Interaction,CR,-0.0304,0.9298023295987318,0.9813937676430432,ns
MEbrown,Supplement_Interaction,CR,-0.0372,0.9106999535362814,0.9813937676430432,ns
MEyellow,Supplement_Interaction,CR,0.0241,0.9361019880771946,0.9813937676430432,ns
MEgreen,Supplement_Interaction,CR,-0.0451,0.8933731676355359,0.9813937676430432,ns
MEred,Supplement_Interaction,CR,0.0754,0.8013921112732021,0.9813937676430432,ns
MEblack,Supplement_Interaction,CR,0.0046,0.9877223682003275,0.9877223682003275,ns
