pathway,module_color,n_proteins,bio_label,NES_CvH,padj_CvH,NES_TR,padj_TR,NES_CRE,padj_CRE,NES_PLA,padj_PLA,NES_INT,padj_INT,sig_conc,sig_rev
black,black,33,"M7:
Extracellular
Matrix
Organization
(n=33)",2.0187285842359737,1.744556482853496e-4,2.223324162535266,1.872213845144166e-5,1.8965165921618306,0.0012037950197361983,1.911499130256142,0.001695479151512559,-0.5722692206124905,0.9895660422101019,Both sig,Both sig
blue,blue,406,"M2: Aerobic
Respiration
And
Respiratory
Electron
Transport
(n=406)",-3.5047014667956784,2.5223264616803925e-58,-0.9196178193263919,0.7361963190184049,-1.5133976732843768,1.5613209134073263e-4,1.0260290185294747,0.37196391394864675,-1.5330364884226817,5.997826415203105e-5,Cancer only,Both sig
brown,brown,346,"M3: Cardiac
Conduction
(n=346)",-4.10645683497938,7.297489523432229e-84,-2.482510362893744,2.710856995497623e-20,-2.740936538733283,2.724907245630698e-27,-1.5931864627376278,1.8733449968661776e-4,-1.431547577584575,0.0019529208745226602,Both sig,Both sig
green,green,89,"M5: ATP
Synthesis
Coupled
Electron
Transport
(n=89)",-0.944215707337157,0.5856666666666667,1.7410673522053977,8.181378297995996e-4,1.2714218981250027,0.09356191865766916,1.4648023381614397,0.015941295546558706,-1.0693918212855205,0.4272774060730828,Training only,NS
red,red,75,"M6: Striated
Muscle
Contraction
(n=75)",-1.6821313002262157,0.0020032052222154107,2.6037325031468463,7.094640354829524e-11,2.1398663333908035,7.1204440956071515e-6,2.3971684818493033,4.9104010472048924e-8,-1.1894976299483018,0.2704866364094806,Both sig,Both sig
turquoise,turquoise,480,"M1: Neutrophil
Degranulation
(n=480)",3.9753809181315587,1.531435212856776e-131,2.5514325053442066,1.9422737539007336e-25,3.1883971431099187,3.3101679622610164e-55,1.2588395822363754,0.013113525665043086,1.9254544352979779,4.8635806914502013e-11,Both sig,Both sig
yellow,yellow,158,"M4: Heme
Metabolism
(n=158)",3.3848413463271623,7.22398379738354e-41,-2.3575574170005797,4.2642273290963425e-11,-2.4804746750651225,4.443271361434066e-13,-1.7379967738529272,4.02739166187518e-4,-0.9638268671338063,0.6532522679019495,Both sig,Both sig
