"comparison","p_raw","p_bh","cliffs_d"
"CRE_T1 vs CRE_T2",2.06347269807443e-35,2.06347269807443e-35,-0.204032029466847
"PLA_T1 vs PLA_T2",6.79215692250995e-69,1.35843138450199e-68,0.296873012238252
"CRE_T1 vs PLA_T1",3.44945318899912e-38,4.5992709186655e-38,-0.214563058649306
"CRE_T2 vs PLA_T2",5.37507206481214e-69,1.35843138450199e-68,0.294044364735889
