"gene","dcv_CRE","dcv_PLA","mean_dcv","dist_origin"
"MB",3.38648884019065,-42.2829891382681,-19.4482501490387,42.4183860741027
"CKM",1.60385151145371,-27.4484863880201,-12.9223174382832,27.4953040474936
"ALDOA",6.36807060244947,5.21084449234418,5.78945754739683,8.22831838963314
"GAPDH",5.38220380243088,-15.3458765407206,-4.98183636914488,16.2623505242613
"CKB",-4.64195815542656,-10.3557196785614,-7.49883891699396,11.348511161279
"CA3",-6.75717139053688,-83.3903003777734,-45.0737358841552,83.6636214988114
"FHL1",-11.4791642905675,-16.9714818119522,-14.2253230512599,20.4890802063749
"ACTA1",94.1109733817494,72.3455305546264,83.2282519681879,118.704469596097
"ENO1",57.9796482751533,-96.1423887174827,-19.0813702211647,112.271984583929
"ENO3",12.348172362522,-34.3448744044644,-10.9983510209712,36.4972294640701
"ACTB",59.294709824375,-61.7013597168151,-1.20332494622008,85.5740638515003
"PRDX2",76.537372860729,-130.491530607396,-26.9770788733336,151.281224891535
"PKM",0.662604490680573,-5.17486531473638,-2.2561304120279,5.21711373622731
"TPI1",2.9683309709458,-5.64064310894173,-1.33615606899797,6.37399744552254
"ENO2",-3.09641289503475,-35.8484123986882,-19.4724126468615,35.9818905051271
"PGAM1",25.0246625483447,-43.9932453899195,-9.48429142078737,50.6126404724768
"CASQ1",7.52013128818577,-5.70259593368458,0.908767677250595,9.43779502714625
"PGK1",13.8893850269461,-5.56394324753697,4.16272088970458,14.9623688261106
"HSPB1",3.58833687341077,-3.0183127020753,0.285012085667735,4.68896290074773
"MYL1",62.9775077288867,30.4899125215707,46.7337101252287,69.9700024675933
"PYGM",9.29440450581802,-33.9322369204354,-12.3189162073087,35.1821354886586
"CRYAB",5.5190092205872,-59.0833018244259,-26.7821463019193,59.3405090747723
"LDHA",16.5353636456995,-4.26571432156129,6.13482466206913,17.0767259616326
"MYL2",28.8827123000201,21.5906579358682,25.2366851179442,36.0606098105592
"AK1",8.17562866442571,-10.3877151898455,-1.10604326270987,13.2191350293401
