"contrast","med_abs_lfc","ci_lo","ci_hi","n_above_05","annotation"
"Baseline_Supplement",0.308229360168379,0.289309568981992,0.322841319085409,709,"Med.|logFC| = 0.31 [0.29, 0.32]
n(>0.5) = 709"
"Training_CRE",0.197436126514562,0.190169772602338,0.210497133623225,370,"Med.|logFC| = 0.20 [0.19, 0.21]
n(>0.5) = 370"
"Training_PLA",0.269837368675001,0.254009239434092,0.283919172286626,562,"Med.|logFC| = 0.27 [0.25, 0.28]
n(>0.5) = 562"
"Supplement_Interaction",0.384218724891305,0.365405837773192,0.402402660322217,916,"Med.|logFC| = 0.38 [0.37, 0.40]
n(>0.5) = 916"
