"supplement","timepoint","group","med","ci_lo","ci_hi","cv_max"
"CRE","T1","CRE_T1",31.781707664677,30.9104709295859,32.5169753614698,167.868146624666
"CRE","T2","CRE_T2",37.7132112618459,36.7510985079683,38.7949003911876,204.088398033821
"PLA","T1","PLA_T1",39.4208747109354,38.5622572396704,40.4833753353978,185.500442591797
"PLA","T2","PLA_T2",27.9643762108093,27.2082628607082,28.7609171371825,212.976208441641
