pathway_label,pathway_padj,pathway_db,n_overlap,mean_logFC,direction
Cytosolic Trna Aminoacylat..,0.011751553008103387,Reactome,8,-0.5890518359173617,Down
Amino Acid Activation,0.047447285387176096,GO:BP,9,-0.6022424709456328,Down
Heme Metabolism,6.693518612321511e-9,Hallmark,32,1.5197153352639754,Up
Platelet Activation Signal..,9.705152897699151e-8,Reactome,37,1.5995125365038159,Up
EMT,1.5326576096223792e-7,Hallmark,28,1.761504654834626,Up
Apical Junction,5.4666693331755325e-6,Hallmark,23,1.1995501373636395,Up
ECM Organization,1.4691962165413383e-5,Reactome,32,1.6463550128835192,Up
Ecm Proteoglycans,7.688133594010123e-5,Reactome,15,1.8087627036745855,Up
G Alpha S Signalling Events,7.688133594010123e-5,Reactome,11,1.3301644949021056,Up
Gene And Protein Expressio..,7.688133594010123e-5,Reactome,15,1.0649536864200775,Up
Platelet Aggregation,1.583693111609482e-4,GO:BP,14,1.337612269663873,Up
Receptor Internalization,1.914443564154257e-4,GO:BP,17,1.3123316755031227,Up
Neutrophil Degranulation,2.0155954800183036e-4,Reactome,54,1.4290433036979535,Up
Coagulation,2.1354015937787414e-4,Hallmark,17,2.0235952957323478,Up
Complement,2.1354015937787414e-4,Hallmark,21,1.6806504636484234,Up
Eph Ephrin Signaling,2.4046122672671905e-4,Reactome,16,0.9718236548879854,Up
Xenobiotic Metabolism,2.5275180112383264e-4,Hallmark,23,1.6033435522141861,Up
L1cam Interactions,4.928370036283402e-4,Reactome,19,1.379788620594063,Up
Regulation Of Insulin Secr..,9.437346223665102e-4,Reactome,12,1.2744592178291776,Up
IL-4/IL-13 Signaling,0.0010309336790366459,Reactome,10,1.7092114557010745,Up
Apoptosis,0.0017318144533420934,Hallmark,16,1.7718294062159234,Up
Rho Gtpase Effectors,0.001772099841698099,Reactome,28,1.267565856880039,Up
KRAS Signaling Up,0.002128403918979313,Hallmark,10,1.8157947589762573,Up
Amyloid Fiber Formation,0.0034170496071893475,Reactome,9,1.8673778277901312,Up
Leukocyte Cell Cell Adhesion,0.0034239434816733206,GO:BP,21,1.6554512336248646,Up
