pathway,pathway_label,database,NES_Cancer_vs_Healthy,NES_Training_CR,padj_Cancer_vs_Healthy,padj_Training_CR,significance,set_size
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,Adenylate Cyclase Modulating G Protein Coupled Receptor Signaling Pathway,GO:BP,1.585,-1.973,0.1129,0.08338,NS,21
WP_OXIDATIVE_STRESS_RESPONSE,Wp Oxidative Stress Response,WikiPathways,1.715,-1.799,0.05822,0.1054,NS,14
WP_G_PROTEIN_SIGNALING,Wp G Protein Signaling,WikiPathways,1.675,-1.831,0.06567,0.06834,NS,24
PID_CXCR4_PATHWAY,Pid Cxcr4 Pathway,PID,1.773,-1.725,0.05717,0.4565,NS,31
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,Adora2b Mediated Anti Inflammatory Cytokines Production,Reactome,1.622,-1.852,0.08275,0.1579,NS,11
GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS,Glycerophospholipid Biosynthetic Process,GO:BP,-1.609,1.814,0.1201,0.19,NS,21
REACTOME_REGULATION_OF_INSULIN_SECRETION,Regulation Of Insulin Secretion,Reactome,1.634,-1.785,0.06611,0.1579,NS,22
GOBP_ALDEHYDE_METABOLIC_PROCESS,Aldehyde Metabolic Process,GO:BP,1.521,-1.87,0.1324,0.1885,NS,31
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN,Mitochondrial Electron Transport Cytochrome C To Oxygen,GO:BP,-1.682,1.696,0.09932,0.2807,NS,13
GOBP_TRANSITION_METAL_ION_TRANSPORT,Transition Metal Ion Transport,GO:BP,1.65,1.723,0.07843,0.2807,NS,18
GOBP_RESPONSE_TO_FATTY_ACID,Response To Fatty Acid,GO:BP,1.679,-1.679,0.07096,0.3241,NS,15
GOBP_RESPONSE_TO_OXYGEN_RADICAL,Response To Oxygen Radical,GO:BP,1.595,-1.76,0.1143,0.2807,NS,12
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_RADICAL,Cellular Response To Oxygen Radical,GO:BP,1.66,-1.691,0.08062,0.3406,NS,11
GOBP_IRON_ION_TRANSPORT,Iron Ion Transport,GO:BP,1.676,1.67,0.07239,0.3074,NS,15
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION,Regulation Of The Force Of Heart Contraction,GO:BP,-1.643,1.691,0.1102,0.2807,NS,14
PID_ER_NONGENOMIC_PATHWAY,Pid Er Nongenomic Pathway,PID,1.844,-1.483,0.05161,0.8543,NS,14
WP_CARDIOMYOCYTE_SIGNALING_CONVERGING_ON_TITIN,Wp Cardiomyocyte Signaling Converging On Titin,WikiPathways,-1.725,1.556,0.07349,0.2992,NS,13
GOBP_REGULATION_OF_T_CELL_MIGRATION,Regulation Of T Cell Migration,GO:BP,1.675,-1.601,0.08062,0.5416,NS,10
PID_HDAC_CLASSII_PATHWAY,Pid Hdac Classii Pathway,PID,1.776,-1.494,0.06457,0.8543,NS,11
GOBP_RESPONSE_TO_AXON_INJURY,Response To Axon Injury,GO:BP,1.422,-1.821,0.2285,0.2081,NS,18
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_UBIQUINOL_TO_CYTOCHROME_C,Mitochondrial Electron Transport Ubiquinol To Cytochrome C,GO:BP,-1.511,1.725,0.1953,0.2807,NS,11
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,Morphogenesis Of A Polarized Epithelium,GO:BP,1.564,-1.661,0.1367,0.4314,NS,10
GOBP_EPITHELIAL_TUBE_MORPHOGENESIS,Epithelial Tube Morphogenesis,GO:BP,1.604,-1.619,0.0734,0.3025,NS,33
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,Integration Of Energy Metabolism,Reactome,1.505,-1.718,0.09435,0.1579,NS,36
GOBP_PROTEIN_QUALITY_CONTROL_FOR_MISFOLDED_OR_INCOMPLETELY_SYNTHESIZED_PROTEINS,Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins,GO:BP,-1.605,1.597,0.1342,0.4314,NS,10
REACTOME_PEPTIDE_HORMONE_METABOLISM,Peptide Hormone Metabolism,Reactome,1.677,-1.52,0.06542,0.5018,NS,12
GOBP_FEMALE_SEX_DIFFERENTIATION,Female Sex Differentiation,GO:BP,1.405,-1.785,0.2606,0.2807,NS,10
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN,Carboxyterminal Post Translational Modifications Of Tubulin,Reactome,1.656,-1.531,0.07045,0.5018,NS,10
GOBP_PENTOSE_PHOSPHATE_SHUNT,Pentose Phosphate Shunt,GO:BP,1.592,-1.576,0.1195,0.5832,NS,10
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES,Mapk Targets Nuclear Events Mediated By Map Kinases,Reactome,-1.705,1.456,0.07656,0.5474,NS,11
GOBP_MITOCHONDRIAL_FISSION,Mitochondrial Fission,GO:BP,-1.672,1.477,0.1084,0.6883,NS,12
GOBP_NADPH_REGENERATION,Nadph Regeneration,GO:BP,1.525,-1.62,0.152,0.4314,NS,14
REACTOME_HIGH_LAMINAR_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_PECAM1_CDH5_KDR_IN_ENDOTHELIAL_CELLS,High Laminar Flow Shear Stress Activates Signaling By Piezo1 And Pecam1 Cdh5 Kdr In Endothelial Cells,Reactome,1.621,-1.5,0.07422,0.5018,NS,17
GOBP_REPRODUCTIVE_SYSTEM_DEVELOPMENT,Reproductive System Development,GO:BP,1.675,-1.435,0.05115,0.6054,NS,31
GOBP_RESPONSE_TO_PROSTAGLANDIN,Response To Prostaglandin,GO:BP,1.493,-1.616,0.1828,0.46,NS,12
REACTOME_CA2_PATHWAY,Ca2 Pathway,Reactome,1.464,-1.643,0.1477,0.38,NS,12
GOBP_SMOOTH_MUSCLE_CONTRACTION,Smooth Muscle Contraction,GO:BP,1.466,-1.639,0.1901,0.3515,NS,17
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS,Amino Acid Betaine Metabolic Process,GO:BP,-1.212,-1.88,0.445,0.1885,NS,11
REACTOME_RHOV_GTPASE_CYCLE,Rhov Gtpase Cycle,Reactome,1.586,1.5,0.09077,0.5018,NS,12
GOBP_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,Reactive Oxygen Species Biosynthetic Process,GO:BP,1.324,-1.758,0.3366,0.2807,NS,10
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,Env Factor Arsenic To Electron Transfer In Complex Iv,KEGG,-1.321,1.757,0.1678,0.0532,NS,12
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,Nuclear Events Kinase And Transcription Factor Activation,Reactome,-1.693,1.384,0.07461,0.6105,NS,12
WP_MITOCHONDRIAL_COMPLEX_III_ASSEMBLY,Wp Mitochondrial Complex Iii Assembly,WikiPathways,-1.329,1.745,0.3162,0.1054,NS,14
GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,Negative Regulation Of Microtubule Polymerization Or Depolymerization,GO:BP,1.289,-1.782,0.3675,0.2807,NS,11
GOBP_ORGANELLE_MEMBRANE_FUSION,Organelle Membrane Fusion,GO:BP,1.395,-1.673,0.222,0.2807,NS,31
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,Rho Gtpases Activate Wasps And Waves,Reactome,1.631,1.437,0.07411,0.5474,NS,16
GOBP_FEMALE_GAMETE_GENERATION,Female Gamete Generation,GO:BP,-1.475,1.59,0.222,0.4551,NS,10
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,Pathogen Salmonella Sifa To Microtubule Plus End Directed Transport,KEGG,1.602,-1.457,0.06114,0.2078,NS,12
KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT,Reference Anterograde Axonal Transport,KEGG,1.602,-1.457,0.06114,0.2078,NS,12
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ANTEROGRADE_AXONAL_TRANSPORT,Variant Mutation Caused Aberrant Htt To Anterograde Axonal Transport,KEGG,1.602,-1.457,0.06114,0.2078,NS,12
GOBP_NEURON_PROJECTION_REGENERATION,Neuron Projection Regeneration,GO:BP,1.605,-1.45,0.1102,0.7306,NS,13
PID_MYC_REPRESS_PATHWAY,Pid MYC Repress Pathway,PID,1.604,-1.444,0.1533,0.8543,NS,15
GOBP_MODULATION_BY_HOST_OF_VIRAL_PROCESS,Modulation By Host Of Viral Process,GO:BP,1.727,-1.3,0.05155,0.8281,NS,15
PID_CDC42_PATHWAY,Pid Cdc42 Pathway,PID,1.506,1.518,0.1623,0.8543,NS,26
GOBP_GLUTATHIONE_METABOLIC_PROCESS,Glutathione Metabolic Process,GO:BP,1.31,-1.705,0.3319,0.2807,NS,24
GOBP_G_PROTEIN_COUPLED_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY,G Protein Coupled Dopamine Receptor Signaling Pathway,GO:BP,1.435,-1.578,0.2326,0.5709,NS,10
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,Adenylate Cyclase Activating G Protein Coupled Receptor Signaling Pathway,GO:BP,1.154,-1.858,0.5038,0.2081,NS,13
REACTOME_RAB_GERANYLGERANYLATION,Rab Geranylgeranylation,Reactome,1.175,-1.836,0.3897,0.1689,NS,20
GOBP_NEURAL_TUBE_DEVELOPMENT,Neural Tube Development,GO:BP,1.292,-1.718,0.3619,0.283,NS,15
KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY,Pathogen Escherichia Eae Tir To Actin Signaling Pathway,KEGG,1.642,1.365,0.06004,0.2275,NS,11
KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION,Reference Microtubule Depolymerization,KEGG,1.563,-1.444,0.07371,0.2078,NS,12
