pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label
GOBP_COMPLEMENT_ACTIVATION,1.2332624449901312e-7,1.0612223339140078e-4,35.595238095238095,5,24,,GO:BP,68.9766081871345,Exacerbated Up,Complement Activation
HALLMARK_COAGULATION,1.1076162974425789e-7,1.0612223339140078e-4,21.81155015197568,6,47,,Hallmark,42.75,Exacerbated Up,Coagulation
REACTOME_COMPLEMENT_CASCADE,2.32026938341334e-7,1.3310612029514526e-4,31.640211640211643,5,27,,Reactome,59.494949494949495,Exacerbated Up,Complement Cascade
WP_COMPLEMENT_AND_COAGULATION_CASCADES,4.158513508699251e-6,0.0011928002914119017,32.54421768707483,4,21,,WikiPathways,55.55294117647059,Exacerbated Up,Complement And Coagulation Cascades
GOBP_HUMORAL_IMMUNE_RESPONSE,3.709182654339925e-6,0.0011928002914119017,18.57142857142857,5,46,,GO:BP,31.666666666666668,Exacerbated Up,Humoral Immune Response
WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,5.06554020778887e-6,0.0012453992425149492,31.06493506493506,4,22,,WikiPathways,52.44444444444444,Exacerbated Up,Complement System In Neuronal Development ...
WP_COMPLEMENT_SYSTEM,1.195009621356286e-5,0.0022851239537268536,25.312169312169313,4,27,,WikiPathways,40.95652173913044,Exacerbated Up,Complement System
HALLMARK_COMPLEMENT,1.1933786253484861e-5,0.0022851239537268536,14.729064039408867,5,58,,Hallmark,24.371069182389938,Exacerbated Up,Complement
GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS,2.26881874053595e-5,0.00390463705246237,12.943722943722944,5,66,,GO:BP,21.10200364298725,Exacerbated Up,Regulation Of Lipid Metabolic Process
HALLMARK_INTERFERON_GAMMA_RESPONSE,3.890958468446425e-5,0.0060875813856329985,18.984126984126984,4,36,,Hallmark,29.325,Exacerbated Up,Interferon Gamma Response
GOBP_REGULATION_OF_LIPID_LOCALIZATION,4.347877904691208e-5,0.006235581561644641,18.47104247104247,4,37,,GO:BP,28.424242424242426,Exacerbated Up,Regulation Of Lipid Localization
GOBP_ACUTE_INFLAMMATORY_RESPONSE,1.0350847133630575e-4,0.011875871944652146,30.15126050420168,3,17,,GO:BP,46.05194805194805,Exacerbated Up,Acute Inflammatory Response
GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS,1.0350847133630575e-4,0.011875871944652146,30.15126050420168,3,17,,GO:BP,46.05194805194805,Exacerbated Up,Regulation Of Plasma Lipoprotein Particle ...
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,1.0350847133630575e-4,0.011875871944652146,30.15126050420168,3,17,,Reactome,46.05194805194805,Exacerbated Up,Plasma Lipoprotein Assembly Remodeling And...
GOBP_TRIGLYCERIDE_METABOLIC_PROCESS,1.2378061815283492e-4,0.012530967284766405,28.476190476190474,3,18,,GO:BP,42.96363636363636,Exacerbated Up,Triglyceride Metabolic Process
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,1.8261325377259103e-4,0.01745985609681273,12.89487870619946,4,53,,GO:BP,19.012244897959185,Exacerbated Up,Regulation Of Immune Effector Process
HALLMARK_KRAS_SIGNALING_UP,2.640318751571152e-4,0.020654493506608876,22.285714285714285,3,23,,Hallmark,32.154545454545456,Exacerbated Up,KRAS Signaling Up
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,2.4302000413109137e-4,0.020654493506608876,11.989974937343357,4,57,,WikiPathways,17.547169811320753,Exacerbated Up,Network Map Of Sarscov2 Signaling
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,2.601375017516551e-4,0.020654493506608876,11.783251231527093,4,58,,Reactome,17.214814814814815,Exacerbated Up,Response To Elevated Platelet Cytosolic Ca2
GOBP_NEGATIVE_REGULATION_OF_MAPK_CASCADE,3.4052949326421886e-4,0.025480489474248722,20.502857142857142,3,25,,GO:BP,29.206611570247933,Exacerbated Up,Negative Regulation Of Mapk Cascade
GOBP_B_CELL_MEDIATED_IMMUNITY,3.836141116094774e-4,0.027508328586662942,19.714285714285715,3,26,,GO:BP,27.92490118577075,Exacerbated Up,B Cell Mediated Immunity
HALLMARK_XENOBIOTIC_METABOLISM,4.0537191148062244e-4,0.02790580238632605,10.514285714285714,4,65,,Hallmark,15.193442622950819,Exacerbated Up,Xenobiotic Metabolism
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,4.300721135339674e-4,0.02846746566892146,18.984126984126984,3,27,,Reactome,26.75,Exacerbated Up,Regulation Of Insulin Like Growth Factor I...
