module,compartment,odds_ratio,p_raw,n_overlap,n_module,n_compartment,n_universe,p_bh
blue,Mitochondria,13.444542330455764,9.163583643385022e-71,180,315,288,1515,5.131606840295612e-69
green,Mitochondria,12.345833444070225,4.680858485324988e-22,49,69,288,1515,1.3106403758909968e-20
turquoise,Endoplasmic reticulum,2.615509112630989,1.2951063502312976e-6,53,389,117,1515,2.4175318537650892e-05
brown,Nucleoplasm,1.942153802141125,3.5073134248266464e-6,100,267,394,1515,4.910238794757305e-5
turquoise,Plasma membrane,2.110395474975713,8.639252172114707e-6,70,389,176,1515,8.06330202730706e-5
yellow,Cytosol,2.276540220586073,7.224550363146532e-6,74,128,595,1515,8.06330202730706e-5
turquoise,Golgi apparatus,3.2738344654985294,1.3262559068771273e-5,30,389,58,1515,1.003480468243335e-4
red,Cytoskeleton,7.019291072081193,1.433543526061907e-5,10,44,69,1515,1.003480468243335e-4
red,Endoplasmic reticulum,4.869331669551166,6.518759828401388e-5,12,44,117,1515,4.056117226560864e-4
turquoise,Cytoskeleton,2.0515063048362268,0.00395763605812835,28,389,69,1515,0.02216276192551876
turquoise,Vesicles,1.6583414803502585,0.005463993726344361,49,389,139,1515,0.027816695334116747
black,Cytoskeleton,4.6126537628795345,0.0181123082877146,4,23,69,1515,0.08452410534266813
yellow,Nucleoplasm,1.3801051002150584,0.06645388513391681,41,128,394,1515,0.28626288980764164
brown,Plasma membrane,1.3344523690540566,0.08834802307430442,38,267,176,1515,0.3533920922972177
black,Endoplasmic reticulum,2.566819625854503,0.095406651641245,4,23,117,1515,0.35618483279398133
brown,Cytosol,1.1879842363615782,0.11672150340349619,114,267,595,1515,0.40852526191223665
red,Cytosol,1.4264484033927014,0.15658061591931016,21,44,595,1515,0.5157949700871394
brown,Golgi apparatus,1.2294889778884865,0.3167672025772359,12,267,58,1515,0.9854979635736228
turquoise,Cytosol,0.9604793936184353,0.6527105347232358,150,389,595,1515,1
turquoise,Mitochondria,0.13482270723686413,1,16,389,288,1515,1
turquoise,Nucleoplasm,0.877380390927424,0.8480396975967285,94,389,394,1515,1
blue,Cytoskeleton,0.350604900094093,0.9983433382109536,6,315,69,1515,1
blue,Cytosol,0.4350111767650981,0.9999999995726303,78,315,595,1515,1
blue,Endoplasmic reticulum,0.02978689388978146,0.9999999999995892,1,315,117,1515,1
blue,Golgi apparatus,0.2731074572259966,0.9992190179086196,4,315,58,1515,1
blue,Nucleoplasm,0.4697155259291446,0.9999994240023242,50,315,394,1515,1
blue,Plasma membrane,0.3480252305395556,0.9999968750550923,16,315,176,1515,1
blue,Vesicles,0.7362176941473796,0.9227030699453578,23,315,139,1515,1
brown,Cytoskeleton,0.6908536295761869,0.8850068227307473,9,267,69,1515,1
brown,Endoplasmic reticulum,0.7240641512852826,0.9052119287982163,16,267,117,1515,1
brown,Mitochondria,0.16584165880462187,0.99999999999999,12,267,288,1515,1
brown,Vesicles,0.9730632969502011,0.5843582336583978,24,267,139,1515,1
yellow,Cytoskeleton,0.6562353757439461,0.8510611304680773,4,128,69,1515,1
yellow,Endoplasmic reticulum,0.1756792121822675,0.9997299005872842,2,128,117,1515,1
yellow,Golgi apparatus,0.7964294086379174,0.7382414010957392,4,128,58,1515,1
yellow,Mitochondria,0.1253776298596233,0.9999999967086227,4,128,288,1515,1
yellow,Plasma membrane,1.0954935669979153,0.41635023260424125,16,128,176,1515,1
yellow,Vesicles,1.1312047708729527,0.39130160295189825,13,128,139,1515,1
green,Cytoskeleton,0.6145807654184462,0.8344717741914065,2,69,69,1515,1
green,Cytosol,0.22030807771444466,0.9999997873945176,9,69,595,1515,1
green,Endoplasmic reticulum,0.16871344979744454,0.9965848675877249,1,69,117,1515,1
green,Golgi apparatus,0.3585193672909418,0.9365234079968622,1,69,58,1515,1
green,Nucleoplasm,0.2598383107898036,0.9999467930323582,6,69,394,1515,1
green,Plasma membrane,0.33463523347158863,0.9910799936956458,3,69,176,1515,1
green,Vesicles,0.2853649468084802,0.9907356946890475,2,69,139,1515,1
red,Golgi apparatus,0.5770590424005162,0.8249936830934281,1,44,58,1515,1
red,Mitochondria,0.3046532257989782,0.9945695749196459,3,44,288,1515,1
red,Nucleoplasm,0.6247887781721457,0.920038157835978,8,44,394,1515,1
red,Plasma membrane,0.7553592635127561,0.7717254006415081,4,44,176,1515,1
red,Vesicles,0.989636272495455,0.586247651962296,4,44,139,1515,1
black,Cytosol,0.6727866955898163,0.8629170178504328,7,23,595,1515,1
black,Golgi apparatus,0,1,0,23,58,1515,1
black,Mitochondria,0,1,0,23,288,1515,1
black,Nucleoplasm,1.004242218614604,0.5766443673762075,6,23,394,1515,1
black,Plasma membrane,1.1435159421245995,0.5108443663431628,3,23,176,1515,1
black,Vesicles,1.4951127091649694,0.35443521101857806,3,23,139,1515,1
