module,observed_adj,null_mean,null_sd,Zsummary,module_size
turquoise,0.05110857673644401,0.007082659867855321,7.246455371635857e-4,60.75510661518091,480
blue,0.02758279894659549,0.007073737868367052,9.077163537107978e-4,22.594129756929235,406
brown,0.015117239118442012,0.007140872495215851,8.69615101673051e-4,9.172295430335147,346
yellow,0.05571392684712299,0.00719023265338206,0.0016192848247814405,29.96612668206182,158
green,0.07947722305728801,0.0067639566875219576,0.0018490273715428206,39.325143309855065,89
red,0.06551208068267123,0.007084449861646903,0.0018041772208938864,32.384640568777456,75
black,0.17817113438023927,0.006812023104652664,0.0035861647287857477,47.78339095806335,33
