gene,logFC_CRE,logFC_PLA,t_CRE,t_PLA,pi_CRE,pi_PLA,sig_class,is_sig,quadrant
MB,-0.0567007031733482,-0.143965910837501,-0.354351627092142,-0.77389789644086,0.9820115943799796,0.890330278904914,NS,FALSE,Concordant Down
CKM,0.0466806986811754,0.0191479441951721,0.44933820310466,0.15853901668237,0.9805859543243364,0.9974530928952148,NS,FALSE,Concordant Up
ALDOA,0.080271367233685,-0.00838929238817343,0.81142970078212,-0.0729446729303827,0.9335812457077954,0.9995026985438528,NS,FALSE,Discordant (CRE up / PLA down)
GAPDH,0.13429896399192,0.081973643173999,1.23200002536708,0.64683021964446,0.8206004646939397,0.9483484574174204,NS,FALSE,Concordant Up
CKB,-0.0714335721705623,-0.019052387817549,-0.442457324074547,-0.10150710544088801,0.970960428491613,0.9984117699839412,NS,FALSE,Concordant Down
CA3,0.0701693237384582,0.118104738680749,0.508221323524287,0.735784992335158,0.9665467421713484,0.9143916963884184,NS,FALSE,Concordant Up
FHL1,0.0965469368971696,0.284282689754011,0.564534307537387,1.42981637476208,0.9483593129676776,0.5993177036252856,NS,FALSE,Concordant Up
ACTA1,0.456733069183638,0.823859081946971,0.831017281936914,1.28937291279237,0.6683297964368258,0.2754359720725978,NS,FALSE,Concordant Up
ENO1,-0.0271136347858807,-0.101161118957581,-0.162839318434441,-0.522592495645751,0.9962918292129735,0.9505708431192128,NS,FALSE,Concordant Down
ENO3,0.05952951361229,-0.0956871727376445,0.495189415897498,-0.684653373814899,0.9723894019012136,0.93580175457375,NS,FALSE,Discordant (CRE up / PLA down)
ACTB,0.56160951245721,0.663428094470003,1.17335108246639,1.19224467785843,0.4608344558882215,0.3926484125771822,NS,FALSE,Concordant Up
PRDX2,0.10347248704171,0.0789002168883677,0.260519309602558,0.17087213202446,0.9767444329695666,0.9886857506434064,NS,FALSE,Concordant Up
PKM,0.199466764437577,0.146800171578398,1.70564971040158,1.07975164781572,0.6323256250682379,0.8340715755613058,NS,FALSE,Concordant Up
TPI1,-0.0235142924277127,-0.0305530134783112,-0.200444316630592,-0.224023663015362,0.9959852813981204,0.9941234908208672,NS,FALSE,Concordant Down
ENO2,0.0381025797519392,-0.00605484406641921,0.206758996785139,-0.0282612267116229,0.9932827503085018,0.9998633232907248,NS,FALSE,Discordant (CRE up / PLA down)
PGAM1,-0.031541169183452,-0.312155047534283,-0.220128379637838,-1.8739009059407301,0.9940478390021756,0.44114930230188487,NS,FALSE,Concordant Down
CASQ1,-0.0106345569730237,-0.0239301027108958,-0.0771039864221071,-0.14923820037688,0.9993326377617489,0.9970150005343004,NS,FALSE,Concordant Down
