metric,background_all,cancer_dep,n_all,n_dep,perm_p,n_perm,note
pearson_r,-0.3355806452783335,-0.4706570127963402,1950,287,0.03519648035196481,10000,one-sided: r_dep < null_r
pct_reversed,63.12820512820513,73.17073170731707,1950,287,3.9996000399960006e-4,10000,one-sided: frac_dep > null_frac
