replicate,r_boot
1,-0.328039837461993
2,-0.3040501865280071
3,-0.33478768296108735
4,-0.31592916681306904
5,-0.2736038385059811
6,-0.3367600042000075
7,-0.3454845076172666
8,-0.34975929473939643
9,-0.32039045740916194
10,-0.3560756961036589
11,-0.28582082820070587
12,-0.3032955514155604
13,-0.3522680937260628
14,-0.36986681484364603
15,-0.377439122958463
16,-0.36530482348343635
17,-0.3334031090000096
18,-0.35443067990200855
19,-0.33746944430823667
20,-0.39144342121132975
21,-0.38186105952176724
22,-0.3044794211984458
23,-0.33894429874417714
24,-0.3673711878425237
25,-0.31855663329655454
26,-0.3657033859025113
27,-0.35583776026570285
28,-0.3994684978364897
29,-0.306635176569777
30,-0.36977441917749815
31,-0.3726218763180444
32,-0.3311931345490919
33,-0.36551357097035997
34,-0.35734822921229625
35,-0.34994764530528755
36,-0.3588813870251491
37,-0.37804871014947866
38,-0.3336850402040869
39,-0.3456003646924666
40,-0.3655905660738551
41,-0.29494171139852104
42,-0.34352968594447597
43,-0.3273806465547355
44,-0.3597796379699536
45,-0.36850772960894784
46,-0.3231351530383973
47,-0.2936219227968142
48,-0.36702922378653574
49,-0.35235216765370403
50,-0.32824173147570473
51,-0.3078418105358687
52,-0.3416885418875494
53,-0.31121781153678746
54,-0.3568959002599657
55,-0.33578164247266146
56,-0.344604209221962
57,-0.39138747679682345
58,-0.27365654091153085
59,-0.32853947443482284
60,-0.338871726870322
61,-0.34497642645797194
62,-0.338435791369087
63,-0.34053837874123494
64,-0.2917941331326008
65,-0.3427469151042097
66,-0.3353534126411132
67,-0.3021125749180405
68,-0.3079286439545862
69,-0.31472848220892186
70,-0.350972777153096
71,-0.32750887953033275
72,-0.3578090455154913
73,-0.3129348812576113
74,-0.3276038283282707
75,-0.29766696455359515
76,-0.37321037674443774
77,-0.3633653267670583
78,-0.3649455387594185
79,-0.34195825145298003
80,-0.33452345555712704
81,-0.3837731579213064
82,-0.3327716536912273
83,-0.37234191219081025
84,-0.2805462411719112
85,-0.3595684624399667
