"class","n","pct","threshold"
"Exacerbated",491,22.5643382352941,0.05
"Negligible",698,32.0772058823529,0.05
"Reversed",987,45.3584558823529,0.05
"Exacerbated",448,20.5882352941176,0.06
"Negligible",777,35.7077205882353,0.06
"Reversed",951,43.7040441176471,0.06
"Exacerbated",426,19.5772058823529,0.07
"Negligible",853,39.2003676470588,0.07
"Reversed",897,41.2224264705882,0.07
"Exacerbated",392,18.0147058823529,0.08
"Negligible",930,42.7389705882353,0.08
"Reversed",854,39.2463235294118,0.08
"Exacerbated",352,16.1764705882353,0.09
"Negligible",1015,46.6452205882353,0.09
"Reversed",809,37.1783088235294,0.09
"Exacerbated",322,14.7977941176471,0.1
"Negligible",1082,49.7242647058824,0.1
"Reversed",772,35.4779411764706,0.1
"Exacerbated",297,13.6488970588235,0.11
"Negligible",1155,53.0790441176471,0.11
"Reversed",724,33.2720588235294,0.11
"Exacerbated",273,12.5459558823529,0.12
"Negligible",1219,56.0202205882353,0.12
"Reversed",684,31.4338235294118,0.12
"Exacerbated",251,11.5349264705882,0.13
"Negligible",1276,58.6397058823529,0.13
"Reversed",649,29.8253676470588,0.13
"Exacerbated",230,10.5698529411765,0.14
"Negligible",1332,61.2132352941176,0.14
"Reversed",614,28.2169117647059,0.14
"Exacerbated",209,9.60477941176471,0.15
"Negligible",1397,64.2003676470588,0.15
"Reversed",570,26.1948529411765,0.15
"Exacerbated",197,9.05330882352941,0.16
"Negligible",1439,66.1305147058823,0.16
"Reversed",540,24.8161764705882,0.16
"Exacerbated",177,8.13419117647059,0.17
"Negligible",1489,68.4283088235294,0.17
"Reversed",510,23.4375,0.17
"Exacerbated",169,7.76654411764706,0.18
"Negligible",1527,70.1746323529412,0.18
"Reversed",480,22.0588235294118,0.18
"Exacerbated",159,7.30698529411765,0.19
"Negligible",1577,72.4724264705882,0.19
"Reversed",440,20.2205882352941,0.19
"Exacerbated",148,6.8014705882353,0.2
"Negligible",1608,73.8970588235294,0.2
"Reversed",420,19.3014705882353,0.2
"Exacerbated",131,6.0202205882353,0.21
"Negligible",1643,75.5055147058823,0.21
"Reversed",402,18.4742647058824,0.21
"Exacerbated",121,5.56066176470588,0.22
"Negligible",1674,76.9301470588235,0.22
"Reversed",381,17.5091911764706,0.22
"Exacerbated",110,5.05514705882353,0.23
"Negligible",1707,78.4466911764706,0.23
"Reversed",359,16.4981617647059,0.23
"Exacerbated",102,4.6875,0.24
"Negligible",1742,80.0551470588235,0.24
"Reversed",332,15.2573529411765,0.24
"Exacerbated",92,4.22794117647059,0.25
"Negligible",1782,81.8933823529412,0.25
"Reversed",302,13.8786764705882,0.25
"Exacerbated",86,3.95220588235294,0.26
"Negligible",1807,83.0422794117647,0.26
"Reversed",283,13.0055147058824,0.26
"Exacerbated",81,3.72242647058824,0.27
"Negligible",1830,84.0992647058823,0.27
"Reversed",265,12.1783088235294,0.27
"Exacerbated",79,3.63051470588235,0.28
"Negligible",1852,85.1102941176471,0.28
"Reversed",245,11.2591911764706,0.28
"Exacerbated",74,3.40073529411765,0.29
"Negligible",1868,85.8455882352941,0.29
"Reversed",234,10.7536764705882,0.29
"Exacerbated",72,3.30882352941176,0.3
"Negligible",1888,86.7647058823529,0.3
"Reversed",216,9.92647058823529,0.3
