replicate,null_r,null_frac
1,-0.2643277986259675,0.662020905923345
2,-0.28984904504275383,0.5818815331010453
3,-0.30332336238303015,0.627177700348432
4,-0.32928861834409995,0.6306620209059234
5,-0.49036001743219954,0.6480836236933798
6,-0.2616095734188297,0.686411149825784
7,-0.27100324810087517,0.627177700348432
8,-0.15478431211394478,0.6445993031358885
9,-0.2703821972284463,0.5818815331010453
10,-0.2810183821756707,0.6515679442508711
11,-0.3570573219800648,0.6445993031358885
12,-0.3682778138847664,0.6376306620209059
13,-0.38658120149579966,0.6829268292682927
14,-0.3242001378209774,0.5644599303135889
15,-0.4287552900458413,0.6062717770034843
16,-0.27862686644838797,0.6585365853658537
17,-0.28562164153134656,0.6341463414634146
18,-0.2862194154073889,0.627177700348432
19,-0.3453610087907449,0.6655052264808362
20,-0.33301453348812216,0.6480836236933798
21,-0.42913879191958965,0.6411149825783972
22,-0.26128128025987746,0.6480836236933798
23,-0.3338105839084648,0.6550522648083623
24,-0.2750848155549653,0.662020905923345
25,-0.29820560464329426,0.5888501742160279
26,-0.3948738728841826,0.6445993031358885
27,-0.24735405699587482,0.6515679442508711
28,-0.2816384888550772,0.6341463414634146
29,-0.3146939460922953,0.6062717770034843
30,-0.29893051304540547,0.6550522648083623
31,-0.21249885249670106,0.627177700348432
32,-0.38181010286352113,0.6515679442508711
33,-0.28151185648404936,0.6759581881533101
34,-0.37004548463614606,0.6585365853658537
35,-0.36387635010240593,0.6411149825783972
36,-0.3104964186773036,0.5749128919860628
37,-0.4503751686340834,0.6585365853658537
38,-0.3073502487977637,0.6306620209059234
39,-0.26510666295337826,0.6376306620209059
40,-0.2945782009521337,0.627177700348432
41,-0.4098141007511804,0.6794425087108014
42,-0.3954983126609989,0.6202090592334495
43,-0.4403565739786161,0.6341463414634146
44,-0.24080068943214278,0.6236933797909407
45,-0.2948577485690845,0.5958188153310104
46,-0.3067598686545706,0.6515679442508711
47,-0.2900927142948698,0.6132404181184669
48,-0.4080115482990658,0.6376306620209059
49,-0.4005188837188547,0.6202090592334495
50,-0.37033393045281077,0.5993031358885017
51,-0.24888827712313588,0.6306620209059234
52,-0.294183551732657,0.7038327526132404
53,-0.41130724128437146,0.6480836236933798
54,-0.3671703675837875,0.6689895470383276
55,-0.3890115769897883,0.6445993031358885
56,-0.3150608415606611,0.662020905923345
57,-0.27617222647366135,0.6515679442508711
58,-0.3454209471931279,0.6376306620209059
59,-0.22299711656358365,0.6585365853658537
60,-0.2591149110112097,0.6306620209059234
61,-0.34783166504973556,0.6376306620209059
62,-0.4856418700055847,0.6689895470383276
63,-0.4003965088155433,0.5888501742160279
64,-0.2962478390859777,0.5888501742160279
65,-0.3604115126007814,0.5923344947735192
66,-0.31011747475628265,0.5853658536585366
67,-0.2488564626007128,0.6062717770034843
68,-0.2678202657564674,0.6132404181184669
69,-0.22987939486291456,0.6445993031358885
70,-0.4351056111286088,0.6585365853658537
71,-0.21693848422386847,0.6341463414634146
72,-0.316899468576464,0.6759581881533101
73,-0.3918770541126499,0.6167247386759582
74,-0.2747365850690468,0.6411149825783972
75,-0.2329642526495176,0.6445993031358885
76,-0.34435974782828643,0.6132404181184669
77,-0.28965054244985206,0.6167247386759582
78,-0.2840301915324663,0.6550522648083623
79,-0.46763521563263477,0.6306620209059234
80,-0.2933855092576049,0.627177700348432
81,-0.37643542508776334,0.5993031358885017
82,-0.3312527104795218,0.6445993031358885
83,-0.44049165367782994,0.6202090592334495
84,-0.33910869166414354,0.6376306620209059
85,-0.4238692838709508,0.6236933797909407
86,-0.4268646993126857,0.6411149825783972
87,-0.3856143975988139,0.5714285714285714
88,-0.2703353111764469,0.6376306620209059
89,-0.3924753145694763,0.6132404181184669
90,-0.2988184845237395,0.6306620209059234
91,-0.3843547153220322,0.5853658536585366
92,-0.3220771706531301,0.6689895470383276
93,-0.42690505061945466,0.5853658536585366
94,-0.4205280711195554,0.6480836236933798
95,-0.30723811710622223,0.6306620209059234
96,-0.3985183620543704,0.6202090592334495
97,-0.40061385935250954,0.6202090592334495
98,-0.41500825568749833,0.6306620209059234
99,-0.26087043811376215,0.627177700348432
100,-0.387328178835956,0.6515679442508711
101,-0.4115716797212831,0.6167247386759582
102,-0.4382162089255657,0.6445993031358885
103,-0.37611315353118097,0.6550522648083623
104,-0.352741473147588,0.6411149825783972
105,-0.29173402383989716,0.6480836236933798
106,-0.1668167718274877,0.6445993031358885
107,-0.45340164817051815,0.6202090592334495
108,-0.35567072133206246,0.6097560975609756
109,-0.22131237829718675,0.6655052264808362
110,-0.2946198902385342,0.6202090592334495
111,-0.4585609942860598,0.6411149825783972
112,-0.37802164937617144,0.662020905923345
113,-0.3973501741148003,0.6376306620209059
114,-0.38894591167058906,0.5993031358885017
115,-0.30144044836512596,0.6062717770034843
116,-0.20497244629902064,0.6062717770034843
117,-0.3565323648278009,0.6794425087108014
118,-0.38162527466311036,0.627177700348432
119,-0.5198546628644508,0.6376306620209059
120,-0.4600879116273304,0.6550522648083623
121,-0.2863138154117015,0.6306620209059234
122,-0.2906511831210296,0.6027874564459931
123,-0.48784517570532865,0.6202090592334495
124,-0.4540690955429432,0.662020905923345
125,-0.4551214273726661,0.6655052264808362
126,-0.23216285284396607,0.6445993031358885
127,-0.2328431486866026,0.6306620209059234
128,-0.39459841559719655,0.6306620209059234
129,-0.3890052796743842,0.6585365853658537
130,-0.47846276921828146,0.6794425087108014
131,-0.4095884506268909,0.554006968641115
132,-0.3119059966053693,0.627177700348432
133,-0.4465492220370872,0.6341463414634146
134,-0.37367386368177835,0.6480836236933798
135,-0.290817182564815,0.6445993031358885
136,-0.44127266553549865,0.7003484320557491
137,-0.28733874914526275,0.6132404181184669
138,-0.25287455830154804,0.6062717770034843
139,-0.22400173375356666,0.6097560975609756
140,-0.3561436762090057,0.627177700348432
141,-0.4225331991545363,0.6306620209059234
142,-0.23652244331068123,0.6097560975609756
143,-0.3673596844033033,0.6097560975609756
144,-0.40261931144584134,0.5853658536585366
145,-0.35570227874613874,0.6306620209059234
146,-0.305699115171247,0.662020905923345
147,-0.2661982978901083,0.6376306620209059
148,-0.32684652372108736,0.6306620209059234
149,-0.53089004725122,0.5958188153310104
150,-0.29528877073422044,0.6202090592334495
151,-0.28374321754708826,0.6515679442508711
152,-0.4203827208736227,0.6445993031358885
153,-0.3182398642325197,0.6341463414634146
154,-0.4502629870933817,0.6306620209059234
155,-0.21346399959624088,0.6898954703832753
156,-0.1599884058135113,0.6306620209059234
157,-0.2910909347247869,0.6515679442508711
158,-0.4438506773224136,0.6445993031358885
159,-0.29525567390281465,0.6167247386759582
160,-0.33023061527896974,0.5888501742160279
161,-0.40872221344109383,0.6132404181184669
162,-0.4956841508445393,0.6236933797909407
163,-0.21360229638435113,0.627177700348432
164,-0.3716923245284045,0.578397212543554
165,-0.2957716276164908,0.6445993031358885
166,-0.2369598433170513,0.6167247386759582
167,-0.47460924851366715,0.6027874564459931
168,-0.5395755745714959,0.6445993031358885
169,-0.2530819777503905,0.6097560975609756
170,-0.305025983219802,0.6236933797909407
171,-0.4688713451089704,0.5923344947735192
172,-0.38704644497676655,0.6167247386759582
173,-0.4473687774753128,0.6097560975609756
174,-0.32144590228842684,0.6341463414634146
175,-0.36363436790713605,0.5888501742160279
176,-0.4123426931665221,0.6132404181184669
177,-0.36638902628960013,0.627177700348432
178,-0.3016108397363497,0.5993031358885017
179,-0.3763164793905249,0.6585365853658537
180,-0.3939958726583123,0.6236933797909407
181,-0.04055985384854341,0.6202090592334495
182,-0.46643509229807084,0.6445993031358885
183,-0.40197941450767966,0.6306620209059234
184,-0.4124931524413689,0.6167247386759582
185,-0.3644957722229704,0.6585365853658537
186,-0.3773352389916829,0.6445993031358885
187,-0.3897733616177602,0.6376306620209059
188,-0.3633566193848181,0.6341463414634146
189,-0.2832375992420502,0.662020905923345
190,-0.2998912789840503,0.6132404181184669
191,-0.3228723696303065,0.6724738675958188
192,-0.39593807891011706,0.6585365853658537
193,-0.4697389440744208,0.6202090592334495
194,-0.33894233223105835,0.627177700348432
195,-0.4448089921860221,0.6585365853658537
196,-0.3590260854415376,0.6236933797909407
197,-0.30458534448973024,0.6376306620209059
198,-0.4766768873515101,0.6376306620209059
199,-0.21939993624707926,0.6097560975609756
200,-0.44264536574077534,0.6097560975609756
201,-0.34831690959382233,0.6236933797909407
202,-0.2462387723232235,0.6689895470383276
203,-0.34452855683232686,0.627177700348432
204,-0.4116172567738067,0.6585365853658537
205,-0.3494995727684477,0.6027874564459931
206,-0.41441578813287644,0.6829268292682927
207,-0.4379749262214656,0.6027874564459931
208,-0.34181942960051104,0.6027874564459931
209,-0.4449984010343921,0.5853658536585366
210,-0.265294723794465,0.6550522648083623
211,-0.40305904160707456,0.6376306620209059
212,-0.34767258865579065,0.6655052264808362
213,-0.35941420601762153,0.6480836236933798
214,-0.38158893309601655,0.6550522648083623
215,-0.34021428452345504,0.6724738675958188
216,-0.3166822332166029,0.627177700348432
