replicate,r
1,0.08240417113506993
2,0.11490293219577148
3,0.04386007162743551
4,0.13504926507283765
5,0.150933774217673
6,0.07369447861740643
7,0.11795943281823229
8,0.075750536593638
9,0.0932173713130843
10,0.13380884212106395
11,0.0990195502361103
12,0.09418252789088537
13,0.06443225983670454
14,0.08809564732817876
15,0.09783037837847136
16,0.12915887299452047
17,0.10101319330001095
18,0.12255433911166258
19,0.12296113133614109
20,0.09053861204247482
21,0.0555761773761923
22,0.0732970712355801
23,0.0679929778615419
24,0.12400601342639872
25,0.12189924987028262
26,0.08331127946375662
27,0.1270253407014926
28,0.171198363521012
29,0.14378266691748393
30,0.09532930596786093
31,0.12755388128420722
32,0.16492562666809643
33,0.08503471262231514
34,0.12579744211907937
35,0.12317426206797102
36,0.11265765634159733
37,0.11428489171832773
38,0.10193545943508704
39,0.05705672572924222
40,0.11406734551039066
41,0.0487242416484341
42,0.09285274262630064
43,0.07435733805029475
44,0.1389164678766336
45,0.11894357973659726
46,0.08864430233490954
47,0.10674214717108332
48,0.12904810290665228
49,0.023257564406383206
50,0.09907255404226659
51,0.08619249704368595
52,0.07936236148894399
53,0.11324223052832398
54,0.08896540464351738
55,0.0801113744666
56,0.13135885858690288
57,0.0925016267136393
58,0.1324308166903359
59,0.06403125734553877
60,0.0605194952082129
61,0.06720317855560269
62,0.06801623337966943
63,0.09769832308557547
64,0.09322091849276341
65,0.0910743724823541
66,0.0494895965999177
67,0.1333365975577231
68,0.055022367960964304
69,0.10618098534779809
70,0.07610723340248043
71,0.07653801690867958
72,0.041232921664057925
73,0.10448697852283176
74,0.09571864267631501
75,0.1099192194377813
76,0.13458065061997004
77,0.11573543862563108
78,0.07837964341161409
79,0.14554444634903227
80,0.09518240193697883
81,0.10061531243993406
82,0.07689796011817039
83,0.11867001807348984
84,0.08247852788973117
85,0.09709467476682462
86,0.12425377794385527
87,0.11537085682726685
88,0.07236419503019059
89,0.12545199525947517
90,0.129387751550833
91,0.11024630252526102
92,0.07747141445503183
93,0.10205577064378328
94,0.14090792382306636
95,0.086340436767257
96,0.08061346075226336
97,0.09886180185428503
98,0.09028910209037615
99,0.11353946320858485
100,0.0735879399063143
101,0.1146920122128085
102,0.17105700370135415
103,0.06249985996603793
104,0.059513858176869876
105,0.07152943212383721
106,0.08021532496561662
107,0.08542396901058397
108,0.1028835934136645
109,0.09593352831716948
110,0.11710831356508715
111,0.06457854055381067
112,0.018449117719697247
113,0.07847463429239526
114,0.08645939093164183
115,0.1042135952238017
116,0.051405651679099586
117,0.09949059060801378
118,0.10406027658522275
119,0.08094806230745719
120,0.0805811665724043
121,0.08035795996282079
122,0.10771847230529345
123,0.12153548488666499
124,0.046481061083413655
125,0.06593005752968245
126,0.1408447132697007
127,0.12705375267571367
128,0.10700739503845746
129,0.08846901136099887
130,0.10328044907106192
131,0.08487458470733932
132,0.08963897524367846
133,0.062728963308538
134,0.09374968112276581
135,0.15051516944216656
136,0.12287060640111981
137,0.09436500593849975
138,0.09327153092721456
139,0.13440158274611297
140,0.08722744665938152
141,0.08981176739710299
142,0.056964208451666665
143,0.10730716230286248
144,0.10560575372996733
145,0.12403256300740685
146,0.12999214642597107
147,0.08167039153945546
148,0.08180045294565959
149,0.10908649661421221
150,0.07838827657078536
151,0.15263884176378287
152,0.10078174793540229
153,0.059603553856499805
154,0.07656942831838966
155,0.09149729089904012
156,0.11111555496088407
157,0.0951148987982674
158,0.07065273170896477
159,0.06396393977220913
160,0.09665044982933309
161,0.07625371379186151
162,0.096048796688654
163,0.06373410786881273
164,0.1031573634006051
165,0.05333349233122183
166,0.08119811983015174
167,0.08694710221780318
168,0.07079297820994837
169,0.05702518501484782
170,0.08352684608204608
171,0.11388575389795051
172,0.0480030341404089
173,0.07558406457551065
174,0.07718084189874272
175,0.07646257993361535
176,0.11857303002821698
177,0.061192151323251835
178,0.10625594350799726
179,0.1410754570891771
180,0.0761699615484977
181,0.1354107367014808
182,0.09494941882898623
183,0.047909276897729065
184,0.1098997457619636
185,0.1189262045870943
186,0.059739246564245264
187,0.06273401456482895
188,0.10744696932717573
189,0.10944808510405327
190,0.06580504922380466
191,0.05791925245698916
192,0.0949418468113295
193,0.11316495439963549
194,0.07682203458864795
195,0.05405881175764167
196,0.057290187136146434
197,0.06455943491016147
198,0.10678462838856927
199,0.07150594658064771
200,0.1305628621225734
201,0.08927745691911596
202,0.0761675139406467
203,0.133381222024021
204,0.04162050259488428
205,0.15802890019440838
206,0.07729707861327012
207,0.10884603912647384
208,0.05445072117271763
209,0.12100076942592321
210,0.10584740318901036
211,0.08350377831592429
212,0.09421601950417433
213,0.06059822619727851
214,0.12356832960238023
215,0.0893140732846756
216,0.09950379533225022
217,0.17819121894092088
218,0.14192741908625364
219,0.11423654298779543
220,0.11279621545226877
221,0.08421732921111229
222,0.10609950967974208
223,0.11007554594697692
224,0.07626456300523522
225,0.11435194386975571
226,0.09325723953677272
227,0.1463935549344866
228,0.1092681050090616
229,0.14691052527592013
230,0.13248425658094282
231,0.16824097552305486
232,0.05027336527644017
233,0.10583151123288334
234,0.08889985118061085
235,0.05136743359829475
236,0.11630796049997544
237,0.06290052079265854
238,0.11984825748705863
239,0.052822844750222905
240,0.13837683673296636
241,0.09239728750741383
242,0.0926451088480052
243,0.07481360582645098
244,0.0667412906663266
245,0.08085339894413766
246,0.10567887083491312
247,0.11416226319883867
248,0.05308170933413145
249,0.06427495680965342
250,0.12283641818972278
251,0.12086010705322439
252,0.10504902922271932
253,0.09701152609921235
254,0.08508106044868305
255,0.0643985980516381
256,0.0796640947771682
257,0.015517901422296126
258,0.14279998019250556
259,0.19344044759284637
260,0.11613739685165374
261,0.08730590544433052
262,0.15180987722881867
263,0.10206714165274974
264,0.08502872692633182
265,0.09894415393322611
266,0.10277821920651307
267,0.10951114191825087
268,0.07071423390069516
269,0.11157564349224151
270,0.1133583354592359
271,0.10573571477902717
272,0.07631701616786113
273,0.06695441932010905
274,0.08277412585325176
275,0.1393388765250753
276,0.17289297984112975
277,0.1090059167492163
278,0.10708633028148606
279,0.06800436181884612
280,0.0991889126752703
281,0.07021604216444383
282,0.07593867747100697
283,0.16509662419232057
284,0.09738248457836765
285,0.0618513597382363
286,0.09370252445335968
287,0.11675752046860871
288,0.10185455705696725
289,0.120792517036848
290,0.08668280445944013
291,0.05729615070823107
292,0.13076704335095107
293,0.10667113870016841
294,0.08019352818765828
295,0.11030872017117006
296,0.11018419473109124
297,0.11334142749276643
298,0.07823718667053893
299,0.1315969532823526
300,0.061555473348758
301,0.10529306527712647
302,0.09221819667542733
303,0.1779411692943244
304,0.1207218550178489
305,0.1142766351355332
306,0.1275567322345519
307,0.12619436986440696
308,0.09159766329466315
309,0.08797346249548013
310,0.07691270601606527
311,0.10185070624934298
312,0.0998989156394967
313,0.17809973140209312
314,0.12630461306312318
315,0.11613111689378859
316,0.14963955168919574
317,0.083814364514075
318,0.10581388957869292
319,0.11609754157812066
320,0.08594949419909172
321,0.08516433121288737
322,0.046007728533380005
323,0.12794829183396592
324,0.08096139926894541
325,0.12885553305296585
326,0.14238997525213476
327,0.15903397841596822
328,0.0705322483874066
329,0.10494343415776178
330,0.09655944834390225
331,0.1233434491176193
332,0.08942481052015278
333,0.07647031100324803
334,0.09139393519779247
335,0.1340445966748535
336,0.06539948139507677
337,0.0636485391455223
338,0.10530006208368298
339,0.1191939222285769
340,0.09448588760028799
341,0.07971100438432506
342,0.09355461391892197
343,0.03992913647722699
344,0.10020671724014772
345,0.06195142690181913
346,0.10110399418948919
347,0.12386750401757471
348,0.11261242947364049
349,0.06871456003293608
350,0.07109341107810022
351,0.11431926948066862
352,0.060544006165142314
353,0.07603576899586323
354,0.07639522994442423
355,0.08333746037789919
356,0.060803111079765236
357,0.13292216932049855
358,0.05296462689301585
359,0.07214447838662286
360,0.05232331103282005
361,0.08637597708146671
362,0.09169851459849794
363,0.08304679285215207
364,0.07820040105131187
365,0.10562422575603432
366,0.08204254520457276
367,0.07254052525649604
368,0.111332560204344
369,0.06756856918560979
370,0.05251529358328076
371,0.08408109413093859
372,0.07819282869705095
373,0.08388451083020458
374,0.10206732327473376
375,0.11962628911317949
376,0.14940974495467352
377,0.08776135841685923
378,0.014141401659781248
379,0.06072522980042397
380,0.1183220410160955
381,0.10251195638478108
382,0.11865660781129114
383,0.0996388454128954
384,0.11833957036938385
385,0.10642916588571373
386,0.11156269415025764
387,0.08909511256094511
388,0.06581498608805725
389,0.11726263802947401
390,0.08768081946332139
391,0.09708529139757643
392,0.025874704675536018
393,0.08237663420583817
394,0.09472319654212413
395,0.10453535619117255
396,0.14087672246594696
397,0.08796248261204948
398,0.09535938807661949
399,0.06693647172638618
400,0.10000971559635567
401,0.06049418220560808
402,0.09663481847648504
403,0.0748948172891211
404,0.0936229655858194
405,0.15369536911744794
406,0.09670783244241789
407,0.08443306323629102
408,0.05969482918050605
409,0.11912553701152861
410,0.10733504993940694
411,0.09938287424407417
412,0.129138621113394
413,0.11221115375753608
414,0.05770478639893335
415,0.10908343134705249
416,0.11053501173688518
417,0.09058041967214236
418,0.08836141133232192
419,0.12794632854061713
420,0.09576293784004859
421,0.0953519111725463
422,0.11161497043665126
423,0.09844885773823357
424,0.04684880422010604
425,0.04153857483036892
426,0.1109091283941803
427,0.09748000019672384
428,0.05334612819111171
429,0.11235707610079963
430,0.07927112999064755
431,0.12160116940021881
432,0.09610852532444199
433,0.09343463604344332
434,0.08094577346689254
435,0.058644273652609095
436,0.11583742583647588
437,0.10983547348258492
438,0.09654825135971684
439,0.10196702382948443
440,0.1314932888075862
441,0.0970733804358344
442,0.14516133073653442
443,0.019555246603844483
444,0.11156394247587231
445,0.08749535808551451
446,0.10895673276744593
447,0.10368991491573035
448,0.0674841575563517
449,0.08901747288510473
450,0.11843947575762581
451,0.08099106399919935
452,0.08602232174851483
453,0.11349012581887134
454,0.059193193457504116
455,0.06519502846487156
456,0.09503882378939252
457,0.08399302762076528
458,0.053898071166618225
459,0.16361812729922734
460,0.12424074134049289
461,0.09985047036157853
462,0.06137506490975164
463,0.0659232100306145
464,0.10651740553826616
465,0.14888502319064298
466,0.05464602811624406
467,0.079553286818151
468,0.08873943375317007
469,0.03132446419115054
470,0.08584072654145268
471,0.058312664519728816
472,0.05527456218743865
473,0.10404382438324739
474,0.08137867906099905
475,0.13283079248998572
476,0.05834092740207617
477,0.07985510154382777
478,0.08573131153985261
479,0.0591192750754791
480,0.13392487044180582
481,0.06225223281590424
482,0.09284248773723162
483,0.0917396105244898
484,0.13506446973730338
485,0.10633941260927453
486,0.07369588148247143
487,0.08812525917516514
488,0.10190062657938585
489,0.05674261851241332
490,0.09029423240154096
491,0.08038899237450652
492,0.1282284417054984
493,0.0442406076829345
494,0.10032303292663076
495,0.0916858238752543
496,0.06689549603734174
497,0.06737860687822124
498,0.10041824434928731
499,0.11210924585518876
500,0.13669657280679284
501,0.12321613638334065
502,0.14290429345855807
503,0.08776842183036349
504,0.13423567028552566
505,0.12004015816117096
506,0.08446461290363336
507,0.09328030457875822
508,0.07520930571771452
509,0.11200015829255204
510,0.12466422134160542
511,0.08763077733073445
512,0.08363157942555915
513,0.11131579937853323
514,0.09692722650702619
515,0.0992394362022769
516,0.0766004525940864
517,0.12642423433652553
518,0.14937520980177016
519,0.15235761132702144
520,0.14921428274899629
521,0.06357105152561535
522,0.09730897121947694
523,0.0948629662220814
524,0.11087904468099144
525,0.11014012409818678
526,0.09090262948408992
527,0.09483470652049857
528,0.09462810279415833
529,0.1004163831084037
530,0.0846291821132772
531,0.15943492318146119
532,0.09706463333142494
533,0.0905636781249526
534,0.08633099897612058
535,0.021952256331235053
536,0.0585485499206643
537,0.10006945105523542
538,0.11174159193308779
539,0.14593499404010743
540,0.09022612406141096
541,0.13398584882446932
542,0.10659248177130083
543,0.07017809364577231
544,0.11597098962878666
545,0.07213232351949755
546,0.11921774144657425
547,0.11268594430755664
548,0.09795640018563535
549,0.1186766257588355
550,0.13771934289878468
551,0.06731635231530556
552,0.09075115680882435
553,0.09927462186553057
554,0.08279487087376355
555,0.12184607081815062
556,0.10985012992749628
557,0.04018760655227038
558,0.14003430725670318
559,0.12591330547035948
560,0.0983931306264434
561,0.1785832456126541
562,0.0765124904916363
563,0.11317066928131211
564,0.07518635789689994
565,0.09927238177754179
566,0.09871995469390271
567,0.0923574811233075
568,0.12524752764726585
569,0.04340327989397037
