category,n,threshold,pct
Exacerbated,703,0.05,36.1811631497684
Negligible,519,0.05,26.711271230056614
Reversed,721,0.05,37.10756562017499
Exacerbated,498,0.1,25.630468347915595
Negligible,931,0.1,47.91559444158518
Reversed,514,0.1,26.453937210499227
Exacerbated,240,0.2,12.352032938754503
Negligible,1496,0.2,76.99433865156973
Reversed,207,0.2,10.65362840967576
Exacerbated,130,0.3,6.690684508492023
Negligible,1726,0.3,88.83170355120947
Reversed,87,0.3,4.477611940298507
