gene,logFC_CvH,t_CvH,pi_CvH,logFC_TCR,t_TCR,pi_TCR,set,is_driving
SORD,0.862390271596189,3.75887532480902,0.00185927028978067,-0.649219863082443,-3.46597821664748,0.01480002927087467,cancer_up,TRUE
RPS2,-0.474302640029165,-3.98325847481722,0.02255966012980168,0.287008673547344,3.02987168820859,0.21389298978517415,cancer_dn,TRUE
LNPEP,-0.571404277937951,-3.08196812261302,0.04596626006376525,0.475132712701913,2.99263555887225,0.08583765185707742,cancer_dn,TRUE
SOD1,0.884887347182094,5.90215976729237,5.472900284701848e-6,-0.356401212896367,-2.98819144522031,0.153102293381216,cancer_up,TRUE
G3BP2,-0.994069269050257,-2.3286993433285,0.02879549482624431,0.997564924670992,2.82348896118418,0.00925691916242167,cancer_dn,TRUE
PAFAH1B2,0.832716363164646,3.92640504350181,0.00151656967350257,-0.450251776951193,-2.74824063355416,0.1235450126009062,cancer_up,TRUE
CSRP3,-0.698449823731625,-3.09830404610529,0.02068953792800765,0.485278710649673,2.70599088770696,0.10982029698342584,cancer_dn,TRUE
PYGL,0.833491913966817,4.6880567963381,2.2925473438140497e-4,-0.372943128294118,-2.63681919609247,0.195099793850354,cancer_up,TRUE
PTPA,0.778108138002395,3.63331683704985,0.00429849182925584,-0.425440311988075,-2.49717064492937,0.17884256696118625,cancer_up,TRUE
EMD,0.84508467904794,3.02882417316382,0.01199194493393821,-0.577209229595775,-2.48110851260261,0.10326063967518057,cancer_up,TRUE
DCUN1D1,0.678966152892855,2.91737977375166,0.03271383891332249,-0.433149648474984,-2.34902361183699,0.2035015112296651,cancer_up,TRUE
ACAT2,1.75459125052056,5.09490149754733,1.0648012509152237e-8,-0.588527928177381,-2.22136174070012,0.1403076058943004,cancer_up,TRUE
MRPL49,-1.02535556355648,-3.55691346138347,0.00110196250410667,0.502814193549544,2.1237604482136,0.20381863642322703,cancer_dn,TRUE
CNIH4,-0.569458760958995,-3.12312196296908,0.04079973330609177,0.307110540876147,2.11722813801298,0.37661104430360065,cancer_dn,TRUE
EIF4B,0.951982656192758,3.26900444548605,0.00358272320652886,-0.48297163916437,-2.09580025018405,0.2226443605085987,cancer_up,TRUE
HINT1,0.513697438043984,3.73557578478462,0.02363834517233531,-0.211458917266929,-1.93295803066647,0.5546086733903932,cancer_up,TRUE
NUTF2,0.545721674402305,4.65944943731102,0.00433573267259263,-0.177658499566368,-1.9067583585171,0.6153005671435541,cancer_up,TRUE
CISD1,-0.547074778019134,-3.47030888897879,0.02774709713014459,0.238915741437372,1.90507673556085,0.5208625868616692,cancer_dn,TRUE
FAM162A,-0.732284392533678,-3.14167836819291,0.01577010189359027,0.319293835669013,1.72194290175134,0.4702205897814918,cancer_dn,TRUE
RAN,0.562040250730973,3.90866456167238,0.01261290082414297,-0.192565378022103,-1.6833927698909,0.6435871611605807,cancer_up,TRUE
DDT,0.867148950912995,3.75573431901337,0.00171077277580005,-0.299581077566895,-1.63102946525277,0.5190863268246535,cancer_up,TRUE
SELENBP1,0.826536178089622,3.46858407647954,0.00446342505407777,-0.304933192779661,-1.60857504900288,0.5197024958342832,cancer_up,TRUE
MYO6,-1.13217339147129,-4.60427194932522,1.5070890617659211e-5,0.301214821580272,1.53982238877706,0.5443836947600895,cancer_dn,TRUE
GMPR2,0.933744202928487,2.21171055100414,0.04616518507751096,-0.566507392365759,-1.51884013170139,0.33138035111810926,cancer_up,TRUE
GSS,0.536614264948906,3.17901180650096,0.04532593819541161,-0.194120075994002,-1.44559503749387,0.6984273755545297,cancer_up,TRUE
