uniprot_id,cluster,membership,gene,phi,reversal_class
P18669,4,0.999999993745228,PGAM1,0.5633039624613779,Normalized
P15090,2,0.9999692018615447,FABP4,0.18627229512105545,Persistent
P16615,5,0.9999999989945848,ATP2A2,0.042514541096765106,Persistent
P68104,2,0.9990005784140708,EEF1A1,0.17579995568524717,Persistent
P08590,1,0.9999999958145219,MYL3,0.5173802245657968,Normalized
P21695,4,0.999998812217324,GPD1,0.49528804208866284,Normalized
P30043,2,0.9910626033464986,BLVRB,0.1730702827227063,Persistent
P50461,1,0.9999999585074321,CSRP3,0.6465171615545969,Normalized
P08133,2,0.999997025338691,ANXA6,0.2692051116666992,Normalized
P10599,2,0.9992718614493656,TXN,0.30691595883530864,Normalized
P0DP23,2,0.9996165855730077,CALM1,0.30530062511429923,Normalized
P07195,2,0.999999947478346,LDHB,0.2656358321186964,Normalized
P04040,2,0.908623543355227,CAT,0.13680007972886526,Persistent
P12236,1,0.9999999999277462,SLC25A6,0.44817409026496824,Normalized
P07585,3,0.9999997303239281,DCN,-0.016133355751764812,Persistent
O00483,5,0.9979573195071958,NDUFA4,0.13455023138585379,Persistent
O60240,2,0.9998886323355608,PLIN1,0.199930348189626,Persistent
P07108,4,0.9999999999966193,DBI,0.49370198097049767,Normalized
P04179,3,0.5147841153790794,SOD2,0.13248916989844645,Persistent
P68371,4,0.9999999999938463,TUBB4B,0.5331488128104481,Normalized
P51884,3,0.9999999999999982,LUM,-0.023616869123442224,Persistent
Q09666,2,0.9960725820561109,AHNAK,0.15475908650420273,Persistent
Q6NZI2,2,0.9999848175514758,CAVIN1,0.2952046183656774,Normalized
P49773,2,0.9999994853514698,HINT1,0.2941028495808278,Normalized
P07602,4,0.9999998266939577,PSAP,0.48268967098088933,Normalized
P00325,4,0.9119737084997301,ADH1B,0.37242169437175976,Normalized
P63241,2,0.9999999909042326,EIF5A,0.26810774741752114,Normalized
P16671,2,0.9995322812982419,CD36,0.2968832555385783,Normalized
Q96Q06,4,0.9999127546906159,PLIN4,0.44140333967896783,Normalized
Q9NZ45,1,0.9999124786741027,CISD1,0.5609532033620351,Normalized
Q9NZN4,2,0.9999999941136669,EHD2,0.20760251960589696,Persistent
Q15847,2,0.9998884533751832,ADIRF,0.29317494087014734,Normalized
P18206,2,0.9999841309043188,VCL,0.26352151259793816,Normalized
Q03135,2,0.9999999989348047,CAV1,0.20648851462606901,Persistent
P06737,2,0.5670849050887468,PYGL,0.3916848015027345,Normalized
P50502,2,0.9999999999999982,ST13,0.2311500930548828,Persistent
Q5VXT5,5,0.997690869251326,SYPL2,0.07587208855608024,Persistent
P63104,3,0.9883738583143138,YWHAZ,0.0585409552863906,Persistent
Q01995,3,0.9990261519620097,TAGLN,0.030554625369247992,Persistent
Q8NI60,1,0.9851790456005339,COQ8A,0.15272744981678105,Persistent
P49747,3,0.9998297104118161,COMP,0.051998920037511644,Persistent
P51888,3,0.9999982824136128,PRELP,-0.0036816627763195955,Persistent
Q16853,2,0.9999735980204217,AOC3,0.18202398939003842,Persistent
P61224,3,0.9967159152806913,RAP1B,0.0556431296236221,Persistent
P05091,4,0.9958741254927108,ALDH2,0.43031272314407004,Normalized
P00352,4,0.9999996896796511,ALDH1A1,0.49691328001472224,Normalized
P62942,4,0.9936695271705862,FKBP1A,0.37468541479342654,Normalized
P23141,4,0.9999910491802948,CES1,0.620098755806615,Normalized
Q9UM54,1,0.9999999925389215,MYO6,0.41161570612849285,Normalized
P26678,5,0.9999656616278703,PLN,-0.09862565186086449,Persistent
Q99584,6,0.9999996110157521,S100A13,-0.5966436450581712,Exacerbated
P55072,2,0.999999980381796,VCP,0.23101194970663866,Persistent
Q02978,1,0.9999999999315368,SLC25A11,0.4098802937915571,Normalized
Q8NDY3,1,0.6065926922686117,ADPRHL1,-0.019558680967941583,Persistent
P61978,2,0.9984224375243946,HNRNPK,0.35699322086893026,Normalized
A8MU46,5,0.9999969827182305,SMTNL1,-0.4328040995830317,Exacerbated
P16157,3,0.999990654786806,ANK1,0.041400547798713945,Persistent
P09429,2,0.9999999998548222,HMGB1,0.2678042934300346,Normalized
Q14324,2,0.9988606323614018,MYBPC2,0.07958374101905222,Persistent
Q99643,1,0.9999999993779496,SDHC,0.1286402789663322,Persistent
P52907,3,0.9991760214095928,CAPZA1,-0.1677280766651529,Persistent
P20774,3,0.9995347008470274,OGN,-0.16116275579522368,Persistent
O15260,2,0.9998988473185751,SURF4,0.1350617808215939,Persistent
P22626,2,0.9969403116499774,HNRNPA2B1,0.1724128728772738,Persistent
P35443,3,0.996636981742268,THBS4,-0.21247495715051756,Persistent
P51649,1,0.9999999990045587,ALDH5A1,0.44904841958658986,Normalized
Q92530,2,0.9999923631033812,PSMF1,0.23624784097749107,Persistent
P12111,6,0.9781651675127767,COL6A3,-0.34159115586493066,Exacerbated
O00330,1,0.7501369820637083,PDHX,0.2428882040567085,Persistent
Q9BRX8,4,0.9999999981031602,PRXL2A,0.5408872773804037,Normalized
P51149,4,0.9999641724775271,RAB7A,0.45697617833160636,Normalized
P12109,3,0.9999992933553741,COL6A1,-0.004639714747285751,Persistent
Q08043,6,0.9999996268187756,ACTN3,-0.1973857984602241,Persistent
P11277,3,0.9991033206567854,SPTB,0.0643990415829567,Persistent
O75923,1,0.9999999630726275,DYSF,0.4387686954781368,Normalized
Q8IVN3,6,0.9999984094845926,MUSTN1,-0.3409045037675291,Exacerbated
P51636,3,0.9988015879170251,CAV2,0.11446299972706302,Persistent
Q13085,1,0.9999965747717638,ACACA,0.3417466651871125,Normalized
Q9BXN1,6,0.999904501864323,ASPN,-0.34772802439848666,Exacerbated
O14521,5,0.9977312836370634,SDHD,0.003319010405685438,Persistent
P08123,3,0.9999131439964479,COL1A2,-0.07737015330426883,Persistent
P05386,2,0.8450605133748129,RPLP1,0.12752882868080653,Persistent
O75521,1,0.9996086705747164,ECI2,0.16819350536723468,Persistent
P60981,2,0.9931075266798863,DSTN,0.12017517407793839,Persistent
P55083,3,0.9999999999216481,MFAP4,0.046813707908983954,Persistent
P62873,2,0.9999999999960891,GNB1,0.22791570536832834,Persistent
Q00610,3,0.7390014389887711,CLTC,-0.19311971179718992,Persistent
P50993,5,0.8442167930890516,ATP1A2,0.0647294989030028,Persistent
Q96A26,1,0.999993496132452,FAM162A,0.5521032032196387,Normalized
P09525,3,0.8292616361407427,ANXA4,-0.19955266024118049,Persistent
P51911,3,0.9999478473015425,CNN1,-0.12078517616156177,Persistent
Q969G5,2,0.9999778619906873,CAVIN3,0.27393743906697265,Normalized
P21399,4,0.9999999999940092,ACO1,0.48967840374474814,Normalized
P13797,3,0.9995955130958307,PLS3,-0.12761408810903244,Persistent
O75347,3,0.7399498696827516,TBCA,0.1297156991863057,Persistent
P05556,2,0.9999310408795683,ITGB1,0.2907540077235542,Normalized
P54922,5,0.9999884165032938,ADPRH,-0.08001724933237865,Persistent
O95210,1,0.9999999852166823,STBD1,0.3780289638185117,Normalized
P12110,3,0.9582383096818934,COL6A2,0.1756313674339336,Persistent
P52895,2,0.9999999999999237,AKR1C2,0.2746471693752238,Normalized
Q9NSD9,5,0.9999682520704237,FARSB,0.10702965863732737,Persistent
P46781,1,0.9995389841889357,RPS9,0.2732111708721479,Normalized
Q9NPC6,4,0.9999545977672879,MYOZ2,-0.032559406874939904,Persistent
Q6DD88,2,0.9997114692391845,ATL3,0.2973935290039346,Normalized
P21810,3,0.9925906252483242,BGN,-0.2940596308750178,Exacerbated
O95563,5,0.9999999901222479,MPC2,-0.21782571307079554,Persistent
P11171,3,0.996339251376898,EPB41,0.07762916524030632,Persistent
A6NNS2,1,0.9999999962393749,DHRS7C,0.4000574247785449,Normalized
P30085,2,0.9999999515485307,CMPK1,0.2503035787734836,Normalized
Q15404,2,0.9999997867123164,RSU1,0.20681775306103276,Persistent
P68402,4,0.9999999798418198,PAFAH1B2,0.4590538765732341,Normalized
Q16181,3,0.9999999971642092,SEPTIN7,-0.04945487415334375,Persistent
O43175,3,0.9999999756489657,PHGDH,0.04382844161250335,Persistent
Q86VP6,3,0.9996195353173251,CAND1,0.06742521667263907,Persistent
P20810,3,0.9007953825021229,CAST,0.08418823996318296,Persistent
P27348,3,0.9999999861101453,YWHAQ,-0.091718928648565,Persistent
P46940,6,0.9998408867876712,IQGAP1,-0.34306420524819586,Exacerbated
Q13510,4,0.9999386726863674,ASAH1,0.660384649411694,Normalized
Q9Y6E2,1,0.9999948493971899,BZW2,0.5071044965528902,Normalized
O14773,4,0.9344605459348798,TPP1,0.30984637495674244,Normalized
Q96MG2,5,0.9992215851655342,JSRP1,-0.09046137875919667,Persistent
P23142,3,0.9999999834999759,FBLN1,-0.061493452089706774,Persistent
Q99807,1,0.9995674015237952,COQ7,0.3442493757017278,Normalized
O76070,2,0.999265993626866,SNCG,0.1422385667330777,Persistent
P14866,2,0.9999695686440742,HNRNPL,0.04808328766847723,Persistent
Q7Z406,1,0.9973365926582636,MYH14,0.04449190677747056,Persistent
Q01082,3,0.9999847085931586,SPTBN1,0.02800437555693306,Persistent
O60701,6,0.9988698125183129,UGDH,-0.03408527771910517,Persistent
Q9NR28,5,0.7180446469293935,DIABLO,-0.15373615279332473,Persistent
Q9NZJ6,1,0.9999855279300836,COQ3,0.11410566727209714,Persistent
P48506,2,0.9753670210415132,GCLC,0.1592998043301436,Persistent
Q8N1G4,5,0.9999933649948932,LRRC47,0.055960303759220266,Persistent
P19971,3,0.9999723770224075,TYMP,0.13479119526544972,Persistent
