module,trait,r,p,n,padj
C1,age,0.04808081438508526,0.8194690485555025,25,0.9688016234806427
C2,age,-0.06312777675503654,0.7643462083665014,25,0.9688016234806427
C3,age,-0.07122899221957318,0.7351056149420319,25,0.9688016234806427
C4,age,-0.08139990057983512,0.6989001322644549,25,0.9688016234806427
C5,age,0.08007485121384647,0.7035828067412261,25,0.9688016234806427
C6,age,-0.032358444976661314,0.8779654594176144,25,0.9688016234806427
C1,pre_ALM_kg,0.05307175213521205,0.8010791845540226,25,0.9688016234806427
C2,pre_ALM_kg,-0.018352045477600592,0.930616277726756,25,0.9688016234806427
C3,pre_ALM_kg,0.008244236252351494,0.9688016234806427,25,0.9688016234806427
C4,pre_ALM_kg,0.016901298777323884,0.9360896958837484,25,0.9688016234806427
C5,pre_ALM_kg,0.022990599083258588,0.9131375274403625,25,0.9688016234806427
C6,pre_ALM_kg,0.07632626042688397,0.7168866184529648,25,0.9688016234806427
C1,pre_sts_max_pwr,0.26436284286615114,0.34102761419003513,15,0.5967983248325615
C2,pre_sts_max_pwr,-0.38248248380443006,0.15942171676864733,15,0.352405900225431
C3,pre_sts_max_pwr,-0.3126602029861069,0.2565371326048343,15,0.46845911171317567
C4,pre_sts_max_pwr,-0.32376736427107583,0.239112688978063,15,0.4564878607763021
C5,pre_sts_max_pwr,0.40502584079526693,0.1342300530157533,15,0.3316271898036258
C6,pre_sts_max_pwr,-0.34817620965461216,0.20346382246687245,15,0.42727402718043217
C1,pre_LBM_kg,0.14129525344932883,0.6154623434357349,15,0.9688016234806427
C2,pre_LBM_kg,-0.09282370914897349,0.7421349752148386,15,0.9688016234806427
C3,pre_LBM_kg,-0.019091105608797426,0.9461595064954114,15,0.9688016234806427
C4,pre_LBM_kg,-0.07547985830677212,0.7891982299225232,15,0.9688016234806427
C5,pre_LBM_kg,0.1119850313488318,0.691114339085922,15,0.9688016234806427
C6,pre_LBM_kg,0.03384595643767193,0.9046845614394012,15,0.9688016234806427
C1,pre_chest_press_lbs,0.5395821829837105,0.03789543328763246,15,0.17684535534228482
C2,pre_chest_press_lbs,-0.6031928933500412,0.017288736428939473,15,0.12102115500257632
C3,pre_chest_press_lbs,-0.5796396715260211,0.023527906467097418,15,0.1411674388025845
C4,pre_chest_press_lbs,-0.5126255881436769,0.050709630840047884,15,0.1786627368010024
C5,pre_chest_press_lbs,0.674798833087512,0.005783551342339981,15,0.12102115500257632
C6,pre_chest_press_lbs,-0.55252156389758,0.03268489919457998,15,0.1715957207715449
C1,pre_leg_ext_lbs,0.5427357596471992,0.05530037091459598,13,0.1786627368010024
C2,pre_leg_ext_lbs,-0.6470971261442559,0.016817379053451084,13,0.12102115500257632
C3,pre_leg_ext_lbs,-0.6928820218467916,0.008651770740689575,13,0.12102115500257632
C4,pre_leg_ext_lbs,-0.5444542882491776,0.05438116151199003,13,0.1786627368010024
C5,pre_leg_ext_lbs,0.7123694988423547,0.006290490635402804,13,0.12102115500257632
C6,pre_leg_ext_lbs,-0.6628889746509065,0.01353398175778616,13,0.12102115500257632
C1,pre_grip_lbs,0.42303753813369716,0.11615735889628831,15,0.32524060490960727
C2,pre_grip_lbs,-0.46281583799181236,0.08234745888327528,15,0.24704237664982587
C3,pre_grip_lbs,-0.4129151246935229,0.12609372287650092,15,0.3309960225508149
C4,pre_grip_lbs,-0.38754173244071854,0.15351401919169444,15,0.352405900225431
C5,pre_grip_lbs,0.5241199556327677,0.044906958594576336,15,0.1786627368010024
C6,pre_grip_lbs,-0.33669670607957247,0.21977818361052331,15,0.43955636722104663
