pathway,pathway_label,database,NES_Training_CRE,NES_Training_PLA,padj_Training_CRE,padj_Training_PLA,significance,set_size
GOBP_REGULATION_OF_FILOPODIUM_ASSEMBLY,Regulation Of Filopodium Assembly,GO:BP,1.232,-1.414,0.5777,0.3634,NS,10
GOBP_VIRAL_PROCESS,Viral Process,GO:BP,1.116,-1.53,0.6116,0.09711,NS,101
GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_OUTER_MEMBRANE,Protein Insertion Into Mitochondrial Outer Membrane,GO:BP,-1.186,1.46,0.6208,0.3173,NS,10
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,Regulation Of T Cell Mediated Immunity,GO:BP,1.166,-1.48,0.6304,0.2864,NS,18
KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT,Env Factor Zn To Anterograde Axonal Transport,KEGG,1.158,-1.488,0.4947,0.1192,NS,12
REACTOME_SIGNALLING_TO_ERKS,Signalling To Erks,Reactome,-1.509,1.137,0.2542,0.526,NS,17
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY,Positive Regulation Of Organelle Assembly,GO:BP,1.576,-1.069,0.2787,0.6799,NS,19
GOBP_DNA_BIOSYNTHETIC_PROCESS,DNA Biosynthetic Process,GO:BP,1.596,-1.048,0.2348,0.7014,NS,22
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN,Antigen Processing And Presentation Of Endogenous Antigen,GO:BP,1.029,-1.615,0.7575,0.2244,NS,11
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,G Alpha S Signalling Events,Reactome,0.871,-1.772,0.9322,0.07681,NS,15
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM,Defense Response To Bacterium,GO:BP,1.494,-1.147,0.2881,0.553,NS,42
GOBP_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION,Regulation Of Smooth Muscle Contraction,GO:BP,-1.239,-1.402,0.5563,0.3669,NS,11
REACTOME_TURBULENT_OSCILLATORY_DISTURBED_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_ENDOTHELIAL_CELLS,Turbulent Oscillatory Disturbed Flow Shear Stress Activates Signaling By Piezo1 And Integrins In Endothelial Cells,Reactome,1.338,-1.303,0.4648,0.388,NS,14
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_HYPERTROPHY,Negative Regulation Of Muscle Hypertrophy,GO:BP,1.419,-1.221,0.4332,0.5308,NS,11
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE,Vesicle Mediated Transport In Synapse,GO:BP,1.426,-1.214,0.3361,0.455,NS,52
GOBP_FOREBRAIN_DEVELOPMENT,Forebrain Development,GO:BP,1.149,-1.49,0.6065,0.2179,NS,41
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Hallmark,1.41,-1.229,0.2805,0.3278,NS,24
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV,Reference Electron Transfer In Complex Iv,KEGG,1.013,1.625,0.665,0.06,NS,11
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,Variant Mutation Caused Aberrant Abeta To Electron Transfer In Complex Iv,KEGG,1.013,1.625,0.665,0.06,NS,11
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS,Rho Gtpases Activate Rocks,Reactome,1.745,-0.892,0.08521,0.7297,NS,13
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,Formation Of Tubulin Folding Intermediates By Cct Tric,Reactome,1.248,-1.389,0.548,0.295,NS,17
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,Establishment Of Protein Localization To Mitochondrial Membrane,GO:BP,-1.339,1.294,0.452,0.4171,NS,22
GOBP_RESPONSE_TO_VITAMIN,Response To Vitamin,GO:BP,1.37,-1.262,0.4553,0.4703,NS,15
GOBP_NEURON_PROJECTION_ORGANIZATION,Neuron Projection Organization,GO:BP,1.283,-1.348,0.5183,0.3893,NS,15
GOBP_T_CELL_MIGRATION,T Cell Migration,GO:BP,1.273,-1.358,0.5267,0.3896,NS,15
KEGG_MEDICUS_REFERENCE_TLR2_4_MAPK_SIGNALING_PATHWAY,Reference Tlr2 4 Mapk Signaling Pathway,KEGG,-1.26,1.37,0.447,0.2099,NS,10
REACTOME_MITOCHONDRIAL_TRANSLATION,Mitochondrial Translation,Reactome,-1.211,1.419,0.5461,0.2463,NS,36
KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAC_TO_ACTIN_SIGNALING_PATHWAY,Pathogen Shigella Ipac To Actin Signaling Pathway,KEGG,1.723,-0.906,0.1063,0.7216,NS,11
KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY,Reference Tight Junction Actin Signaling Pathway,KEGG,1.723,-0.906,0.1063,0.7216,NS,11
GOBP_RNA_SPLICING,RNA Splicing,GO:BP,1.536,-1.092,0.1772,0.596,NS,90
GOBP_ENDOSOME_TO_LYSOSOME_TRANSPORT,Endosome To Lysosome Transport,GO:BP,-1.745,0.882,0.1753,0.8574,NS,18
GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION,Negative Regulation Of Cell Cell Adhesion,GO:BP,1.224,-1.403,0.5489,0.319,NS,24
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,Positive Regulation Of Protein Localization To Membrane,GO:BP,1.315,-1.31,0.4569,0.3823,NS,32
GOBP_MESODERM_DEVELOPMENT,Mesoderm Development,GO:BP,-1.657,0.966,0.2234,0.7889,NS,10
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Proteasome Mediated Ubiquitin Dependent Protein Catabolic Process,GO:BP,-1.414,1.209,0.2245,0.4118,NS,107
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,Clathrin Mediated Endocytosis,Reactome,1.598,-1.025,0.07117,0.6283,NS,53
GOBP_GLUCOSE_METABOLIC_PROCESS,Glucose Metabolic Process,GO:BP,-1.028,1.594,0.7304,0.112,NS,74
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,Protein Localization To Endoplasmic Reticulum,GO:BP,1.617,-1.003,0.2231,0.7433,NS,22
REACTOME_DRUG_ADME,Drug Adme,Reactome,1.239,-1.381,0.548,0.2874,NS,22
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,Toll Like Receptor 9 Tlr9 Cascade,Reactome,-1.131,1.489,0.6301,0.1712,NS,28
GOBP_NEURON_PROJECTION_REGENERATION,Neuron Projection Regeneration,GO:BP,1.147,-1.472,0.6441,0.3172,NS,13
GOBP_MITOCHONDRIAL_TRANSPORT,Mitochondrial Transport,GO:BP,-1.044,1.574,0.7041,0.112,NS,74
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,Endoplasmic Reticulum To Golgi Vesicle Mediated Transport,GO:BP,1.632,-0.986,0.1772,0.7664,NS,51
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS,Trafficking Of Ampa Receptors,Reactome,1.195,1.421,0.6097,0.295,NS,11
GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION,Regulation Of Postsynapse Organization,GO:BP,1.118,-1.493,0.6553,0.274,NS,22
GOBP_LIPID_LOCALIZATION,Lipid Localization,GO:BP,1.374,-1.236,0.3233,0.3823,NS,89
GOBP_MONOSACCHARIDE_TRANSMEMBRANE_TRANSPORT,Monosaccharide Transmembrane Transport,GO:BP,-1.329,1.28,0.461,0.4317,NS,23
GOBP_EPITHELIAL_TUBE_MORPHOGENESIS,Epithelial Tube Morphogenesis,GO:BP,-0.968,-1.636,0.8001,0.1578,NS,33
GOBP_POSITIVE_REGULATION_OF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORT,Positive Regulation Of D Glucose Transmembrane Transport,GO:BP,-1.197,1.406,0.6065,0.3634,NS,10
GOBP_REGULATION_OF_LYMPHOCYTE_MIGRATION,Regulation Of Lymphocyte Migration,GO:BP,1.294,-1.308,0.51,0.4257,NS,14
GOBP_CEREBELLAR_CORTEX_DEVELOPMENT,Cerebellar Cortex Development,GO:BP,1.766,0.836,0.1645,0.8802,NS,10
GOBP_TRICARBOXYLIC_ACID_CYCLE,Tricarboxylic Acid Cycle,GO:BP,-0.84,1.76,0.9116,0.0843,NS,25
GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY,Regulation Of Cation Channel Activity,GO:BP,-1.308,-1.29,0.4972,0.4411,NS,15
GOBP_REGULATION_OF_DNA_REPAIR,Regulation Of DNA Repair,GO:BP,-1.479,1.118,0.3233,0.6141,NS,31
GOBP_EPITHELIAL_CELL_DEVELOPMENT,Epithelial Cell Development,GO:BP,1.319,-1.277,0.4492,0.4024,NS,34
GOBP_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS,Short Chain Fatty Acid Metabolic Process,GO:BP,-1.319,1.277,0.4996,0.4669,NS,10
GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Purine Nucleoside Monophosphate Biosynthetic Process,GO:BP,-1.537,1.054,0.3157,0.7104,NS,14
GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION,Positive Regulation Of Cytoplasmic Translation,GO:BP,1.292,1.299,0.5136,0.4447,NS,12
GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS,Clathrin Dependent Endocytosis,GO:BP,1.681,-0.909,0.2137,0.823,NS,12
GOBP_GLOMERULUS_DEVELOPMENT,Glomerulus Development,GO:BP,1.463,-1.127,0.3958,0.6284,NS,12
GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER,Establishment Of Endothelial Barrier,GO:BP,1.168,-1.421,0.6323,0.3481,NS,12
GOBP_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS,Positive Regulation Of Cold Induced Thermogenesis,GO:BP,1.325,-1.263,0.4825,0.4669,NS,17
GOBP_NUCLEAR_MEMBRANE_ORGANIZATION,Nuclear Membrane Organization,GO:BP,-1.372,1.215,0.4262,0.5135,NS,21
GOBP_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS,Membrane Lipid Biosynthetic Process,GO:BP,-1.409,1.178,0.4318,0.5865,NS,11
GOBP_MESENCHYME_DEVELOPMENT,Mesenchyme Development,GO:BP,1.216,-1.37,0.5427,0.319,NS,32
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,Positive Regulation Of Lymphocyte Differentiation,GO:BP,1.088,-1.498,0.6862,0.2861,NS,15
GOBP_POSITIVE_REGULATION_OF_MUSCLE_CONTRACTION,Positive Regulation Of Muscle Contraction,GO:BP,0.966,-1.62,0.7894,0.2155,NS,11
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,Initial Triggering Of Complement,Reactome,1.416,-1.169,0.3352,0.4981,NS,21
GOBP_CARBOHYDRATE_TRANSPORT,Carbohydrate Transport,GO:BP,-1.303,1.277,0.4744,0.4289,NS,24
GOBP_RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM,Respiratory Gaseous Exchange By Respiratory System,GO:BP,1.438,-1.141,0.4063,0.6114,NS,13
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,1.214,1.365,0.3355,0.1144,NS,113
REACTOME_RHOD_GTPASE_CYCLE,Rhod Gtpase Cycle,Reactome,1.35,-1.227,0.4235,0.4377,NS,19
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains,GO:BP,1.112,-1.463,0.6388,0.2193,NS,53
GOBP_REGULATION_OF_T_CELL_MIGRATION,Regulation Of T Cell Migration,GO:BP,1.044,-1.531,0.7444,0.2807,NS,11
GOBP_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,Negative Regulation Of Reproductive Process,GO:BP,1.399,-1.175,0.4454,0.5817,NS,11
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,Actomyosin Structure Organization,GO:BP,1.708,-0.864,0.06016,0.9218,NS,86
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,Intracellular Signaling By Second Messengers,Reactome,-1.243,1.327,0.4176,0.2586,NS,72
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,RNA Splicing Via Transesterification Reactions,GO:BP,1.541,-1.028,0.2023,0.7104,NS,67
GOBP_REGULATION_OF_LIPID_STORAGE,Regulation Of Lipid Storage,GO:BP,1.155,-1.414,0.6477,0.3634,NS,10
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS,Role Of Phospholipids In Phagocytosis,Reactome,1.267,-1.302,0.5461,0.3922,NS,12
GOBP_MACROPHAGE_MIGRATION,Macrophage Migration,GO:BP,1.264,-1.304,0.5446,0.4493,NS,11
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION,Regulation Of Tp53 Activity Through Phosphorylation,Reactome,-1.56,1.006,0.2234,0.6546,NS,12
GOBP_MYELOID_LEUKOCYTE_ACTIVATION,Myeloid Leukocyte Activation,GO:BP,1.443,-1.122,0.3545,0.6036,NS,31
GOBP_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS,Regulation Of Alcohol Biosynthetic Process,GO:BP,-1.126,1.439,0.6588,0.3334,NS,12
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,Regulation Of Immune Effector Process,GO:BP,0.95,-1.614,0.8187,0.1279,NS,55
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION,Cardiac Muscle Cell Contraction,GO:BP,-1.518,1.044,0.3157,0.7113,NS,21
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY,Regulation Of Mitochondrial Membrane Permeability,GO:BP,-1.218,1.344,0.5632,0.382,NS,20
GOBP_MACROMOLECULE_DEACYLATION,Macromolecule Deacylation,GO:BP,-0.908,1.654,0.8423,0.177,NS,15
GOBP_REGULATION_OF_ENDOCYTOSIS,Regulation Of Endocytosis,GO:BP,1.327,-1.234,0.393,0.3909,NS,79
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide,GO:BP,1.602,-0.957,0.2742,0.79,NS,13
GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION,Regulation Of Peptidyl Tyrosine Phosphorylation,GO:BP,1.275,1.281,0.54,0.4671,NS,11
GOBP_LEUKOCYTE_APOPTOTIC_PROCESS,Leukocyte Apoptotic Process,GO:BP,1.2,-1.356,0.5905,0.4024,NS,14
GOBP_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS,Development Of Primary Sexual Characteristics,GO:BP,1.021,-1.535,0.7575,0.2397,NS,22
GOBP_PENTOSE_PHOSPHATE_SHUNT,Pentose Phosphate Shunt,GO:BP,-0.989,-1.567,0.7724,0.2517,NS,11
GOBP_REGULATION_OF_TUBE_SIZE,Regulation Of Tube Size,GO:BP,-0.821,-1.735,0.923,0.1218,NS,26
GOBP_REGULATION_OF_SKELETAL_MUSCLE_ADAPTATION,Regulation Of Skeletal Muscle Adaptation,GO:BP,1.154,1.4,0.6484,0.3669,NS,10
REACTOME_S_PHASE,S Phase,Reactome,-1.153,1.398,0.6006,0.2246,NS,42
GOBP_MODULATION_BY_HOST_OF_VIRAL_PROCESS,Modulation By Host Of Viral Process,GO:BP,1.004,-1.546,0.7587,0.2498,NS,15
GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE,Maintenance Of Protein Localization In Organelle,GO:BP,1.482,1.067,0.3828,0.7014,NS,13
GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY,Positive Regulation Of Gtpase Activity,GO:BP,1.483,-1.065,0.3655,0.6946,NS,15
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,Metabolism Of Vitamins And Cofactors,Reactome,0.998,-1.55,0.8229,0.07851,NS,68
GOBP_PTERIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,Pteridine Containing Compound Metabolic Process,GO:BP,-1.213,-1.334,0.5777,0.4156,NS,12
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH,Negative Regulation Of Cell Growth,GO:BP,-1.194,-1.353,0.5741,0.3815,NS,22
REACTOME_SIGNALING_BY_PTK6,Signaling By Ptk6,Reactome,1.267,-1.28,0.5461,0.4228,NS,13
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION,Regulation Of Endothelial Cell Migration,GO:BP,1.33,-1.215,0.4437,0.4718,NS,34
GOBP_GLAND_MORPHOGENESIS,Gland Morphogenesis,GO:BP,-1.059,-1.485,0.7202,0.2958,NS,15
GOBP_MYOFIBRIL_ASSEMBLY,Myofibril Assembly,GO:BP,1.308,1.235,0.4454,0.4299,NS,48
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,Blood Vessel Endothelial Cell Migration,GO:BP,1.154,-1.388,0.6307,0.3385,NS,22
GOBP_POLYOL_METABOLIC_PROCESS,Polyol Metabolic Process,GO:BP,-1.769,0.772,0.1584,0.9362,NS,23
GOBP_SYNAPTIC_VESICLE_RECYCLING,Synaptic Vesicle Recycling,GO:BP,1.474,-1.067,0.3318,0.679,NS,28
GOBP_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,Regulation Of DNA Biosynthetic Process,GO:BP,1.606,-0.934,0.2586,0.8047,NS,16
GOBP_NAD_METABOLIC_PROCESS,Nad Metabolic Process,GO:BP,-1.32,1.22,0.4861,0.5225,NS,15
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Ribonucleoside Monophosphate Biosynthetic Process,GO:BP,-1.657,0.882,0.2182,0.8574,NS,17
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION,Negative Regulation Of Lymphocyte Activation,GO:BP,1.35,-1.188,0.4614,0.553,NS,16
GOBP_VIRAL_BUDDING,Viral Budding,GO:BP,-1.456,1.081,0.3923,0.6878,NS,13
GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT,Negative Regulation Of Cell Development,GO:BP,1.252,-1.284,0.501,0.4089,NS,31
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,Lymphocyte Activation Involved In Immune Response,GO:BP,1.145,-1.391,0.6388,0.3524,NS,22
GOBP_POLYOL_BIOSYNTHETIC_PROCESS,Polyol Biosynthetic Process,GO:BP,-1.648,-0.887,0.2245,0.8528,NS,14
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,Regulation Of Cell Junction Assembly,GO:BP,1.223,-1.312,0.5267,0.3634,NS,42
GOBP_SEX_DIFFERENTIATION,Sex Differentiation,GO:BP,1.055,-1.48,0.7202,0.2618,NS,26
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,C Type Lectin Receptors Clrs,Reactome,-1.464,1.071,0.1679,0.5575,NS,51
REACTOME_DEATH_RECEPTOR_SIGNALING,Death Receptor Signaling,Reactome,1.151,-1.382,0.6301,0.2956,NS,19
GOBP_FEMALE_GAMETE_GENERATION,Female Gamete Generation,GO:BP,0.837,1.695,0.8912,0.1551,NS,12
GOBP_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,Positive Regulation Of Cytoskeleton Organization,GO:BP,1.45,-1.081,0.3105,0.6389,NS,54
GOBP_NEURON_PROJECTION_GUIDANCE,Neuron Projection Guidance,GO:BP,-1.011,-1.52,0.7575,0.2528,NS,20
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING,Ephb Mediated Forward Signaling,Reactome,1.369,-1.162,0.4156,0.5023,NS,15
GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,Reactive Oxygen Species Metabolic Process,GO:BP,0.956,-1.573,0.8187,0.112,NS,71
GOBP_PROTEIN_QUALITY_CONTROL_FOR_MISFOLDED_OR_INCOMPLETELY_SYNTHESIZED_PROTEINS,Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins,GO:BP,-1.093,1.435,0.6867,0.3358,NS,10
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Glycosaminoglycan Metabolism,Reactome,1.354,-1.174,0.4283,0.4981,NS,15
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE,Regulation Of Telomere Maintenance Via Telomerase,GO:BP,1.587,-0.939,0.2821,0.8067,NS,14
GOBP_RESPONSE_TO_GAMMA_RADIATION,Response To Gamma Radiation,GO:BP,-1.631,0.893,0.2245,0.8453,NS,16
KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY,Reference Egf Egfr Actin Signaling Pathway,KEGG,1.735,-0.789,0.1063,0.8338,NS,12
GOBP_INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT,Intra Golgi Vesicle Mediated Transport,GO:BP,1.396,1.126,0.4454,0.6353,NS,12
GOBP_ORGAN_GROWTH,Organ Growth,GO:BP,1.264,-1.256,0.4996,0.4553,NS,29
GOBP_STRIATED_MUSCLE_CONTRACTION,Striated Muscle Contraction,GO:BP,-1.194,1.326,0.501,0.3139,NS,74
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM,Vascular Process In Circulatory System,GO:BP,-0.9,-1.62,0.8674,0.1551,NS,40
GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,Regulation Of Striated Muscle Contraction,GO:BP,-1.207,1.31,0.542,0.3895,NS,36
REACTOME_TRNA_AMINOACYLATION,Trna Aminoacylation,Reactome,0.884,1.632,0.9322,0.0912,NS,31
GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT,Organic Hydroxy Compound Transport,GO:BP,1.286,-1.227,0.4614,0.4323,NS,46
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,Pathogen Salmonella Sopb To Arno Arf Actb G Signaling Pathway,KEGG,1.694,-0.819,0.1063,0.8122,NS,14
KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,Pathogen Shigella Ipgd To Arno Arf Actb G Signaling Pathway,KEGG,1.694,-0.819,0.1063,0.8122,NS,14
KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,Reference Arno Arf Actb G Signaling Pathway,KEGG,1.694,-0.819,0.1063,0.8122,NS,14
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,Calcium Ion Transmembrane Transport,GO:BP,-1.715,0.797,0.05529,0.9527,NS,68
GOBP_CELLULAR_COMPONENT_DISASSEMBLY,Cellular Component Disassembly,GO:BP,1.476,-1.035,0.1995,0.6951,NS,114
GOBP_CILIUM_ORGANIZATION,Cilium Organization,GO:BP,1.762,-0.748,0.1067,0.9628,NS,40
GOBP_SMOOTH_MUSCLE_CELL_MIGRATION,Smooth Muscle Cell Migration,GO:BP,1.095,-1.415,0.6862,0.3555,NS,14
REACTOME_DARPP_32_EVENTS,Darpp 32 Events,Reactome,-1.377,1.132,0.4153,0.5271,NS,14
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT,Regulation Of Sodium Ion Transport,GO:BP,-1.275,1.231,0.5104,0.4919,NS,19
GOBP_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS,Cellular Response To Light Stimulus,GO:BP,-1.168,1.338,0.6138,0.3842,NS,19
GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY,Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway,GO:BP,-0.985,1.52,0.7715,0.2807,NS,12
GOBP_PROTEIN_HOMOOLIGOMERIZATION,Protein Homooligomerization,GO:BP,1.281,-1.223,0.4614,0.4411,NS,47
GOBP_RENAL_FILTRATION,Renal Filtration,GO:BP,1.345,-1.159,0.4825,0.5921,NS,10
GOBP_REGENERATION,Regeneration,GO:BP,1.236,-1.268,0.5176,0.4089,NS,41
GOBP_REGULATION_OF_GTPASE_ACTIVITY,Regulation Of Gtpase Activity,GO:BP,1.129,-1.375,0.6441,0.3574,NS,23
GOBP_STRESS_GRANULE_ASSEMBLY,Stress Granule Assembly,GO:BP,-1.076,1.428,0.7019,0.3276,NS,15
GOBP_NUCLEAR_TRANSPORT,Nuclear Transport,GO:BP,1.273,-1.229,0.4381,0.3935,NS,85
GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGY,Negative Regulation Of Autophagy,GO:BP,-1.432,1.069,0.3828,0.6926,NS,22
GOBP_LYMPHOCYTE_MIGRATION,Lymphocyte Migration,GO:BP,1.367,-1.134,0.4569,0.6135,NS,17
GOBP_BIOMINERAL_TISSUE_DEVELOPMENT,Biomineral Tissue Development,GO:BP,1.41,-1.09,0.4343,0.6709,NS,12
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS,Carbohydrate Catabolic Process,GO:BP,-1.162,1.338,0.5594,0.3129,NS,63
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN,Mitochondrial Electron Transport Cytochrome C To Oxygen,GO:BP,0.742,1.758,0.9447,0.1164,NS,13
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,Env Factor Arsenic To Electron Transfer In Complex Iv,KEGG,0.971,1.529,0.731,0.09522,NS,12
GOBP_PLASMA_MEMBRANE_ORGANIZATION,Plasma Membrane Organization,GO:BP,1.28,-1.219,0.4611,0.4435,NS,53
GOBP_MESENCHYMAL_CELL_DIFFERENTIATION,Mesenchymal Cell Differentiation,GO:BP,1.069,-1.429,0.6986,0.2963,NS,27
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,Phase I Functionalization Of Compounds,Reactome,0.944,-1.551,0.8545,0.1424,NS,26
GOBP_ALCOHOL_METABOLIC_PROCESS,Alcohol Metabolic Process,GO:BP,-1.211,-1.283,0.4615,0.3173,NS,91
GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH,Regulation Of Developmental Growth,GO:BP,1.482,-1.011,0.2817,0.7306,NS,50
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,Pyridine Containing Compound Metabolic Process,GO:BP,-1.326,1.166,0.3572,0.496,NS,83
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,Negative Regulation Of Gene Expression Epigenetic,GO:BP,-1.304,-1.188,0.4996,0.553,NS,15
GOBP_NEGATIVE_REGULATION_OF_AMYLOID_FIBRIL_FORMATION,Negative Regulation Of Amyloid Fibril Formation,GO:BP,-1.279,-1.213,0.5275,0.5439,NS,10
GOBP_REGULATION_OF_AMYLOID_FIBRIL_FORMATION,Regulation Of Amyloid Fibril Formation,GO:BP,-1.279,-1.213,0.5275,0.5439,NS,10
