pathway,pathway_label,database,NES_Training_CRE,NES_Training_PLA,padj_Training_CRE,padj_Training_PLA,significance,set_size
GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION,Rho Protein Signal Transduction,GO:BP,1.57,-1.711,0.2649,0.1248,NS,25
GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING,DNA Integrity Checkpoint Signaling,GO:BP,-1.651,1.627,0.2182,0.206,NS,12
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION,Regulation Of Leukocyte Migration,GO:BP,1.769,-1.502,0.1067,0.2179,NS,39
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,Regulation Of Protein Depolymerization,GO:BP,1.845,-1.415,0.1067,0.2958,NS,32
GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly,GO:BP,1.622,-1.637,0.2209,0.189,NS,22
GOBP_REGULATION_OF_PROTEIN_TARGETING,Regulation Of Protein Targeting,GO:BP,-1.711,1.544,0.1645,0.2155,NS,26
REACTOME_SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES,Sars Cov 1 Activates Modulates Innate Immune Responses,Reactome,1.709,-1.546,0.0963,0.1984,NS,12
GOBP_FOCAL_ADHESION_ASSEMBLY,Focal Adhesion Assembly,GO:BP,1.443,-1.801,0.3614,0.09429,NS,27
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,Actin Filament Depolymerization,GO:BP,1.904,-1.339,0.05529,0.3669,NS,25
REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA,Sensory Processing Of Sound By Outer Hair Cells Of The Cochlea,Reactome,1.661,-1.581,0.1242,0.157,NS,14
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,Positive Regulation Of Protein Localization To Cell Periphery,GO:BP,1.755,-1.486,0.1426,0.2753,NS,24
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,Negative Regulation Of Cytoskeleton Organization,GO:BP,1.652,-1.584,0.1665,0.1551,NS,43
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH,Regulation Of Actin Filament Length,GO:BP,1.836,-1.391,0.05529,0.2838,NS,47
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY,Establishment Or Maintenance Of Bipolar Cell Polarity,GO:BP,1.625,-1.601,0.2599,0.2259,NS,11
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,Antigen Processing And Presentation Of Exogenous Peptide Antigen,GO:BP,1.402,-1.82,0.4454,0.112,NS,11
GOBP_CELL_CELL_JUNCTION_ORGANIZATION,Cell Cell Junction Organization,GO:BP,1.665,-1.556,0.1791,0.2019,NS,33
GOBP_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,Regulation Of Substrate Adhesion Dependent Cell Spreading,GO:BP,1.345,-1.875,0.4614,0.08009,NS,20
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,Plasma Lipoprotein Assembly Remodeling And Clearance,Reactome,1.546,-1.673,0.2111,0.1088,NS,19
REACTOME_SENSORY_PROCESSING_OF_SOUND,Sensory Processing Of Sound,Reactome,1.676,-1.543,0.1082,0.1686,NS,19
GOBP_TAXIS,Taxis,GO:BP,1.665,-1.553,0.1067,0.1263,NS,64
GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION,Cortical Cytoskeleton Organization,GO:BP,1.595,-1.619,0.2607,0.1981,NS,19
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,Mitochondrial Membrane Organization,GO:BP,-1.47,1.74,0.2581,0.0618,NS,56
GOBP_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY,Regulation Of Lamellipodium Assembly,GO:BP,1.918,-1.289,0.06585,0.4612,NS,11
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,Rho Gtpases Activate Iqgaps,Reactome,1.401,-1.804,0.3851,0.05265,NS,16
GOBP_CELL_CHEMOTAXIS,Cell Chemotaxis,GO:BP,1.784,-1.418,0.07393,0.2646,NS,48
GOBP_COLLAGEN_METABOLIC_PROCESS,Collagen Metabolic Process,GO:BP,1.867,-1.331,0.1107,0.3979,NS,20
GOBP_ENDOTHELIAL_CELL_MIGRATION,Endothelial Cell Migration,GO:BP,1.589,-1.607,0.2021,0.1279,NS,48
GOBP_POSITIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,Positive Regulation Of Substrate Adhesion Dependent Cell Spreading,GO:BP,1.485,-1.709,0.3655,0.1517,NS,15
GOBP_FIBROBLAST_MIGRATION,Fibroblast Migration,GO:BP,1.74,-1.442,0.1784,0.3082,NS,20
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL,Protein Modification By Small Protein Removal,GO:BP,-1.891,1.289,0.06704,0.4089,NS,32
GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,Positive Regulation Of Cytosolic Calcium Ion Concentration,GO:BP,-1.802,-1.378,0.1491,0.382,NS,14
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE,Negative Regulation Of Cell Cycle,GO:BP,-1.517,1.662,0.2939,0.1122,NS,32
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,Positive Regulation Of Nitric Oxide Metabolic Process,GO:BP,1.675,-1.499,0.2152,0.2933,NS,12
GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,Positive Regulation Of Lamellipodium Organization,GO:BP,1.952,-1.222,0.05494,0.5225,NS,12
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,Antigen Processing And Presentation Of Peptide Antigen,GO:BP,1.423,-1.751,0.3958,0.1122,NS,21
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,Negative Regulation Of Intracellular Transport,GO:BP,1.277,-1.887,0.5136,0.07305,NS,19
GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT,Positive Regulation Of Lipid Transport,GO:BP,1.457,-1.701,0.3874,0.1551,NS,15
GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY,Positive Regulation Of Hydrolase Activity,GO:BP,1.851,-1.3,0.06704,0.4082,NS,27
GOBP_EPIBOLY,Epiboly,GO:BP,1.478,-1.672,0.3828,0.1981,NS,11
REACTOME_RHOH_GTPASE_CYCLE,Rhoh Gtpase Cycle,Reactome,1.442,-1.703,0.3316,0.09607,NS,19
GOBP_REGULATION_OF_MITOCHONDRIAL_GENE_EXPRESSION,Regulation Of Mitochondrial Gene Expression,GO:BP,-1.648,1.496,0.22,0.2928,NS,12
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION,Negative Regulation Of Cell Adhesion,GO:BP,1.465,-1.674,0.3091,0.112,NS,42
GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Negative Regulation Of Supramolecular Fiber Organization,GO:BP,1.373,-1.758,0.3828,0.07037,NS,52
GOBP_EMBRYO_IMPLANTATION,Embryo Implantation,GO:BP,1.275,-1.852,0.5267,0.09694,NS,15
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE,Antibacterial Humoral Response,GO:BP,1.698,-1.428,0.2066,0.3246,NS,16
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION,Positive Regulation Of Autophagy Of Mitochondrion,GO:BP,-1.523,1.601,0.3361,0.2179,NS,11
GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE,Modification Of Synaptic Structure,GO:BP,1.227,-1.896,0.5738,0.08009,NS,13
REACTOME_AMYLOID_FIBER_FORMATION,Amyloid Fiber Formation,Reactome,1.677,-1.443,0.1164,0.2623,NS,16
GOBP_NEUTROPHIL_CHEMOTAXIS,Neutrophil Chemotaxis,GO:BP,1.719,-1.393,0.191,0.3574,NS,17
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,Response To Molecule Of Bacterial Origin,GO:BP,1.594,-1.517,0.1917,0.191,NS,55
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,Antimicrobial Humoral Response,GO:BP,1.886,-1.218,0.06016,0.4907,NS,25
GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY,Ubiquitin Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway,GO:BP,-1.772,1.33,0.1638,0.3999,NS,19
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,Inner Mitochondrial Membrane Organization,GO:BP,-1.387,1.715,0.4064,0.09711,NS,28
GOBP_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE,Plasma Lipoprotein Particle Clearance,GO:BP,1.373,-1.729,0.4575,0.1536,NS,13
GOBP_MYELOID_CELL_HOMEOSTASIS,Myeloid Cell Homeostasis,GO:BP,1.554,-1.536,0.2235,0.206,NS,42
GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY,Positive Regulation Of Lamellipodium Assembly,GO:BP,1.924,-1.162,0.06055,0.5921,NS,10
GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX,Regulation Of Cholesterol Efflux,GO:BP,1.545,-1.541,0.3309,0.274,NS,10
GOBP_SUPEROXIDE_METABOLIC_PROCESS,Superoxide Metabolic Process,GO:BP,1.202,-1.88,0.5815,0.07847,NS,19
GOBP_CALCIUM_MEDIATED_SIGNALING,Calcium Mediated Signaling,GO:BP,-1.625,1.45,0.1813,0.2409,NS,44
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,Lysosome Vesicle Biogenesis,Reactome,1.647,-1.426,0.1249,0.2701,NS,16
REACTOME_MATURATION_OF_TCA_ENZYMES_AND_REGULATION_OF_TCA_CYCLE,Maturation Of Tca Enzymes And Regulation Of Tca Cycle,Reactome,-1.543,1.53,0.2407,0.1942,NS,12
GOBP_MYELOID_LEUKOCYTE_MIGRATION,Myeloid Leukocyte Migration,GO:BP,1.52,-1.552,0.2599,0.1981,NS,40
GOBP_ENDOTHELIAL_CELL_PROLIFERATION,Endothelial Cell Proliferation,GO:BP,1.804,-1.265,0.1107,0.4495,NS,25
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,Protein Targeting To Mitochondrion,GO:BP,-1.492,1.576,0.238,0.1517,NS,53
GOBP_REGULATION_OF_T_CELL_ACTIVATION,Regulation Of T Cell Activation,GO:BP,1.656,-1.411,0.1638,0.2653,NS,47
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,Regulation Of Leukocyte Differentiation,GO:BP,1.277,-1.79,0.4861,0.1032,NS,31
GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT,Late Endosome To Vacuole Transport,GO:BP,-1.714,1.352,0.1899,0.3815,NS,18
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_DCTN1_TO_RETROGRADE_AXONAL_TRANSPORT,Variant Mutation Caused Aberrant Dctn1 To Retrograde Axonal Transport,KEGG,1.46,-1.606,0.3207,0.07244,NS,11
GOBP_ONE_CARBON_METABOLIC_PROCESS,One Carbon Metabolic Process,GO:BP,1.32,-1.742,0.4996,0.1551,NS,11
GOBP_HOMOTYPIC_CELL_CELL_ADHESION,Homotypic Cell Cell Adhesion,GO:BP,1.64,-1.411,0.2152,0.3015,NS,30
GOBP_CEREBRAL_CORTEX_DEVELOPMENT,Cerebral Cortex Development,GO:BP,1.276,-1.774,0.5114,0.112,NS,21
GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,Positive Regulation Of Establishment Of Protein Localization To Mitochondrion,GO:BP,-1.51,1.538,0.3545,0.2434,NS,15
GOBP_POSTSYNAPSE_ORGANIZATION,Postsynapse Organization,GO:BP,1.466,-1.579,0.3157,0.1814,NS,40
GOBP_CELL_KILLING,Cell Killing,GO:BP,1.418,-1.627,0.3509,0.1248,NS,45
GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS,Icosanoid Biosynthetic Process,GO:BP,1.534,-1.505,0.3309,0.2832,NS,15
GOBP_PROTEIN_LOCALIZATION_TO_LYSOSOME,Protein Localization To Lysosome,GO:BP,1.162,-1.877,0.6364,0.08938,NS,14
REACTOME_SIGNAL_AMPLIFICATION,Signal Amplification,Reactome,1.334,-1.703,0.4822,0.107,NS,12
REACTOME_SIGNALING_BY_PDGF,Signaling By Pdgf,Reactome,1.383,-1.651,0.3876,0.1183,NS,19
GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,Regulation Of Epithelial Cell Proliferation,GO:BP,1.365,-1.668,0.3994,0.1125,NS,41
GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS,Positive Regulation Of Hemopoiesis,GO:BP,1.347,-1.686,0.4614,0.1676,NS,20
GOBP_KETONE_BIOSYNTHETIC_PROCESS,Ketone Biosynthetic Process,GO:BP,-1.551,1.475,0.3053,0.2933,NS,16
GOBP_SKIN_DEVELOPMENT,Skin Development,GO:BP,1.441,-1.583,0.3545,0.1831,NS,35
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS,Negative Regulation Of Cell Cycle Process,GO:BP,-1.272,1.749,0.5063,0.0843,NS,26
GOBP_REGULATION_OF_PROTEIN_MATURATION,Regulation Of Protein Maturation,GO:BP,1.546,-1.471,0.3157,0.2963,NS,14
GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT,Kidney Epithelium Development,GO:BP,1.408,-1.602,0.4318,0.2179,NS,14
GOBP_MEMBRANE_DOCKING,Membrane Docking,GO:BP,1.508,-1.498,0.3233,0.274,NS,22
GOBP_ACTIN_NUCLEATION,Actin Nucleation,GO:BP,1.76,-1.24,0.1692,0.4786,NS,19
REACTOME_CELL_CELL_COMMUNICATION,Cell Cell Communication,Reactome,1.504,-1.492,0.1966,0.157,NS,32
GOBP_AMP_BIOSYNTHETIC_PROCESS,Amp Biosynthetic Process,GO:BP,-1.703,1.292,0.1899,0.4571,NS,11
