total_genes,measured_genes,est,nes,pval,adj.pval,score,set
146,146,0.5683877470783507,0.8383967696273781,0.405,0.81,mean,cancer_up
371,371,-0.004582977704687012,-0.006041227447240651,0.999,0.999,mean,cancer_down
146,146,0.6581335244865731,0.8757593521120732,0.443,0.886,maxmean,cancer_up
371,371,-0.2899186126227594,-0.3545379535033392,0.949,0.949,maxmean,cancer_down
146,146,0.7478793018947956,NA,0.451,0.743,absmean,cancer_up
371,371,0.5752542475408315,NA,0.743,0.743,absmean,cancer_down
