metric,YvO_2025,CvH_2026
Proteins,2103,2350
Shared baseline n,15,14
Structural r (design),-0.508,-0.4541
Observed r (all),-0.3576,-0.1803
Observed r (DEPs),-0.4989,-0.2914
Excess r (all),0.1504,0.2738
Excess r (DEPs),0.0091,0.1626
% DEPs reversed,75.5,61.5
n DEPs,196,509
