gene,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,significance,quadrant,imputed
GMFB,0.2028,0.6744,0.909658,0.215892,0.663162,NS,Concordant Up,TRUE
SH3BGRL,0.6613,-0.2149,0.283393,0.910003,0.22509,NS,Discordant (CRE Up / PLA Down),FALSE
NID1,0.4879,-0.3861,0.592706,0.754826,0.296439,NS,Discordant (CRE Up / PLA Down),TRUE
ARF4,0.3943,-0.4783,0.489464,0.339289,0.054908,NS,Discordant (CRE Up / PLA Down),FALSE
CDNF,-0.1792,0.693,0.912693,0.481038,0.336378,NS,Discordant (CRE Down / PLA Up),TRUE
MCCC1,-0.4064,0.4657,0.454976,0.365845,0.054325,NS,Discordant (CRE Down / PLA Up),TRUE
NDUFAF4,0.1597,0.7116,0.95139,0.217797,0.59776,NS,Concordant Up,TRUE
NT5C,-0.4786,0.3923,0.390702,0.552719,0.086322,NS,Discordant (CRE Down / PLA Up),TRUE
ARHGDIA,0.3363,-0.5341,0.62713699999999994,0.262478,0.06505,NS,Discordant (CRE Up / PLA Down),FALSE
HSPB7,-0.2268,0.6422,0.82572,0.130148,0.066992,NS,Discordant (CRE Down / PLA Up),TRUE
CD14,0.4974,-0.3711,0.638534,0.721507,0.302345,NS,Discordant (CRE Up / PLA Down),TRUE
UBE2D1,-0.8188,-0.0497,0.09861,0.995333,0.303538,NS,Concordant Down,TRUE
GAA,0.3881,0.4793,0.337167,0.201422,0.975122,NS,Concordant Up,TRUE
COMMD6,-0.2915,-0.5758,0.76212,0.346415,0.859474,NS,Concordant Down,TRUE
EHD1,0.144,-0.7227,0.956746,0.201436,0.209213,NS,Discordant (CRE Up / PLA Down),FALSE
CAPG,0.8548,0.0118,0.240334,0.999837,0.434039,NS,Concordant Up,TRUE
PPP1R3A,0.1638,-0.7022,0.93285,0.191961,0.164069,NS,Discordant (CRE Up / PLA Down),TRUE
ARF6,0.3474,0.5181,0.62508300000000006,0.388869,0.944899,NS,Concordant Up,TRUE
ATG7,0.6419,0.2233,0.08061,0.909381,0.719621,NS,Concordant Up,TRUE
CAVIN4,-0.2621,0.6027,0.791326,0.236872,0.105307,NS,Discordant (CRE Down / PLA Up),TRUE
ADH1C,-0.2335,-0.6313,0.865802,0.455878,0.799567,NS,Concordant Down,TRUE
CPT1B,-0.3726,0.492,0.581986,0.408857,0.101451,NS,Discordant (CRE Down / PLA Up),TRUE
SEPTIN9,0.6949,-0.1692,0.166268,0.937686,0.174245,NS,Discordant (CRE Up / PLA Down),TRUE
PELO,-0.1769,-0.6866,0.891065,0.125951,0.486654,NS,Concordant Down,TRUE
LIMS3,-0.2393,0.6241,0.803173,0.472694,0.251541,NS,Discordant (CRE Down / PLA Up),TRUE
ABHD5,0.2917,-0.5708,0.90257,0.669974,0.501501,NS,Discordant (CRE Up / PLA Down),TRUE
IGHA1,0.5036,-0.357,0.715756,0.859637,0.493144,NS,Discordant (CRE Up / PLA Down),TRUE
SELENOP,-0.1114,-0.7492,0.977476,0.220993,0.515014,NS,Concordant Down,TRUE
TOMM5,-0.5935,0.2658,0.236988,0.812486,0.127984,NS,Discordant (CRE Down / PLA Up),TRUE
EIF4G2,-0.5134,-0.3455,0.271681,0.666816,0.942342,NS,Concordant Down,TRUE
CAB39L,0.2737,-0.5842,0.835714,0.335851,0.196996,NS,Discordant (CRE Up / PLA Down),TRUE
DMD,-0.2979,0.5597,0.734271,0.286921,0.107119,NS,Discordant (CRE Down / PLA Up),TRUE
MLIP,0.7243,-0.1316,0.324485,0.975037,0.362013,NS,Discordant (CRE Up / PLA Down),TRUE
CNN3,0.6358,-0.2194,0.37382,0.915255,0.29395,NS,Discordant (CRE Up / PLA Down),TRUE
NDUFS3,0.1182,0.7364,0.959439,0.072739,0.33999,NS,Concordant Up,FALSE
GGPS1,-0.588,0.2657,0.623313,0.91669,0.490636,NS,Discordant (CRE Down / PLA Up),TRUE
RPL21,0.1203,-0.7306,0.96193,0.085969,0.120259,NS,Discordant (CRE Up / PLA Down),TRUE
YBX3,-0.1227,0.7258,0.964843,0.14931,0.175243,NS,Discordant (CRE Down / PLA Up),FALSE
CHDH,-0.5131,-0.3354,0.229188,0.640172,0.926476,NS,Concordant Down,TRUE
ARPC2,0.6483,0.1991,0.101933,0.879334,0.575418,NS,Concordant Up,TRUE
PNPO,-0.637,-0.2103,0.081544,0.844805,0.567762,NS,Concordant Down,TRUE
PDZK1IP1,-0.1116,0.7339,0.979148,0.373171,0.371975,NS,Discordant (CRE Down / PLA Up),TRUE
PFKFB1,-0.3084,-0.5351,0.607358,0.302712,0.87973,NS,Concordant Down,TRUE
CAP1,0.4641,-0.3786,0.484871,0.650168,0.163607,NS,Discordant (CRE Up / PLA Down),FALSE
RPL35,0.2497,-0.5922,0.821149,0.253393,0.131099,NS,Discordant (CRE Up / PLA Down),TRUE
TPD52L2,0.2729,-0.5685,0.768359,0.243906,0.10215,NS,Discordant (CRE Up / PLA Down),FALSE
JPT1,-0.5261,-0.315,0.674103,0.827455,0.957254,NS,Concordant Down,TRUE
ETFRF1,-0.4642,-0.3756,0.560191,0.670344,0.988591,NS,Concordant Down,TRUE
DERA,-0.3258,-0.5137,0.77563,0.452554,0.947982,NS,Concordant Down,TRUE
FBXO7,-0.1186,0.72,0.970422,0.199499,0.228499,NS,Discordant (CRE Down / PLA Up),TRUE
PITPNA,0.2879,-0.54990000000000006,0.759762,0.303367,0.126677,NS,Discordant (CRE Up / PLA Down),FALSE
AKAP12,0.5809,-0.2554,0.38017,0.867077,0.248232,NS,Discordant (CRE Up / PLA Down),FALSE
TIMM9,-0.3314,-0.5019,0.66537,0.491163,0.951137,NS,Concordant Down,TRUE
IDH2,-0.151,0.6816,0.920209,0.069248,0.066836,NS,Discordant (CRE Down / PLA Up),FALSE
MT-ND5,-0.2934,0.5379,0.764504,0.381419,0.166114,NS,Discordant (CRE Down / PLA Up),TRUE
F13A1,0.7248,-0.1059,0.226273,0.980038,0.287345,NS,Discordant (CRE Up / PLA Down),FALSE
OBSCN,0.6829,0.1478,0.234267,0.960903,0.6241,NS,Concordant Up,TRUE
HNRNPA2B1,0.2478,-0.5807,0.788148,0.183514,0.081359,NS,Discordant (CRE Up / PLA Down),FALSE
PDK2,-0.5743,0.2542,0.389518,0.860466,0.24506,NS,Discordant (CRE Down / PLA Up),TRUE
TPSB2,0.6079,-0.219,0.420263,0.923442,0.348634,NS,Discordant (CRE Up / PLA Down),TRUE
PROS1,-0.2888,-0.5369,0.847922,0.523054,0.924521,NS,Concordant Down,TRUE
SBDS,-0.2967,0.5287,0.70633,0.272408,0.091357,NS,Discordant (CRE Down / PLA Up),FALSE
HNRNPM,0.6126,-0.2126,0.185319,0.881348,0.141803,NS,Discordant (CRE Up / PLA Down),TRUE
MAP1S,-0.205,0.62,0.825805,0.128439,0.061645,NS,Discordant (CRE Down / PLA Up),TRUE
LAMTOR2,0.2092,0.6151,0.843058,0.404377,0.741521,NS,Concordant Up,TRUE
PRPSAP2,-0.5333,-0.2909,0.258767,0.744964,0.875031,NS,Concordant Down,TRUE
NDUFS2,-0.1603,0.6627,0.924061,0.14685,0.126592,NS,Discordant (CRE Down / PLA Up),FALSE
DEFA3,0.2004,-0.6225,0.935887,0.436692,0.368958,NS,Discordant (CRE Up / PLA Down),TRUE
AZGP1,0.3324,-0.4899,0.778332,0.560186,0.286685,NS,Discordant (CRE Up / PLA Down),FALSE
NIPSNAP2,-0.3247,0.4974,0.654146,0.343421,0.10073,NS,Discordant (CRE Down / PLA Up),TRUE
PPP1R14B,0.3241,0.4978,0.729688,0.525593,0.954371,NS,Concordant Up,TRUE
ACAA1,-0.721,-0.0999,0.068181,0.972934,0.334389,NS,Concordant Down,TRUE
TNNI1,-0.0334,0.7868,0.99855,0.347127,0.455063,NS,Discordant (CRE Down / PLA Up),TRUE
CSRP3,0.08,0.7394,0.980525,0.068373,0.264425,NS,Concordant Up,TRUE
MT-ATP8,-0.1289,0.6894,0.969576,0.291948,0.308757,NS,Discordant (CRE Down / PLA Up),TRUE
MAP2K4,-0.2029,0.6142,0.848373,0.117178,0.06987,NS,Discordant (CRE Down / PLA Up),TRUE
YKT6,0.236,-0.5806,0.858421,0.296903,0.185574,NS,Discordant (CRE Up / PLA Down),TRUE
PDLIM5,-0.1269,0.6896,0.966399,0.234865,0.253089,NS,Discordant (CRE Down / PLA Up),FALSE
SDCBP,0.1916,-0.6245,0.863866,0.113923,0.071692,NS,Discordant (CRE Up / PLA Down),TRUE
HINT2,-0.3479,-0.4677,0.662763,0.481819,0.97508,NS,Concordant Down,TRUE
OGN,0.8133,0.0021,0.204405,0.999994,0.380705,NS,Concordant Up,TRUE
CD99,-0.2993,0.5161,0.845955,0.300495,0.259382,NS,Discordant (CRE Down / PLA Up),TRUE
ESAM,0.2223,-0.5923,0.851793,0.291493,0.164721,NS,Discordant (CRE Up / PLA Down),TRUE
TAGLN2,0.4915,-0.323,0.46796,0.758847,0.217365,NS,Discordant (CRE Up / PLA Down),FALSE
SUCLA2,-0.1465,0.6671,0.932268,0.107377,0.104872,NS,Discordant (CRE Down / PLA Up),FALSE
PRKCD,-0.3646,-0.4489,0.719484,0.555463,0.989757,NS,Concordant Down,TRUE
JPH1,-0.508,0.305,0.433724,0.795934,0.2283,NS,Discordant (CRE Down / PLA Up),TRUE
PDAP1,-0.1975,0.6153,0.852692,0.109029,0.065962,NS,Discordant (CRE Down / PLA Up),FALSE
VKORC1L1,-0.1507,-0.6618,0.920113,0.115303,0.454689,NS,Concordant Down,TRUE
NUDT4,0.0878,0.7244,0.977071,0.072235,0.294615,NS,Concordant Up,TRUE
DPP9,-0.4262,0.3859,0.616063,0.705481,0.281258,NS,Discordant (CRE Down / PLA Up),TRUE
TACC2,-0.2195,-0.5916,0.798279,0.095596,0.615498,NS,Concordant Down,TRUE
COX7A1,0.1191,0.6914,0.961607,0.128521,0.438064,NS,Concordant Up,FALSE
NDUFA8,0.0814,0.7289,0.984138,0.12506,0.372552,NS,Concordant Up,TRUE
BABAM2,0.2116,0.5977,0.873871,0.290685,0.732853,NS,Concordant Up,TRUE
DCPS,-0.2098,0.5971,0.851519,0.195203,0.113398,NS,Discordant (CRE Down / PLA Up),TRUE
LRRC20,-0.5363,0.2684,0.324619,0.81187,0.173,NS,Discordant (CRE Down / PLA Up),TRUE
ECM1,-0.2543,-0.55,0.820376,0.260081,0.825905,NS,Concordant Down,TRUE
SDHD,-0.4032,0.4009,0.647057,0.684241,0.278149,NS,Discordant (CRE Down / PLA Up),TRUE
IQGAP1,0.7046,0.098,0.127188,0.977022,0.419101,NS,Concordant Up,FALSE
TNNI2,0.2894,0.5122,0.880615,0.687509,0.955656,NS,Concordant Up,TRUE
PFN1,0.2463,-0.5553,0.792055,0.221252,0.100618,NS,Discordant (CRE Up / PLA Down),FALSE
CYGB,0.2191,-0.5824,0.86572,0.37273,0.220638,NS,Discordant (CRE Up / PLA Down),TRUE
PDLIM2,-0.5974,0.2038,0.378307,0.933958,0.355185,NS,Discordant (CRE Down / PLA Up),TRUE
HLA-DRA,-0.1915,-0.6094,0.86531,0.166744,0.607331,NS,Concordant Down,TRUE
USP7,-0.3001,0.5005,0.616255,0.226424,0.050887,NS,Discordant (CRE Down / PLA Up),TRUE
ATP5F1D,0.6064,0.1935,0.198992,0.895702,0.670925,NS,Concordant Up,FALSE
CUL5,-0.2032,0.5967,0.86792,0.188918,0.119985,NS,Discordant (CRE Down / PLA Up),FALSE
NDUFB11,0.0235,0.7751,0.998782,0.098272,0.257877,NS,Concordant Up,FALSE
GALM,-0.1121,0.6848,0.960123,0.083957,0.107243,NS,Discordant (CRE Down / PLA Up),FALSE
NDUFS8,-0.1681,0.6282,0.940577,0.352807,0.296999,NS,Discordant (CRE Down / PLA Up),TRUE
SGCD,-0.3755,0.42,0.512608,0.435123,0.087288,NS,Discordant (CRE Down / PLA Up),FALSE
HLA-B,0.3166,-0.4789,0.591959,0.316997,0.071559,NS,Discordant (CRE Up / PLA Down),TRUE
STK38,-0.3682,0.4272,0.531911,0.712335,0.291928,NS,Discordant (CRE Down / PLA Up),TRUE
BPGM,0.3027,-0.4926,0.820025,0.56449800000000006,0.324754,NS,Discordant (CRE Up / PLA Down),FALSE
H1-0,-0.4019,0.3925,0.571931,0.624346,0.194317,NS,Discordant (CRE Down / PLA Up),TRUE
SLC25A46,-0.0728,0.7215,0.986837,0.414943,0.389453,NS,Discordant (CRE Down / PLA Up),TRUE
STK24,0.1971,-0.5963,0.90647200000000006,0.429082,0.301737,NS,Discordant (CRE Up / PLA Down),TRUE
PDXK,0.2993,-0.494,0.680578,0.299902,0.093171,NS,Discordant (CRE Up / PLA Down),FALSE
NRBP1,0.0534,0.7398,0.990273,0.298478,0.407014,NS,Concordant Up,TRUE
TPP2,-0.2856,0.506,0.644726,0.216895,0.053185,NS,Discordant (CRE Down / PLA Up),TRUE
CYB5R3,0.2079,-0.5816,0.888107,0.300547,0.206363,NS,Discordant (CRE Up / PLA Down),FALSE
PRKRA,-0.5586,-0.2297,0.287756,0.882445,0.816388,NS,Concordant Down,TRUE
SCO1,0.336,0.4518,0.723591,0.535412,0.978826,NS,Concordant Up,TRUE
PDHB,-0.0669,0.7209,0.986942,0.069513,0.127126,NS,Discordant (CRE Down / PLA Up),FALSE
EIPR1,-0.0585,-0.7293,0.988569,0.13464,0.283753,NS,Concordant Down,TRUE
CD99L2,-0.3954,-0.3923,0.41243,0.486492,0.999978,NS,Concordant Down,TRUE
MRPL49,0.3696,0.418,0.686783,0.638439,0.996756,NS,Concordant Up,TRUE
RPS13,0.3295,0.4576,0.630925,0.395554,0.964494,NS,Concordant Up,TRUE
MTM1,-0.0545,0.7325,0.992736,0.252464,0.286736,NS,Discordant (CRE Down / PLA Up),TRUE
TIMM13,-0.4854,0.3006,0.450033,0.766346,0.209146,NS,Discordant (CRE Down / PLA Up),TRUE
ARL8A,-0.2904,0.4939,0.750047,0.385175,0.163716,NS,Discordant (CRE Down / PLA Up),TRUE
MIF,0.3456,-0.4374,0.606307,0.43472,0.119303,NS,Discordant (CRE Up / PLA Down),FALSE
RPL4,0.3733,0.4083,0.298955,0.239334,0.995912,NS,Concordant Up,FALSE
SULT1A1,0.4472,-0.3342,0.593586,0.779658,0.314499,NS,Discordant (CRE Up / PLA Down),TRUE
DAG1,-0.6557,-0.124,0.061611,0.945717,0.367958,NS,Concordant Down,FALSE
ISCA1,-0.30620000000000003,-0.4733,0.716541,0.547109,0.953548,NS,Concordant Down,TRUE
PGRMC1,0.4259,-0.3535,0.459737,0.619686,0.136672,NS,Discordant (CRE Up / PLA Down),FALSE
GNAI2,0.4014,-0.3777,0.626795,0.67792,0.258241,NS,Discordant (CRE Up / PLA Down),FALSE
MYOC,0.4222,-0.3565,0.809338,0.845876,0.563775,NS,Discordant (CRE Up / PLA Down),TRUE
TCEA3,-0.4069,-0.3713,0.593373,0.747902,0.998322,NS,Concordant Down,TRUE
MAPK9,-0.0365,0.7409,0.996731,0.183833,0.251999,NS,Discordant (CRE Down / PLA Up),TRUE
USP9X,0.2923,0.4845,0.591085,0.194221,0.883401,NS,Concordant Up,TRUE
LAMTOR1,0.2964,-0.4801,0.672157,0.441379,0.149267,NS,Discordant (CRE Up / PLA Down),TRUE
PRELP,0.4453,-0.331,0.794964,0.89034,0.604332,NS,Discordant (CRE Up / PLA Down),FALSE
RPA2,-0.3723,0.4036,0.500272,0.427185,0.082305,NS,Discordant (CRE Down / PLA Up),TRUE
CD63,0.3497,-0.4259,0.700231,0.600679,0.255407,NS,Discordant (CRE Up / PLA Down),TRUE
DPYSL2,0.4638,-0.3115,0.45859,0.743901,0.201451,NS,Discordant (CRE Up / PLA Down),FALSE
PCBD2,-0.4656,0.3093,0.362891,0.700267,0.131451,NS,Discordant (CRE Down / PLA Up),TRUE
CLIP2,-0.3288,0.4449,0.565429,0.508988,0.143903,NS,Discordant (CRE Down / PLA Up),TRUE
NDUFB9,0.2987,0.4738,0.777915,0.496978,0.950144,NS,Concordant Up,TRUE
ATP5PF,-0.1876,0.5831,0.875495,0.165118,0.109308,NS,Discordant (CRE Down / PLA Up),FALSE
DGLUCY,-0.4848,0.2851,0.515429,0.818482,0.28996,NS,Discordant (CRE Down / PLA Up),TRUE
GHITM,-0.2429,0.525,0.888549,0.498044,0.352748,NS,Discordant (CRE Down / PLA Up),TRUE
KDSR,-0.4717,0.2953,0.566535,0.900118,0.488516,NS,Discordant (CRE Down / PLA Up),TRUE
LYPLA2,-0.39,0.3763,0.482996,0.528303,0.109033,NS,Discordant (CRE Down / PLA Up),FALSE
NDUFS4,0.1467,0.6189,0.949343,0.290386,0.648979,NS,Concordant Up,TRUE
GSTM3,-0.3604,0.4046,0.735914,0.68271,0.340305,NS,Discordant (CRE Down / PLA Up),FALSE
RASA4,0.1153,-0.6489,0.96128,0.213229,0.204776,NS,Discordant (CRE Up / PLA Down),TRUE
PHPT1,-0.4782,0.2851,0.319871,0.725098,0.121484,NS,Discordant (CRE Down / PLA Up),FALSE
CYCS,-0.2153,0.5471,0.8632,0.296063,0.182483,NS,Discordant (CRE Down / PLA Up),FALSE
FHL3,-0.5749,0.1871,0.418677,0.938808,0.371935,NS,Discordant (CRE Down / PLA Up),TRUE
MYOM2,-0.2745,0.4858,0.855582,0.608441,0.389827,NS,Discordant (CRE Down / PLA Up),TRUE
ARPP19,-0.5964,0.1639,0.133735,0.912581,0.122683,NS,Discordant (CRE Down / PLA Up),TRUE
BTF3,0.4889,-0.2708,0.399787,0.861134,0.302187,NS,Discordant (CRE Up / PLA Down),TRUE
MYLK2,-0.5805,-0.179,0.392079,0.939623,0.779908,NS,Concordant Down,TRUE
HNRNPK,0.1474,-0.6121,0.903977,0.063447,0.054914,NS,Discordant (CRE Up / PLA Down),FALSE
SLC25A5,-0.1882,0.5709,0.886335,0.21974,0.150977,NS,Discordant (CRE Down / PLA Up),FALSE
GNB1,0.133,-0.6255,0.9538,0.218821,0.218551,NS,Discordant (CRE Up / PLA Down),FALSE
CACNA1S,-0.3005,-0.4564,0.577384,0.276207,0.927995,NS,Concordant Down,TRUE
STEAP4,0.0924,0.6635,0.976326,0.477045,0.629409,NS,Concordant Up,TRUE
HCCS,0.1423,-0.6129,0.929431,0.17458,0.143141,NS,Discordant (CRE Up / PLA Down),TRUE
COQ10B,-0.2091,0.546,0.919408,0.500294,0.388548,NS,Discordant (CRE Down / PLA Up),TRUE
VCL,0.2482,-0.5065,0.769099,0.259072,0.10856,NS,Discordant (CRE Up / PLA Down),FALSE
COMTD1,-0.1055,0.6482,0.976328,0.535468,0.47739,NS,Discordant (CRE Down / PLA Up),TRUE
SUOX,-0.2559,-0.4976,0.733132,0.236763,0.842065,NS,Concordant Down,TRUE
PLS3,0.5848,-0.1683,0.311805,0.935596,0.275896,NS,Discordant (CRE Up / PLA Down),FALSE
NAA50,-0.1958,-0.5572,0.846757,0.227086,0.683943,NS,Concordant Down,TRUE
NNT,-0.0758,0.6768,0.981761,0.080093,0.130442,NS,Discordant (CRE Down / PLA Up),FALSE
MVP,0.6575,-0.0947,0.202119,0.981555,0.284676,NS,Discordant (CRE Up / PLA Down),TRUE
RCN2,0.371,0.3808,0.522922,0.502064,0.999796,NS,Concordant Up,TRUE
NAMPT,0.1419,0.6098,0.933356,0.147658,0.5261,NS,Concordant Up,FALSE
RTCA,-0.3837,0.3657,0.521726,0.600548,0.156754,NS,Discordant (CRE Down / PLA Up),TRUE
CD9,0.1333,-0.6154,0.971544,0.45323,0.44566,NS,Discordant (CRE Up / PLA Down),TRUE
UQCRB,-0.1682,0.5803,0.903906,0.180133,0.137272,NS,Discordant (CRE Down / PLA Up),FALSE
CSE1L,-0.2224,0.5241,0.782307,0.165272,0.070377,NS,Discordant (CRE Down / PLA Up),FALSE
ARL2,-0.1369,0.6084,0.933823,0.291085,0.213746,NS,Discordant (CRE Down / PLA Up),TRUE
PPP5C,-0.2032,0.542,0.837383,0.180842,0.098956,NS,Discordant (CRE Down / PLA Up),FALSE
CFL1,0.1679,-0.577,0.913786,0.226669,0.178214,NS,Discordant (CRE Up / PLA Down),FALSE
TOMM40,-0.512,0.2326,0.368449,0.8691,0.254195,NS,Discordant (CRE Down / PLA Up),TRUE
MYLK,-0.2401,-0.5038,0.806868,0.313675,0.844899,NS,Concordant Down,FALSE
ARF1,0.4098,-0.3332,0.453903,0.629607,0.137945,NS,Discordant (CRE Up / PLA Down),FALSE
SH3BGRL3,0.6301,-0.1129,0.284721,0.97412,0.323786,NS,Discordant (CRE Up / PLA Down),TRUE
ACADM,-0.2515,0.4905,0.789242,0.339931,0.159247,NS,Discordant (CRE Down / PLA Up),FALSE
GCSH,-0.2754,0.466,0.786111,0.459934,0.226016,NS,Discordant (CRE Down / PLA Up),FALSE
RTN3,0.1974,-0.5427,0.922817,0.488032,0.380167,NS,Discordant (CRE Up / PLA Down),TRUE
TMEM230,0.6775,-0.0623,0.655303,0.997238,0.719318,NS,Discordant (CRE Up / PLA Down),TRUE
GYPC,0.5911,-0.1475,0.312414,0.95481,0.315775,NS,Discordant (CRE Up / PLA Down),TRUE
MYH11,-0.0013,0.7364,0.999997,0.223481,0.382477,NS,Discordant (CRE Down / PLA Up),TRUE
EIF4B,-0.2992,-0.4384,0.693438,0.485635,0.960607,NS,Concordant Down,TRUE
STAMBP,-0.6546,0.0829,0.184725,0.983699,0.258478,NS,Discordant (CRE Down / PLA Up),TRUE
CUL4A,0.0662,0.6706,0.989579,0.210705,0.445944,NS,Concordant Up,TRUE
ATP2B2,-0.1664,-0.5688,0.89448,0.281348,0.654601,NS,Concordant Down,TRUE
PMPCA,0.439,0.296,0.444416,0.745299,0.959547,NS,Concordant Up,TRUE
UFD1,0.04,0.6946,0.994518,0.068207,0.209376,NS,Concordant Up,TRUE
LXN,0.2202,-0.5142,0.898839,0.502143,0.360835,NS,Discordant (CRE Up / PLA Down),TRUE
COQ8A,-0.2526,0.481,0.788007,0.372924,0.174958,NS,Discordant (CRE Down / PLA Up),TRUE
DCD,0.4666,-0.2664,0.769109,0.940796,0.669266,NS,Discordant (CRE Up / PLA Down),TRUE
BCL2L13,-0.2599,0.473,0.768499,0.37353,0.163962,NS,Discordant (CRE Down / PLA Up),TRUE
SYPL1,-0.4273,0.3043,0.289481,0.592564,0.065515,NS,Discordant (CRE Down / PLA Up),FALSE
PYURF,-0.3521,0.3794,0.831237,0.768863,0.511389,NS,Discordant (CRE Down / PLA Up),TRUE
TMEM38A,0.202,-0.5287,0.917904,0.51133,0.389702,NS,Discordant (CRE Up / PLA Down),TRUE
RPL11,0.2838,0.4464,0.704088,0.377024,0.937256,NS,Concordant Up,FALSE
SNRPD2,0.3339,-0.3961,0.599685,0.54728,0.169366,NS,Discordant (CRE Up / PLA Down),TRUE
SERPINB1,0.3282,0.4017,0.522031,0.365502,0.985012,NS,Concordant Up,FALSE
VDAC3,-0.1189,0.6099,0.960103,0.202357,0.213965,NS,Discordant (CRE Down / PLA Up),FALSE
NDUFV1,-0.0499,0.6786,0.993276,0.118537,0.204866,NS,Discordant (CRE Down / PLA Up),FALSE
ATP1A2,-0.3263,0.4013,0.657656,0.550509,0.197695,NS,Discordant (CRE Down / PLA Up),TRUE
MAP1LC3B2,-0.3215,0.4053,0.683668,0.535927,0.204544,NS,Discordant (CRE Down / PLA Up),FALSE
PPP1CB,-0.0672,0.659,0.983701,0.05849,0.106768,NS,Discordant (CRE Down / PLA Up),FALSE
PPP2R2A,-0.1586,0.5673,0.902533,0.145658,0.112251,NS,Discordant (CRE Down / PLA Up),FALSE
CHCHD3,-0.107,0.6187,0.965626,0.163005,0.18806,NS,Discordant (CRE Down / PLA Up),FALSE
MAP2K3,-0.3284,0.3968,0.696174,0.610344,0.257613,NS,Discordant (CRE Down / PLA Up),TRUE
CLIC1,0.408,-0.3169,0.584059,0.749883,0.280878,NS,Discordant (CRE Up / PLA Down),FALSE
ZBTB9,0.059,0.6647,0.991816,0.347013,0.519061,NS,Concordant Up,TRUE
ACAT2,-0.1861,-0.536,0.929162,0.466603,0.826545,NS,Concordant Down,TRUE
DCXR,-0.2321,0.4899,0.842642,0.3994,0.230841,NS,Discordant (CRE Down / PLA Up),FALSE
CALR,0.3433,-0.3782,0.512824,0.44818,0.090829,NS,Discordant (CRE Up / PLA Down),FALSE
TXNDC5,0.2768,-0.4446,0.836836,0.628607,0.386268,NS,Discordant (CRE Up / PLA Down),TRUE
STOM,0.2537,-0.4669,0.891519,0.653365,0.472079,NS,Discordant (CRE Up / PLA Down),FALSE
CLINT1,-0.0224,-0.698,0.998636,0.190344,0.323388,NS,Concordant Down,TRUE
CISD1,0.1014,0.6182,0.962447,0.105591,0.393345,NS,Concordant Up,TRUE
HTRA2,-0.2718,0.4477,0.769779,0.501784,0.236844,NS,Discordant (CRE Down / PLA Up),TRUE
MYH3,-0.3716,0.3464,0.833689,0.885067,0.642193,NS,Discordant (CRE Down / PLA Up),TRUE
CPT1A,-0.3041,-0.4127,0.788825,0.684611,0.98424,NS,Concordant Down,TRUE
MESD,-0.452,-0.2646,0.649213,0.863009,0.956071,NS,Concordant Down,TRUE
IDE,-0.257,0.4592,0.755208,0.349877,0.145611,NS,Discordant (CRE Down / PLA Up),FALSE
HNRNPC,0.4898,-0.225,0.461723,0.890716,0.336673,NS,Discordant (CRE Up / PLA Down),TRUE
NPC2,0.1946,-0.5202,0.893003,0.362881,0.251404,NS,Discordant (CRE Up / PLA Down),TRUE
CYTH1,-0.5807,0.1339,0.221125,0.938836,0.189607,NS,Discordant (CRE Down / PLA Up),TRUE
BCHE,-0.3579,0.3555,0.826122,0.79236,0.528059,NS,Discordant (CRE Down / PLA Up),TRUE
DSTN,0.2816,-0.4316,0.703771,0.399245,0.144374,NS,Discordant (CRE Up / PLA Down),FALSE
CAPZA1,0.549,-0.1626,0.352698,0.938149,0.310301,NS,Discordant (CRE Up / PLA Down),FALSE
LONP1,0.144,0.5672,0.924818,0.166025,0.568636,NS,Concordant Up,FALSE
ACTN4,0.6473,-0.0639,0.366123,0.993561,0.461985,NS,Discordant (CRE Up / PLA Down),FALSE
MT-ND1,-0.4836,-0.2271,0.613514,0.914612,0.923953,NS,Concordant Down,TRUE
IGHA2,-0.3079,-0.4027,0.844893,0.74856,0.990641,NS,Concordant Down,TRUE
S100A6,0.1124,-0.598,0.982846,0.54682,0.553564,NS,Discordant (CRE Up / PLA Down),TRUE
UBA3,-0.2557,0.4545,0.76941,0.381512,0.169654,NS,Discordant (CRE Down / PLA Up),FALSE
SND1,0.3903,-0.3194,0.385262,0.641435,0.12295,NS,Discordant (CRE Up / PLA Down),TRUE
IPO7,-0.3695,0.3399,0.436772,0.523729,0.090959,NS,Discordant (CRE Down / PLA Up),FALSE
NDUFB3,0.0424,0.6667,0.995385,0.146838,0.355852,NS,Concordant Up,FALSE
ZYX,0.2795,-0.4294,0.673615,0.351194,0.110198,NS,Discordant (CRE Up / PLA Down),FALSE
MAN2C1,-0.5922,-0.1162,0.169719,0.961521,0.538485,NS,Concordant Down,TRUE
GYS1,-0.0525,0.6548,0.992717,0.179658,0.257401,NS,Discordant (CRE Down / PLA Up),TRUE
FN3K,-0.3324,0.3744,0.605263,0.554377,0.171934,NS,Discordant (CRE Down / PLA Up),TRUE
LAP3,0.163,-0.5435,0.892724,0.16233,0.117034,NS,Discordant (CRE Up / PLA Down),FALSE
SMYD1,-0.346,0.3599,0.65522,0.665092,0.267424,NS,Discordant (CRE Down / PLA Up),TRUE
PREP,-0.3727,0.3329,0.517937,0.62882,0.167139,NS,Discordant (CRE Down / PLA Up),FALSE
RPA3,-0.1733,0.5319,0.915243,0.483975,0.345157,NS,Discordant (CRE Down / PLA Up),TRUE
