gene,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,significance,quadrant,imputed
GNG2,0.1158,-1.7746,0.981857,3.67e-4,0.003017,Interaction,Discordant (CRE Up / PLA Down),TRUE
IPO9,-1.0376,0.8479,0.030485,0.065637,4.4e-5,Interaction,Discordant (CRE Down / PLA Up),TRUE
COL1A2,1.2558,-0.6291,0.122073,0.640329,0.030754,Interaction,Discordant (CRE Up / PLA Down),TRUE
MARCHF5,-0.2019,1.6816,0.917847,0.002781,0.002584,Interaction,Discordant (CRE Down / PLA Up),TRUE
SAMHD1,0.9472,-0.9346,0.019238,0.050114,1.6e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
TUBB2B,0.0757,-1.7676,0.992824,0.005742,0.01573,Interaction,Discordant (CRE Up / PLA Down),TRUE
UBE2F,-0.4083,1.431,0.609149,0.001201,1.38e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
MRC2,1.2459,-0.5707,5.22e-4,0.411957,5.9e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
HDGFL3,-0.0421,-1.76,0.997639,0.015332,0.041458,Interaction,Concordant Down,TRUE
ELAVL1,0.7102,-1.0914,0.040364,0.002453,1e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
CD276,1.2642,-0.5205,0.011528,0.575376,0.002302,Interaction,Discordant (CRE Up / PLA Down),TRUE
IL18,0.1047,1.6726,0.972078,2.14e-4,0.003085,Interaction,Concordant Up,TRUE
PVALB,0.5169,-1.2584,0.488278,0.101184,0.012221,Interaction,Discordant (CRE Up / PLA Down),TRUE
RCN3,1.4268,-0.3282,0.082564,0.852769,0.040012,Interaction,Discordant (CRE Up / PLA Down),TRUE
GNAQ,0.3081,-1.438,0.822479,0.002141,0.00181,Interaction,Discordant (CRE Up / PLA Down),TRUE
SFXN3,0.9564,-0.7756,0.002415,0.03583,1e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
DRG1,-0.1604,1.551,0.957112,1.39e-4,0.001615,Interaction,Discordant (CRE Down / PLA Up),TRUE
AHNAK,0.6382,-1.0708,0.424813,0.061062,0.004377,Interaction,Discordant (CRE Up / PLA Down),FALSE
CSTA,0.1364,-1.5371,0.969438,8.1e-4,0.004064,Interaction,Discordant (CRE Up / PLA Down),TRUE
MYL1,-0.0206,1.6488,0.99936,2.66e-4,0.004596,Interaction,Discordant (CRE Down / PLA Up),TRUE
CD58,0.6837,-0.9816,0.287595,0.033289,0.001176,Interaction,Discordant (CRE Up / PLA Down),TRUE
MICU2,-1.0925,0.5695,0.04466,0.553404,0.007804,Interaction,Discordant (CRE Down / PLA Up),TRUE
COL1A1,1.6452,-0.015,0.010732,0.999754,0.042277,Interaction,Discordant (CRE Up / PLA Down),TRUE
MYH7,-0.4841,1.1608,0.701202,0.083718,0.02536,Interaction,Discordant (CRE Down / PLA Up),TRUE
GNAI3,0.7764,-0.8685,0.037873,0.043894,4e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
CAVIN3,-0.0232,-1.6086,0.999279,0.00144,0.018338,Interaction,Concordant Down,TRUE
EMC2,1.2451,-0.3857,0.005278,0.748877,0.004162,Interaction,Discordant (CRE Up / PLA Down),TRUE
SLC25A4,-0.1881,1.4411,0.939408,0.001556,0.00442,Interaction,Discordant (CRE Down / PLA Up),FALSE
UGDH,0.9657,-0.6594,0.048944,0.356318,0.002698,Interaction,Discordant (CRE Up / PLA Down),TRUE
PLIN4,0.1,-1.5167,0.985192,0.001732,0.009822,Interaction,Discordant (CRE Up / PLA Down),FALSE
MAP1B,0.0695,-1.5364,0.986577,9e-6,1.13e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
SERPINH1,0.6789,-0.9251,0.401249,0.045788,0.005284,Interaction,Discordant (CRE Up / PLA Down),TRUE
TYMP,0.6171,-0.9815,0.348193,0.07341,0.003272,Interaction,Discordant (CRE Up / PLA Down),TRUE
APOC1,0.4921,-1.105,0.692225,0.113897,0.033653,Interaction,Discordant (CRE Up / PLA Down),TRUE
AGFG1,0.6154,-0.9785,0.445624,0.140352,0.014303,Interaction,Discordant (CRE Up / PLA Down),TRUE
RRBP1,0.3548,-1.2331,0.84673,0.032386,0.030375,Interaction,Discordant (CRE Up / PLA Down),TRUE
ACACA,-0.3417,1.2346,0.804202,0.015313,0.008912,Interaction,Discordant (CRE Down / PLA Up),FALSE
NRDC,-0.6379,0.937,0.209756,0.114748,0.003495,Interaction,Discordant (CRE Down / PLA Up),TRUE
NNMT,1.4075,-0.1622,8.06e-4,0.953111,0.004091,Interaction,Discordant (CRE Up / PLA Down),TRUE
PTGIS,0.8401,-0.7276,0.169861,0.324343,0.010304,Interaction,Discordant (CRE Up / PLA Down),TRUE
RHOG,0.5605,-0.9967,0.452609,0.0887,0.007484,Interaction,Discordant (CRE Up / PLA Down),TRUE
GARNL3,0.4309,-1.1232,0.622448,0.080078,0.015081,Interaction,Discordant (CRE Up / PLA Down),TRUE
NADK2,-0.2655,1.2853,0.723618,0.006176,0.001064,Interaction,Discordant (CRE Down / PLA Up),TRUE
RNF181,-0.7133,0.8335,0.222675,0.306364,0.018428,Interaction,Discordant (CRE Down / PLA Up),TRUE
B2M,0.5508,-0.9944,0.47155,0.053113,0.004754,Interaction,Discordant (CRE Up / PLA Down),FALSE
LCP1,0.7978,-0.7449,0.248277,0.322654,0.017074,Interaction,Discordant (CRE Up / PLA Down),FALSE
LRP1,0.7792,-0.7571,0.052492,0.117213,3.37e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
CD163,0.4357,-1.0987,0.623616,0.020869,0.004048,Interaction,Discordant (CRE Up / PLA Down),TRUE
LAMB1,0.4599,-1.0697,0.72517,0.041423,0.023322,Interaction,Discordant (CRE Up / PLA Down),TRUE
PSAP,0.3554,-1.1695,0.67883,0.001641,4.9e-4,Interaction,Discordant (CRE Up / PLA Down),FALSE
SLC16A3,0.4965,-1.0254,0.661044,0.154668,0.041108,Interaction,Discordant (CRE Up / PLA Down),TRUE
BDH1,-0.8494,0.6694,0.151294,0.352187,0.009692,Interaction,Discordant (CRE Down / PLA Up),TRUE
PEBP4,-0.1263,-1.3867,0.95163,0.004453,0.026978,Interaction,Concordant Down,TRUE
HDLBP,0.6663,-0.8435,0.220849,0.060301,0.001262,Interaction,Discordant (CRE Up / PLA Down),TRUE
HNRNPA3,0.2598,-1.2485,0.864018,0.004111,0.004442,Interaction,Discordant (CRE Up / PLA Down),FALSE
COL3A1,1.0401,-0.4659,0.16686,0.680638,0.046288,Interaction,Discordant (CRE Up / PLA Down),TRUE
PHGDH,0.6425,-0.862,0.489137,0.269399,0.042476,Interaction,Discordant (CRE Up / PLA Down),TRUE
BCAP31,0.5329,-0.9702,0.407672,0.021634,0.001199,Interaction,Discordant (CRE Up / PLA Down),TRUE
OSTF1,0.9071,-0.5916,0.023609,0.238841,3.87e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
MRPS27,-0.1909,1.3066,0.909821,0.00596,0.005044,Interaction,Discordant (CRE Down / PLA Up),TRUE
MRPS21,-0.8432,0.6515,0.102274,0.524829,0.028768,Interaction,Discordant (CRE Down / PLA Up),TRUE
SSPN,-0.7029,0.7908,0.252178,0.169398,0.005942,Interaction,Discordant (CRE Down / PLA Up),TRUE
CRIP1,0.3736,-1.1133,0.761407,0.047223,0.018071,Interaction,Discordant (CRE Up / PLA Down),TRUE
CARS2,-0.2896,1.1943,0.799046,0.013352,0.005391,Interaction,Discordant (CRE Down / PLA Up),TRUE
NT5E,0.5375,-0.9381,0.449194,0.086225,0.007488,Interaction,Discordant (CRE Up / PLA Down),TRUE
ACTB,0.7997,-0.6656,0.306329,0.477919,0.048898,Interaction,Discordant (CRE Up / PLA Down),FALSE
S100A4,0.4681,-0.9948,0.647133,0.087557,0.020729,Interaction,Discordant (CRE Up / PLA Down),FALSE
EYA3,-0.8786,0.5829,0.040201,0.283985,0.001266,Interaction,Discordant (CRE Down / PLA Up),TRUE
CNN1,-0.5172,0.9418,0.553375,0.098659,0.015824,Interaction,Discordant (CRE Down / PLA Up),TRUE
MUSTN1,-0.2913,1.1584,0.825158,0.014043,0.008342,Interaction,Discordant (CRE Down / PLA Up),TRUE
SLC25A6,-0.2613,1.1871,0.86966,0.010824,0.010316,Interaction,Discordant (CRE Down / PLA Up),FALSE
C11orf68,-0.3063,1.1339,0.581,6.3e-5,7e-6,Interaction,Discordant (CRE Down / PLA Up),TRUE
ARPC1B,0.7167,-0.7182,0.162753,0.205238,0.004018,Interaction,Discordant (CRE Up / PLA Down),TRUE
G6PD,0.4382,-0.994,0.553002,0.023056,0.002836,Interaction,Discordant (CRE Up / PLA Down),TRUE
MAPK14,-0.4261,1.0039,0.493163,0.011352,8.59e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
MRPS17,-1.0044,0.4234,0.050112,0.690144,0.016201,Interaction,Discordant (CRE Down / PLA Up),TRUE
MTIF2,-0.315,1.1123,0.758601,0.145598,0.048853,Interaction,Discordant (CRE Down / PLA Up),TRUE
DHRS7C,-0.4114,1.0131,0.582853,0.014022,0.001995,Interaction,Discordant (CRE Down / PLA Up),TRUE
PTBP1,0.8197,-0.6047,0.151904,0.443294,0.016431,Interaction,Discordant (CRE Up / PLA Down),TRUE
SNX9,0.3668,-1.0553,0.735036,0.090291,0.027059,Interaction,Discordant (CRE Up / PLA Down),TRUE
LIMCH1,0.881,-0.5366,0.040558,0.521214,0.009662,Interaction,Discordant (CRE Up / PLA Down),TRUE
AP3B1,0.6022,-0.8122,0.493331,0.283931,0.048091,Interaction,Discordant (CRE Up / PLA Down),TRUE
PALLD,-0.715,0.6938,0.339062,0.24856,0.020898,Interaction,Discordant (CRE Down / PLA Up),TRUE
UQCRQ,-0.16,1.2426,0.948782,0.003684,0.009269,Interaction,Discordant (CRE Down / PLA Up),FALSE
PRDX2,0.4379,-0.9624,0.7176,0.140086,0.047544,Interaction,Discordant (CRE Up / PLA Down),FALSE
LUM,0.8098,-0.5892,0.259497,0.540605,0.049814,Interaction,Discordant (CRE Up / PLA Down),FALSE
CNBP,-0.5462,0.8501,0.447107,0.0882,0.008129,Interaction,Discordant (CRE Down / PLA Up),TRUE
EIF2B3,-0.3546,1.0394,0.479612,0.005885,3.21e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
DHRS11,-0.6492,0.7426,0.089683,0.25444,0.005628,Interaction,Discordant (CRE Down / PLA Up),TRUE
STAT1,0.5048,-0.8865,0.407232,0.129168,0.010304,Interaction,Discordant (CRE Up / PLA Down),TRUE
TFRC,-0.7969,0.5938,0.071601,0.325423,0.003331,Interaction,Discordant (CRE Down / PLA Up),TRUE
RBBP4,-0.5727,0.8171,0.235026,0.039476,6.58e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
ETHE1,-0.3221,1.0659,0.644009,1.48e-4,7.3e-5,Interaction,Discordant (CRE Down / PLA Up),TRUE
SEC23IP,0.2123,-1.1708,0.856912,0.012818,0.006208,Interaction,Discordant (CRE Up / PLA Down),TRUE
MSRB2,-0.2681,1.1141,0.815882,0.028139,0.011302,Interaction,Discordant (CRE Down / PLA Up),TRUE
TSFM,-0.2253,1.155,0.877027,0.014748,0.00974,Interaction,Discordant (CRE Down / PLA Up),TRUE
PFKM,-0.2184,1.1599,0.903093,0.009143,0.011711,Interaction,Discordant (CRE Down / PLA Up),FALSE
ATP5F1E,-0.5579,0.8144,0.428867,0.124462,0.01101,Interaction,Discordant (CRE Down / PLA Up),TRUE
STMN1,0.2976,-1.0747,0.809973,0.017835,0.010589,Interaction,Discordant (CRE Up / PLA Down),TRUE
SNU13,-0.336,1.0353,0.716635,0.042867,0.010662,Interaction,Discordant (CRE Down / PLA Up),TRUE
SIRT3,-0.7272,0.643,0.177549,0.300333,0.009043,Interaction,Discordant (CRE Down / PLA Up),TRUE
RHOC,1.025,-0.3445,0.002444,0.737633,0.002917,Interaction,Discordant (CRE Up / PLA Down),TRUE
TMOD3,1.1324,-0.2344,0.008815,0.880911,0.009731,Interaction,Discordant (CRE Up / PLA Down),TRUE
RPL36,0.5442,-0.8199,0.37745,0.091704,0.005667,Interaction,Discordant (CRE Up / PLA Down),TRUE
ADSS2,-0.5012,0.8578,0.484871,0.082754,0.008564,Interaction,Discordant (CRE Down / PLA Up),FALSE
CALM1,0.3967,-0.9601,0.647529,0.033534,0.007366,Interaction,Discordant (CRE Up / PLA Down),FALSE
CKMT2,-0.1875,1.1641,0.930764,0.009954,0.016116,Interaction,Discordant (CRE Down / PLA Up),FALSE
CAVIN1,0.2006,-1.1462,0.935806,0.035045,0.045021,Interaction,Discordant (CRE Up / PLA Down),FALSE
TUBA8,-0.3481,0.9906,0.772357,0.058172,0.024973,Interaction,Discordant (CRE Down / PLA Up),FALSE
FDXR,-0.2767,1.0572,0.804314,0.021891,0.009231,Interaction,Discordant (CRE Down / PLA Up),TRUE
RRAS2,-0.7542,0.5789,0.166202,0.445227,0.01952,Interaction,Discordant (CRE Down / PLA Up),TRUE
CTNNA1,0.1716,-1.1614,0.89147,4.35e-4,5.71e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
MCEE,-0.6155,0.7105,0.226348,0.195914,0.006757,Interaction,Discordant (CRE Down / PLA Up),TRUE
IRGQ,-0.1411,1.1818,0.941998,0.016186,0.013342,Interaction,Discordant (CRE Down / PLA Up),TRUE
ANXA5,0.4514,-0.8707,0.6711,0.172267,0.048822,Interaction,Discordant (CRE Up / PLA Down),FALSE
DYNC1LI2,0.244,-1.0781,0.852838,0.021663,0.012465,Interaction,Discordant (CRE Up / PLA Down),TRUE
NDRG1,0.4963,-0.8241,0.441405,0.089437,0.007481,Interaction,Discordant (CRE Up / PLA Down),TRUE
LHPP,-0.7289,0.5882,0.183965,0.331347,0.010897,Interaction,Discordant (CRE Down / PLA Up),TRUE
RPL14,0.7785,-0.5334,0.09632,0.459507,0.011546,Interaction,Discordant (CRE Up / PLA Down),TRUE
MXRA7,0.5606,-0.737,0.377336,0.246814,0.02208,Interaction,Discordant (CRE Up / PLA Down),TRUE
TXLNB,-0.7842,0.5129,0.179545,0.573218,0.037039,Interaction,Discordant (CRE Down / PLA Up),TRUE
GOT2,-0.1349,1.1595,0.966533,0.013546,0.030064,Interaction,Discordant (CRE Down / PLA Up),FALSE
MRPL1,-0.0743,-1.2192,0.982561,0.011146,0.039198,Interaction,Concordant Down,TRUE
SYNPO,-0.4243,0.8686,0.531212,0.088361,0.010871,Interaction,Discordant (CRE Down / PLA Up),TRUE
S100A13,1.2035,-0.0814,7.24e-4,0.984936,0.006595,Interaction,Discordant (CRE Up / PLA Down),FALSE
AKR1C2,0.1457,-1.1381,0.96458,0.025856,0.048222,Interaction,Discordant (CRE Up / PLA Down),TRUE
LANCL2,-0.8089,0.4728,0.033144,0.517,0.006067,Interaction,Discordant (CRE Down / PLA Up),TRUE
PIP4K2B,-0.4205,0.8547,0.411825,0.029732,0.001474,Interaction,Discordant (CRE Down / PLA Up),TRUE
C12orf57,-0.522,0.7469,0.28785,0.200509,0.011916,Interaction,Discordant (CRE Down / PLA Up),TRUE
CORO1C,0.749,-0.5198,0.209677,0.575602,0.046689,Interaction,Discordant (CRE Up / PLA Down),TRUE
TIGAR,-0.5187,0.7483,0.339352,0.189077,0.013029,Interaction,Discordant (CRE Down / PLA Up),TRUE
SEPTIN10,0.1647,-1.0931,0.921187,0.055329,0.035174,Interaction,Discordant (CRE Up / PLA Down),TRUE
ASAH1,-0.0268,-1.2298,0.998455,0.001081,0.017928,Interaction,Concordant Down,FALSE
ACOT1,-0.9936,0.2567,0.020415,0.889257,0.037666,Interaction,Discordant (CRE Down / PLA Up),TRUE
FABP3,-0.2999,0.9474,0.824729,0.069262,0.038711,Interaction,Discordant (CRE Down / PLA Up),FALSE
FBLN5,0.9008,-0.3433,0.044355,0.806025,0.041152,Interaction,Discordant (CRE Up / PLA Down),TRUE
PPIA,0.4048,-0.8317,0.652962,0.107806,0.026195,Interaction,Discordant (CRE Up / PLA Down),FALSE
CMBL,-0.5961,0.623,0.310197,0.289252,0.019527,Interaction,Discordant (CRE Down / PLA Up),FALSE
GSN,0.6976,-0.5212,0.247835,0.511671,0.040717,Interaction,Discordant (CRE Up / PLA Down),FALSE
TIMM44,-0.2959,0.9227,0.767525,0.027569,0.011259,Interaction,Discordant (CRE Down / PLA Up),TRUE
ALDH5A1,-0.2601,0.9569,0.822496,0.017662,0.010981,Interaction,Discordant (CRE Down / PLA Up),FALSE
SPARC,0.6119,-0.6042,0.346977,0.303171,0.026843,Interaction,Discordant (CRE Up / PLA Down),TRUE
OXSM,-0.3824,0.8323,0.548046,0.106806,0.014321,Interaction,Discordant (CRE Down / PLA Up),TRUE
PRKAA1,-0.3624,0.8499,0.709694,0.108875,0.032575,Interaction,Discordant (CRE Down / PLA Up),TRUE
FABP5,0.4305,-0.7799,0.538219,0.086346,0.011656,Interaction,Discordant (CRE Up / PLA Down),FALSE
GLUL,0.4785,-0.7297,0.426284,0.125226,0.010272,Interaction,Discordant (CRE Up / PLA Down),TRUE
TNPO1,0.4981,-0.7096,0.34745,0.202396,0.015339,Interaction,Discordant (CRE Up / PLA Down),TRUE
CTSZ,0.5718,-0.6335,0.261403,0.230499,0.010164,Interaction,Discordant (CRE Up / PLA Down),TRUE
MYO6,0.0298,1.1752,0.998247,0.004401,0.041952,Interaction,Concordant Up,FALSE
ARFIP1,0.3533,-0.85,0.676519,0.157292,0.041485,Interaction,Discordant (CRE Up / PLA Down),TRUE
CTBP1,0.0279,1.167,0.997427,0.00397,0.015505,Interaction,Concordant Up,TRUE
PYGM,-0.0979,1.0919,0.981262,0.015662,0.041096,Interaction,Discordant (CRE Down / PLA Up),FALSE
RBMX,0.8962,-0.2915,0.043704,0.783484,0.019366,Interaction,Discordant (CRE Up / PLA Down),TRUE
ARHGDIB,0.4587,-0.7235,0.584264,0.216146,0.045144,Interaction,Discordant (CRE Up / PLA Down),TRUE
PPP1R2,-0.67490000000000006,0.5003,0.14862,0.377361,0.010331,Interaction,Discordant (CRE Down / PLA Up),TRUE
RAB2B,-0.7311,0.4425,0.172616,0.590496,0.037288,Interaction,Discordant (CRE Down / PLA Up),TRUE
FAHD1,-0.2576,0.9071,0.79331,0.015057,0.007424,Interaction,Discordant (CRE Down / PLA Up),TRUE
LSM8,0.9825,-0.1796,0.001543,0.872002,0.001653,Interaction,Discordant (CRE Up / PLA Down),TRUE
EPS15,0.4597,-0.6958,0.335486,0.159512,0.010397,Interaction,Discordant (CRE Up / PLA Down),TRUE
HSP90B1,0.5654,-0.5856,0.281004,0.268137,0.014428,Interaction,Discordant (CRE Up / PLA Down),FALSE
TRIM28,0.4335,-0.7148,0.484256,0.255112,0.039355,Interaction,Discordant (CRE Up / PLA Down),TRUE
MYH10,0.4917,-0.6527,0.403196,0.195044,0.017585,Interaction,Discordant (CRE Up / PLA Down),TRUE
RAB9A,-0.3587,0.7764,0.542529,0.079203,0.009804,Interaction,Discordant (CRE Down / PLA Up),TRUE
LMCD1,-0.3501,0.7781,0.726442,0.136911,0.046929,Interaction,Discordant (CRE Down / PLA Up),FALSE
FECH,-0.3924,0.7348,0.591908,0.10283,0.018766,Interaction,Discordant (CRE Down / PLA Up),TRUE
PDP1,-0.1653,0.9599,0.914842,0.013086,0.013447,Interaction,Discordant (CRE Down / PLA Up),TRUE
SPRYD4,-0.3855,0.7373,0.572301,0.1006,0.015716,Interaction,Discordant (CRE Down / PLA Up),TRUE
PDLIM3,-0.2267,0.8778,0.877099,0.060325,0.044161,Interaction,Discordant (CRE Down / PLA Up),TRUE
SLC35A4,-0.5269,0.5671,0.272831,0.372426,0.029751,Interaction,Discordant (CRE Down / PLA Up),TRUE
PDIA3,0.5554,-0.5339,0.325179,0.377128,0.032896,Interaction,Discordant (CRE Up / PLA Down),FALSE
COQ9,-0.3538,0.7268,0.696004,0.151443,0.045651,Interaction,Discordant (CRE Down / PLA Up),FALSE
ATP2A2,-0.4645,0.615,0.50084,0.277014,0.043673,Interaction,Discordant (CRE Down / PLA Up),FALSE
IGBP1,-0.4575,0.6217,0.299379,0.383167,0.049601,Interaction,Discordant (CRE Down / PLA Up),TRUE
FLNC,-0.0844,0.9909,0.983638,0.019183,0.046762,Interaction,Discordant (CRE Down / PLA Up),TRUE
KTN1,0.3263,-0.749,0.611682,0.099614,0.017329,Interaction,Discordant (CRE Up / PLA Down),TRUE
KPNA3,-0.2158,0.853,0.881545,0.067452,0.048005,Interaction,Discordant (CRE Down / PLA Up),TRUE
FAH,0.1888,-0.8797,0.906422,0.034473,0.03453,Interaction,Discordant (CRE Up / PLA Down),FALSE
FITM2,-0.1705,0.8959,0.871626,0.027564,0.013644,Interaction,Discordant (CRE Down / PLA Up),TRUE
MSN,0.4713,-0.5916,0.472513,0.293051,0.042097999999999997,Interaction,Discordant (CRE Up / PLA Down),FALSE
PSMF1,0.3393,-0.7228,0.697572,0.128048,0.038069,Interaction,Discordant (CRE Up / PLA Down),FALSE
MACROD1,-0.3237,0.7366,0.713773,0.114635,0.035546,Interaction,Discordant (CRE Down / PLA Up),TRUE
PGM5,-0.4493,0.607,0.451996,0.210904,0.023907,Interaction,Discordant (CRE Down / PLA Up),FALSE
TNS1,0.0877,-0.9562,0.979958,0.011653,0.032465,Interaction,Discordant (CRE Up / PLA Down),FALSE
CYFIP1,0.3416,-0.7016,0.68217,0.1303,0.038137,Interaction,Discordant (CRE Up / PLA Down),TRUE
