module,contrast,model,estimate,SE,df,t_ratio,p_raw,r_equiv,singular,p_bh
MEbrown,Cancer_vs_Healthy,CRvH,0.24136,0.05599,24.1,4.3109,2.3778596649398948e-4,0.6598,FALSE,0.008325003669851512
MEbrown,Training_CR,CRvH,-0.04883,0.04616,10.87,-1.0578,0.31305758159428715,-0.3055,FALSE,0.9531819171570849
MEbrown,Baseline_Supplement,CR,-0.06453,0.0851,12.72,-0.7584,0.46206236025072656,-0.208,FALSE,0.9531819171570849
MEbrown,Training_CRE,CR,-0.04999,0.06026,9.01,-0.8296,0.4282168516749938,-0.2664,FALSE,0.9531819171570849
MEbrown,Training_PLA,CR,-0.06084,0.07251,10.01,-0.8391,0.42101281984223016,-0.2563,FALSE,0.9531819171570849
MEbrown,Supplement_Interaction,CR,-0.00543,0.04714,9.58,-0.1152,0.9106999535362814,-0.0372,FALSE,0.9813937676430431
MEblue,Cancer_vs_Healthy,CRvH,0.15034,0.06338,22.72,2.3719,0.026560554127069553,0.4455,FALSE,0.2549813196198677
MEblue,Training_CR,CRvH,-0.00516,0.03601,9.24,-0.1433,0.8890946791544718,-0.0471,FALSE,0.9813937676430431
MEblue,Baseline_Supplement,CR,-0.05921,0.09317,12.86,-0.6355,0.5362526469924194,-0.1745,FALSE,0.9531819171570849
MEblue,Training_CRE,CR,-0.00368,0.04786,8.55,-0.0769,0.9405023606579164,-0.0263,FALSE,0.9813937676430431
MEblue,Training_PLA,CR,-0.01051,0.05818,9.13,-0.1806,0.8606468237120618,-0.0596,FALSE,0.9813937676430431
MEblue,Supplement_Interaction,CR,-0.00341,0.03767,8.89,-0.0906,0.9298023295987318,-0.0304,FALSE,0.9813937676430431
MEgreen,Cancer_vs_Healthy,CRvH,0.02694,0.06833,23.18,0.3942,0.6970264756799078,0.0816,FALSE,0.9595200750238686
MEgreen,Training_CR,CRvH,0.03214,0.04659,9.84,0.6899,0.5062247374022073,0.2147,FALSE,0.9531819171570849
MEgreen,Baseline_Supplement,CR,0.0725,0.09775,12.77,0.7418,0.4716568406330306,0.2032,FALSE,0.9531819171570849
MEgreen,Training_CRE,CR,0.03579,0.06265,8.84,0.5714,0.5819974862365136,0.1887,FALSE,0.9531819171570849
MEgreen,Training_PLA,CR,0.02226,0.0757,9.69,0.2941,0.7749083281464852,0.094,FALSE,0.9813937676430431
MEgreen,Supplement_Interaction,CR,-0.00677,0.04913,9.33,-0.1377,0.8933731676355359,-0.0451,FALSE,0.9813937676430431
MEblack,Cancer_vs_Healthy,CRvH,-0.13434,0.06241,27.22,-2.1527,0.04036038901168182,-0.3814,FALSE,0.32288311209345455
MEblack,Training_CR,CRvH,0.05958,0.06752,13.86,0.8823,0.3926460411992566,0.2306,FALSE,0.9531819171570849
MEblack,Baseline_Supplement,CR,0.07746,0.08052,11.73,0.962,0.35547680738823484,0.2704,FALSE,0.9531819171570849
MEblack,Training_CRE,CR,0.05854,0.10404,10.69,0.5627,0.5852778321243463,0.1696,FALSE,0.9531819171570849
MEblack,Training_PLA,CR,0.06103,0.11927,12.39,0.5117,0.6178690434337923,0.1438,FALSE,0.9531819171570849
MEblack,Supplement_Interaction,CR,0.00124,0.07913,11.62,0.0157,0.9877223682003275,0.0046,FALSE,0.9877223682003275
MEred,Cancer_vs_Healthy,CRvH,0.01006,0.06703,27.12,0.1501,0.881791084513025,0.0288,FALSE,0.9813937676430431
MEred,Training_CR,CRvH,0.0772,0.07209,13.76,1.0708,0.30266551360214716,0.2773,FALSE,0.9531819171570849
MEred,Baseline_Supplement,CR,0.05531,0.08736,11.77,0.6332,0.5387150611724825,0.1815,FALSE,0.9531819171570849
MEred,Training_CRE,CR,0.05561,0.11155,10.65,0.4985,0.628281833730933,0.151,FALSE,0.9531819171570849
MEred,Training_PLA,CR,0.09932,0.12804,12.35,0.7757,0.45253287376932183,0.2155,FALSE,0.9531819171570849
MEred,Supplement_Interaction,CR,0.02185,0.08491,11.58,0.2574,0.8013921112732021,0.0754,FALSE,0.9813937676430431
MEturquoise,Cancer_vs_Healthy,CRvH,-0.21967,0.059520000000000003,23.23,-3.6908,0.0011935083854547346,-0.608,FALSE,0.019096134167275753
MEturquoise,Training_CR,CRvH,0.05838,0.04113,9.9,1.4194,0.18648906990942335,0.4112,FALSE,0.9531819171570849
MEturquoise,Baseline_Supplement,CR,0.03991,0.09293,12.82,0.4295,0.6746730954687208,0.1191,FALSE,0.9595200750238686
MEturquoise,Training_CRE,CR,0.06312,0.05429,8.7,1.1626,0.2758696340089675,0.3667,FALSE,0.9531819171570849
MEturquoise,Training_PLA,CR,0.0656,0.0658,9.43,0.997,0.3436453031165436,0.3087,FALSE,0.9531819171570849
MEturquoise,Supplement_Interaction,CR,0.00124,0.04265,9.13,0.029,0.9774666703478836,0.0096,FALSE,0.9877223682003275
MEyellow,Cancer_vs_Healthy,CRvH,-0.22446,0.05487,27.06,-4.0906,3.4687515291047965e-4,-0.6181,FALSE,0.008325003669851512
MEyellow,Training_CR,CRvH,-0.04602,0.05882,13.71,-0.7824,0.44725294178165864,-0.2067,FALSE,0.9531819171570849
MEyellow,Baseline_Supplement,CR,0.03425,0.07039,11.79,0.4866,0.6354546114380566,0.1403,FALSE,0.9531819171570849
MEyellow,Training_CRE,CR,-0.0517,0.08941,10.63,-0.5783,0.5751131527330253,-0.1747,FALSE,0.9531819171570849
MEyellow,Training_PLA,CR,-0.04055,0.10268,12.34,-0.3949,0.6996500547049042,-0.1117,FALSE,0.9595200750238686
MEyellow,Supplement_Interaction,CR,0.00558,0.06807,11.56,0.0819,0.9361019880771946,0.0241,FALSE,0.9813937676430431
MEgrey,Cancer_vs_Healthy,CRvH,-0.07684,0.05973,27.38,-1.2865,0.2090406598617302,-0.2388,TRUE,0.9531819171570849
MEgrey,Training_CR,CRvH,0.02276,0.06523,14.02,0.3489,0.7323651176481314,0.0928,TRUE,0.9764868235308418
MEgrey,Baseline_Supplement,CR,0.16609,0.06458,11.68,2.5719,0.024912953306204938,0.6013,TRUE,0.2549813196198677
MEgrey,Training_CRE,CR,-0.05243,0.085,10.75,-0.6168,0.5501960998989991,-0.1849,TRUE,0.9531819171570849
MEgrey,Training_PLA,CR,0.09794,0.09725,12.45,1.0071,0.3330477620437531,0.2745,TRUE,0.9531819171570849
MEgrey,Supplement_Interaction,CR,0.07519,0.06458,11.68,1.1642,0.2675658865763501,0.3225,TRUE,0.9531819171570849
