pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_HEART_PROCESS,1.1442067045560342e-4,0.007911372071501721,2.1069364161849706,24,64,GO:BP,2.9031055900621117,brown,Heart Process,ATP1A1/ATP1A2/ATP1B1/ATP2A2/ATP2A3/ATP2B2/BIN1/CACNA2D1/CAMK2D/CSRP3/DMD/FXYD1/HRC/HSPB7/JPH1/JPH2/MAP2K3/MAP2K6/MYLK2/PLN/SGCD/SGCG/SNTA1/TMEM38A,24,0.007911372071501721,GOBP_HEART_PROCESS
GOBP_CALCIUM_ION_HOMEOSTASIS,2.3076767377298784e-4,0.010637290867250106,2.1452443510246977,21,55,GO:BP,2.9723076923076923,brown,Calcium Ion Homeostasis,ATP1A2/ATP1B1/ATP2A2/ATP2A3/ATP2B2/CACNA1S/CAMK2D/CASQ1/CSRP3/DHRS7C/DMD/HRC/JPH1/JPH2/NOL3/PLN/RYR1/SGCD/STIM1/SYPL2/TMEM38A,21,0.010637290867250106,GOBP_CALCIUM_ION_HOMEOSTASIS
REACTOME_ION_CHANNEL_TRANSPORT,1.4573647772338745e-4,0.011622484098440149,2.7123779150886986,14,29,Reactome,4.4502008032128515,brown,Ion Channel Transport,ATP1A1/ATP1A2/ATP1B1/ATP2A2/ATP2A3/ATP2B2/CAMK2A/CAMK2B/CAMK2D/CAMK2G/CASQ1/FXYD1/PLN/RYR1,14,0.011622484098440149,REACTOME_ION_CHANNEL_TRANSPORT
GOBP_RHYTHMIC_PROCESS,4.1274059563433887e-4,0.017068262529274538,2.2741535920726674,17,42,GO:BP,3.2511854103343465,brown,Rhythmic Process,CBX3/CSNK2A1/CUL1/CUL4A/DDB1/FXR1/GSK3B/HUWE1/IMPDH2/PARP1/PLN/PRKAA1/PRKDC/PRMT5/STAT5B/UBE3A/USP7,17,0.017068262529274538,GOBP_RHYTHMIC_PROCESS
GOBP_MUSCLE_TISSUE_DEVELOPMENT,4.2318006270928606e-4,0.017068262529274538,1.8728323699421967,27,81,GO:BP,2.420062695924765,brown,Muscle Tissue Development,ADPRHL1/CACNA1S/CASQ1/CFL2/CSRP3/DMD/FLNB/JPH2/KLHL40/KLHL41/MAPK14/MYH14/MYLK/MYLK2/NRAP/PGM5/PLN/PPP3CB/PRKAA1/PRKAR1A/PRMT1/RYR1/SGCB/SGCD/SGCG/STAC3/YBX3,27,0.017068262529274538,GOBP_MUSCLE_TISSUE_DEVELOPMENT
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT,5.736082365543952e-4,0.021355875884025176,3.1604046242774566,9,16,GO:BP,6.069944891903349,brown,Regulation Of Sodium Ion Transport,AHCYL1/ANK3/ATP1A1/ATP1B1/CAMK2D/DMD/FXYD1/SLMAP/SNTA1,9,0.021355875884025176,GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT
GOBP_MUSCLE_CONTRACTION,8.653204005945678e-4,0.031023338806501544,1.5731791907514452,42,150,GO:BP,1.9060672514619883,brown,Muscle Contraction,ANKRD2/ATP1A1/ATP1A2/ATP1B1/ATP2A2/BIN1/C12orf57/CACNA1S/CACNA2D1/CACNB1/CACNB3/CAMK2D/CASQ1/CSRP3/DMD/DTNA/FXYD1/GAMT/HRC/JPH1/JPH2/JSRP1/KLHL41/MAP2K3/MAP2K6/MB/MYH14/MYLK/MYLK2/MYOF/PLN/PRKG1/RCSD1/RYR1/SGCA/SGCD/SLMAP/SNTA1/SSPN/STAC3/STUB1/TMEM38A,42,0.031023338806501544,GOBP_MUSCLE_CONTRACTION
GOBP_RESPONSE_TO_HEAT,9.339382969097261e-4,0.03197743713911366,2.4346820809248557,13,30,GO:BP,3.630630630630631,brown,Response To Heat,BAG3/CASQ1/DNAJA2/DNAJA4/EIF2S1/GSK3B/HIKESHI/HSPA2/HSPB2/HSPB6/MAPKAPK2/MAPT/STUB1,13,0.03197743713911366,GOBP_RESPONSE_TO_HEAT
GOBP_SODIUM_ION_TRANSPORT,9.580017324734465e-4,0.03197743713911366,2.8092485549132946,10,20,GO:BP,4.726190476190476,brown,Sodium Ion Transport,AHCYL1/ANK3/ATP1A1/ATP1A2/ATP1B1/CAMK2D/DMD/FXYD1/SLMAP/SNTA1,10,0.03197743713911366,GOBP_SODIUM_ION_TRANSPORT
GOBP_MUSCLE_CELL_APOPTOTIC_PROCESS,0.001029989012712625,0.03308768465651812,2.9744984699081947,9,17,GO:BP,5.30786350148368,brown,Muscle Cell Apoptotic Process,ATP2A2/BAG3/CAMK2A/CAMK2D/HSPB6/MAP2K4/MFN2/NOL3/STUB1,9,0.03308768465651812,GOBP_MUSCLE_CELL_APOPTOTIC_PROCESS
GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,0.0011002238866502949,0.03328177257117142,2.313498809928596,14,34,GO:BP,3.32710843373494,brown,Regulation Of Striated Muscle Contraction,ATP1A1/ATP1A2/ATP1B1/ATP2A2/BIN1/C12orf57/CAMK2D/CASQ1/DMD/HRC/JPH1/JPH2/PLN/TMEM38A,14,0.03328177257117142,GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION
REACTOME_REGULATION_OF_TP53_ACTIVITY,5.285348311896898e-4,0.033720522229902204,2.8092485549132946,11,22,Reactome,4.737313432835821,brown,Regulation Of Tp53 Activity,CSNK2A1/CSNK2B/MAP2K6/MAPK14/PIN1/PIP4K2B/PPP2CA/PRKAA1/PRMT5/RBBP4/USP7,11,0.033720522229902204,REACTOME_REGULATION_OF_TP53_ACTIVITY
GOBP_CARDIAC_CONDUCTION,0.0013292624097870083,0.035986307957164614,2.5751445086705202,11,24,GO:BP,4.003444316877153,brown,Cardiac Conduction,ATP1A1/ATP1A2/ATP1B1/ATP2A2/ATP2A3/ATP2B2/BIN1/CACNA2D1/CAMK2D/HRC/PLN,11,0.035986307957164614,GOBP_CARDIAC_CONDUCTION
GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS,0.0013292624097870083,0.035986307957164614,2.5751445086705202,11,24,GO:BP,4.003444316877153,brown,Developmental Growth Involved In Morphogenesis,ADPRHL1/CLASP2/COBL/GSK3B/MAPT/PAFAH1B1/PLAA/PPP3CB/PRKG1/RAB21/TWF2,11,0.035986307957164614,GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS
GOBP_SEQUESTERING_OF_CALCIUM_ION,0.0019201669456019408,0.05023571900926158,2.282514450867052,13,32,GO:BP,3.2443496127706655,brown,Sequestering Of Calcium Ion,ATP1A2/CACNA1S/CAMK2D/CASQ1/DHRS7C/DMD/HRC/JPH1/JPH2/NOL3/PLN/RYR1/TMEM38A,13,0.05023571900926158,GOBP_SEQUESTERING_OF_CALCIUM_ION
REACTOME_INTERLEUKIN_17_SIGNALING,9.580017324734465e-4,0.050933758776504905,2.8092485549132946,10,20,Reactome,4.726190476190476,brown,Interleukin 17 Signaling,CUL1/DUSP3/MAP2K3/MAP2K4/MAP2K6/MAPK14/MAPKAPK2/PPP2CA/PPP2R5D/RPS6KA3,10,0.050933758776504905,REACTOME_INTERLEUKIN_17_SIGNALING
GOBP_AMINO_ACID_ACTIVATION,0.002927321053252789,0.06699634234950953,2.3770564695420187,11,26,GO:BP,3.465273631840796,brown,Amino Acid Activation,AARSD1/AIMP1/DARS1/EPRS1/FARSA/FARSB/GARS1/LARS1/LRRC47/RARS1/VARS1,11,0.06699634234950953,GOBP_AMINO_ACID_ACTIVATION
