contrast,method_a,method_b,spearman_rho
Training_CR,rlr_none,cycloess_none,0.9813588819729911
Training_CR,vsn_none,cycloess_none,0.9651734785195288
Training_CR,cycloess_bpca,cycloess_none,0.9115586408018684
Training_CR,rlr_bpca,cycloess_none,0.8772232010440775
Training_CR,vsn_bpca,cycloess_none,0.8833542598958447
Training_CR,cycloess_RF,cycloess_none,0.9493868686181447
Training_CR,rlr_RF,cycloess_none,0.9162743574429995
Training_CR,vsn_RF,cycloess_none,0.9225897572820134
Training_CR,cycloess_knn,cycloess_none,0.923815290448456
Training_CR,rlr_knn,cycloess_none,0.8968423285190964
Training_CR,vsn_knn,cycloess_none,0.9014655157518189
Training_CR,vsn_none,rlr_none,0.9465204417758531
Training_CR,cycloess_bpca,rlr_none,0.9024018165559862
Training_CR,rlr_bpca,rlr_none,0.900795731730458
Training_CR,vsn_bpca,rlr_none,0.8730562396129229
Training_CR,cycloess_RF,rlr_none,0.9377940779570368
Training_CR,rlr_RF,rlr_none,0.9374929817940183
Training_CR,vsn_RF,rlr_none,0.9057608000057585
Training_CR,cycloess_knn,rlr_none,0.9125504400305076
Training_CR,rlr_knn,rlr_none,0.9162577238020501
Training_CR,vsn_knn,rlr_none,0.8863155245766117
Training_CR,cycloess_bpca,vsn_none,0.8926077871603161
Training_CR,rlr_bpca,vsn_none,0.8632116797225681
Training_CR,vsn_bpca,vsn_none,0.9214306939570304
Training_CR,cycloess_RF,vsn_none,0.9260063985288183
Training_CR,rlr_RF,vsn_none,0.8978246645573593
Training_CR,vsn_RF,vsn_none,0.9585766384955174
Training_CR,cycloess_knn,vsn_none,0.8990054628203217
Training_CR,rlr_knn,vsn_none,0.8757139192625704
Training_CR,vsn_knn,vsn_none,0.9346182842214021
Training_CR,rlr_bpca,cycloess_bpca,0.9812856182472905
Training_CR,vsn_bpca,cycloess_bpca,0.9651433100647376
Training_CR,cycloess_RF,cycloess_bpca,0.9741747004576635
Training_CR,rlr_RF,cycloess_bpca,0.9574078687810685
Training_CR,vsn_RF,cycloess_bpca,0.934347523222228
Training_CR,cycloess_knn,cycloess_bpca,0.9278980265433372
Training_CR,rlr_knn,cycloess_bpca,0.9161063088334638
Training_CR,vsn_knn,cycloess_bpca,0.8887681717035782
Training_CR,vsn_bpca,rlr_bpca,0.9430848270775043
Training_CR,cycloess_RF,rlr_bpca,0.9543925295672727
Training_CR,rlr_RF,rlr_bpca,0.9744099112415505
Training_CR,vsn_RF,rlr_bpca,0.906280334060623
Training_CR,cycloess_knn,rlr_bpca,0.9079886331099126
Training_CR,rlr_knn,rlr_bpca,0.9301031774098331
Training_CR,vsn_knn,rlr_bpca,0.8622299124563693
Training_CR,cycloess_RF,vsn_bpca,0.9389387905744586
Training_CR,rlr_RF,vsn_bpca,0.9160504711070364
Training_CR,vsn_RF,vsn_bpca,0.9715450632320576
Training_CR,cycloess_knn,vsn_bpca,0.8947067698565635
Training_CR,rlr_knn,vsn_bpca,0.8767070874667292
Training_CR,vsn_knn,vsn_bpca,0.9257665414655528
Training_CR,rlr_RF,cycloess_RF,0.9789886126537313
Training_CR,vsn_RF,cycloess_RF,0.959140342604364
Training_CR,cycloess_knn,cycloess_RF,0.9603434465386524
Training_CR,rlr_knn,cycloess_RF,0.9440835908220039
Training_CR,vsn_knn,cycloess_RF,0.9218235448216806
Training_CR,vsn_RF,rlr_RF,0.929334299565931
Training_CR,cycloess_knn,rlr_RF,0.9419604608097124
Training_CR,rlr_knn,rlr_RF,0.9623467519673093
Training_CR,vsn_knn,rlr_RF,0.8947829970808462
Training_CR,cycloess_knn,vsn_RF,0.9251957041705096
Training_CR,rlr_knn,vsn_RF,0.8997697257653727
Training_CR,vsn_knn,vsn_RF,0.9633150648322685
Training_CR,rlr_knn,cycloess_knn,0.9750744625599221
Training_CR,vsn_knn,cycloess_knn,0.957432459347066
Training_CR,vsn_knn,rlr_knn,0.9249089645989013
Cancer_vs_Healthy,rlr_none,cycloess_none,0.9923385245813384
Cancer_vs_Healthy,vsn_none,cycloess_none,0.9719382024053058
Cancer_vs_Healthy,cycloess_bpca,cycloess_none,0.9850580695683941
Cancer_vs_Healthy,rlr_bpca,cycloess_none,0.9800711996714931
Cancer_vs_Healthy,vsn_bpca,cycloess_none,0.9633320122784945
Cancer_vs_Healthy,cycloess_RF,cycloess_none,0.988994009516106
Cancer_vs_Healthy,rlr_RF,cycloess_none,0.983239207113699
Cancer_vs_Healthy,vsn_RF,cycloess_none,0.9668354834453695
Cancer_vs_Healthy,cycloess_knn,cycloess_none,0.9844474260739984
Cancer_vs_Healthy,rlr_knn,cycloess_none,0.9773752455845002
Cancer_vs_Healthy,vsn_knn,cycloess_none,0.960542369664852
Cancer_vs_Healthy,vsn_none,rlr_none,0.9802657157948377
Cancer_vs_Healthy,cycloess_bpca,rlr_none,0.9745694537668039
Cancer_vs_Healthy,rlr_bpca,rlr_none,0.9821683113037782
Cancer_vs_Healthy,vsn_bpca,rlr_none,0.9680090583031182
Cancer_vs_Healthy,cycloess_RF,rlr_none,0.9788346950880631
Cancer_vs_Healthy,rlr_RF,rlr_none,0.9854978245155002
Cancer_vs_Healthy,vsn_RF,rlr_none,0.9720922631446315
Cancer_vs_Healthy,cycloess_knn,rlr_none,0.9753648206986276
Cancer_vs_Healthy,rlr_knn,rlr_none,0.9811018636836548
Cancer_vs_Healthy,vsn_knn,rlr_none,0.967563395971678
Cancer_vs_Healthy,cycloess_bpca,vsn_none,0.9571109344605325
Cancer_vs_Healthy,rlr_bpca,vsn_none,0.965125066210462
Cancer_vs_Healthy,vsn_bpca,vsn_none,0.9863372006761014
Cancer_vs_Healthy,cycloess_RF,vsn_none,0.960532120000001
Cancer_vs_Healthy,rlr_RF,vsn_none,0.9682816060310866
Cancer_vs_Healthy,vsn_RF,vsn_none,0.9909206621220734
Cancer_vs_Healthy,cycloess_knn,vsn_none,0.95682545599388
Cancer_vs_Healthy,rlr_knn,vsn_none,0.9642008920189572
Cancer_vs_Healthy,vsn_knn,vsn_none,0.986383059394729
Cancer_vs_Healthy,rlr_bpca,cycloess_bpca,0.9941056307394863
Cancer_vs_Healthy,vsn_bpca,cycloess_bpca,0.9749403716038941
Cancer_vs_Healthy,cycloess_RF,cycloess_bpca,0.9965851552884045
Cancer_vs_Healthy,rlr_RF,cycloess_bpca,0.9905872440155522
Cancer_vs_Healthy,vsn_RF,cycloess_bpca,0.9695981466503456
Cancer_vs_Healthy,cycloess_knn,cycloess_bpca,0.9867794542977234
Cancer_vs_Healthy,rlr_knn,cycloess_bpca,0.979229297378414
Cancer_vs_Healthy,vsn_knn,cycloess_bpca,0.9570770140714013
Cancer_vs_Healthy,vsn_bpca,rlr_bpca,0.9804925460165532
Cancer_vs_Healthy,cycloess_RF,rlr_bpca,0.9911471040097588
Cancer_vs_Healthy,rlr_RF,rlr_bpca,0.996610801024645
Cancer_vs_Healthy,vsn_RF,rlr_bpca,0.9756782807895492
Cancer_vs_Healthy,cycloess_knn,rlr_bpca,0.9813961541947344
Cancer_vs_Healthy,rlr_knn,rlr_bpca,0.9854766073562273
Cancer_vs_Healthy,vsn_knn,rlr_bpca,0.9639332357307397
Cancer_vs_Healthy,cycloess_RF,vsn_bpca,0.9716340231054436
Cancer_vs_Healthy,rlr_RF,vsn_bpca,0.9772347039687524
Cancer_vs_Healthy,vsn_RF,vsn_bpca,0.9958985807234559
Cancer_vs_Healthy,cycloess_knn,vsn_bpca,0.9643865078401407
Cancer_vs_Healthy,rlr_knn,vsn_bpca,0.9693725716497371
Cancer_vs_Healthy,vsn_knn,vsn_bpca,0.9862141831237761
