"gene","t_TR","t_CvH","logFC_CvH","cancer_dir"
"ARCN1",4.50145297468891,-0.588630850163396,-0.0718408806337152,"Cancer Down"
"RPL4",3.78243116175064,-2.55782877927826,-0.342345334081543,"Cancer Down"
"ERP29",3.69900752927458,-0.713639890466263,-0.107314679555479,"Cancer Down"
"CLPP",3.54122409457699,-3.45740107892952,-0.663114331844502,"Cancer Down"
"CLPP",3.54122409457699,-3.45740107892952,-0.663114331844502,"Cancer Down"
"ENPP4",3.49094894062253,-1.07463318948864,-0.356799611200234,"Cancer Down"
"RBM3",-3.44042252668781,1.76529056807984,0.799386880779718,"Cancer Up"
"MRPL13",3.41694565483745,-2.72628718525056,-0.955960106046028,"Cancer Down"
"MRPL13",3.41694565483745,-2.72628718525056,-0.955960106046028,"Cancer Down"
"TUBB2B",-3.32240305515851,4.85409138480192,2.66155648284639,"Cancer Up"
"TUBB2B",-3.32240305515851,4.85409138480192,2.66155648284639,"Cancer Up"
"SCN1B",-3.15309605911532,1.17657164533243,0.279434157851298,"Cancer Up"
"RPS2",3.11286722502451,-4.40934249437203,-0.561431162356257,"Cancer Down"
"MAP1B",-3.065385275071,2.1330543585092,1.15593398735556,"Cancer Up"
"MAP1B",-3.065385275071,2.1330543585092,1.15593398735556,"Cancer Up"
"SELENOO",2.90558459216044,-0.776382750438978,-0.376516175573698,"Cancer Down"
"ALDH1B1",2.89555805883939,-2.92049395105396,-0.85776523859543,"Cancer Down"
"ALDH1B1",2.89555805883939,-2.92049395105396,-0.85776523859543,"Cancer Down"
"ATL3",-2.87416280952605,5.39590585392737,3.46950811796762,"Cancer Up"
"ATL3",-2.87416280952605,5.39590585392737,3.46950811796762,"Cancer Up"
"CNRIP1",-2.81406675829273,1.7991965686059,1.16505964278626,"Cancer Up"
"PEBP4",-2.77840279350189,0.728979772050243,0.156884333594423,"Cancer Up"
"SORD",-2.75830104510312,3.475271787945,0.774197203652477,"Cancer Up"
"KRT19",-2.737609487329,1.06710539989716,0.569560577303047,"Cancer Up"
"IL18",2.70686348581614,-0.094095292129714,-0.0321945708633322,"Cancer Down"
