"class","n","pct","threshold"
"Exacerbated",740,29.110936270653,0.05
"Negligible",750,29.5043273013375,0.05
"Reversed",1052,41.3847364280094,0.05
"Exacerbated",686,26.9866247049567,0.06
"Negligible",843,33.1628638867034,0.06
"Reversed",1013,39.8505114083399,0.06
"Exacerbated",637,25.0590086546027,0.07
"Negligible",950,37.3721479150275,0.07
"Reversed",955,37.5688434303698,0.07
"Exacerbated",593,23.3280881195909,0.08
"Negligible",1046,41.1487018095987,0.08
"Reversed",903,35.5232100708104,0.08
"Exacerbated",550,21.6365066876475,0.09
"Negligible",1135,44.6498819826908,0.09
"Reversed",857,33.7136113296617,0.09
"Exacerbated",503,19.7875688434304,0.1
"Negligible",1223,48.1117230527144,0.1
"Reversed",816,32.1007081038552,0.1
"Exacerbated",467,18.3713611329662,0.11
"Negligible",1303,51.2588512981904,0.11
"Reversed",772,30.3697875688434,0.11
"Exacerbated",439,17.2698662470496,0.12
"Negligible",1377,54.1699449252557,0.12
"Reversed",726,28.5601888276947,0.12
"Exacerbated",410,16.1290322580645,0.13
"Negligible",1453,57.1597167584579,0.13
"Reversed",679,26.7112509834776,0.13
"Exacerbated",393,15.4602675059009,0.14
"Negligible",1502,59.087332808812,0.14
"Reversed",647,25.4523996852872,0.14
"Exacerbated",363,14.2800944138474,0.15
"Negligible",1568,61.6837136113297,0.15
"Reversed",611,24.036191974823,0.15
"Exacerbated",332,13.0605822187254,0.16
"Negligible",1650,64.9095200629426,0.16
"Reversed",560,22.029897718332,0.16
"Exacerbated",304,11.9590873328088,0.17
"Negligible",1706,67.1125098347758,0.17
"Reversed",532,20.9284028324154,0.17
"Exacerbated",277,10.8969315499607,0.18
"Negligible",1765,69.4335169158143,0.18
"Reversed",500,19.669551534225,0.18
"Exacerbated",261,10.2675059008655,0.19
"Negligible",1810,71.2037765538946,0.19
"Reversed",471,18.52871754524,0.19
"Exacerbated",249,9.79543666404406,0.2
"Negligible",1861,73.2100708103855,0.2
"Reversed",432,16.9944925255704,0.2
"Exacerbated",234,9.20535011801731,0.21
"Negligible",1893,74.4689221085759,0.21
"Reversed",415,16.3257277734068,0.21
"Exacerbated",207,8.14319433516916,0.22
"Negligible",1948,76.6325727773407,0.22
"Reversed",387,15.2242328874902,0.22
"Exacerbated",192,7.55310778914241,0.23
"Negligible",1990,78.2848151062156,0.23
"Reversed",360,14.162077104642,0.23
"Exacerbated",177,6.96302124311566,0.24
"Negligible",2022,79.543666404406,0.24
"Reversed",343,13.4933123524784,0.24
"Exacerbated",163,6.41227380015736,0.25
"Negligible",2057,80.9205350118017,0.25
"Reversed",322,12.6671911880409,0.25
"Exacerbated",145,5.70416994492526,0.26
"Negligible",2097,82.4940991345397,0.26
"Reversed",300,11.801730920535,0.26
"Exacerbated",138,5.42879622344611,0.27
"Negligible",2129,83.7529504327301,0.27
"Reversed",275,10.8182533438238,0.27
"Exacerbated",128,5.0354051927616,0.28
"Negligible",2159,84.9331235247836,0.28
"Reversed",255,10.0314712824548,0.28
"Exacerbated",117,4.60267505900865,0.29
"Negligible",2190,86.1526357199056,0.29
"Reversed",235,9.24468922108576,0.29
"Exacerbated",109,4.28796223446105,0.3
"Negligible",2219,87.2934697088906,0.3
"Reversed",214,8.41856805664831,0.3
