threshold,n_total,pct_up,pct_down,delta,p_value
Pi < 0.01,339,55.55555555555556,76.66666666666667,21.111111111111114,0.002021525679362464
Pi < 0.05,509,56.01092896174863,75.52447552447552,19.513546562726887,3.6696763742917734e-5
FDR < 0.05,510,57.6219512195122,72.52747252747253,14.905521307960328,5.9066885415328e-4
FDR < 0.10,719,58.949880668257755,69.33333333333333,10.383452665075573,0.0028052003294610963
p < 0.05,848,58.10526315789474,68.90080428954424,10.7955411316495,7.947341334550082e-4
