gene,pathway,go_slim_id,pattern,logFC_Cancer_vs_Healthy,logFC_Training_CR
PGD,Carbohydrate & Energy Metabolism,GO:0005975,Partially Reversed,1.2436,-0.2356
PYGL,Carbohydrate & Energy Metabolism,GO:0005975,Partially Reversed,0.7574,-0.3223
SCCPDH,Carbohydrate & Energy Metabolism,GO:1901135,Partially Reversed,-0.6481,0.3327
SDHC,Carbohydrate & Energy Metabolism,GO:0006091,Partially Reversed,-1.6808,0.1731
SDHD,Carbohydrate & Energy Metabolism,GO:0006091,Partially Reversed,-1.0217,0.004
SLC25A11,Carbohydrate & Energy Metabolism,GO:0005975,Partially Reversed,-1.0748,0.4008
SLC35A4,Carbohydrate & Energy Metabolism,GO:0006091,Partially Reversed,-0.6862,0.0189
STBD1,Carbohydrate & Energy Metabolism,GO:0005975,Partially Reversed,-0.9907,0.3318
TALDO1,Carbohydrate & Energy Metabolism,GO:0005975,Partially Reversed,0.793,-0.3041
TKT,Carbohydrate & Energy Metabolism,GO:0006091,Partially Reversed,2.5201,-0.2862
UQCRQ,Carbohydrate & Energy Metabolism,GO:0006091,Partially Reversed,-0.8458,0.5402
HSPB7,Circulatory System,GO:0003013,Partially Reversed,-0.6716,0.2076
ITGA1,Circulatory System,GO:0003013,Partially Reversed,1.0365,-0.1593
SLC16A1,Circulatory System,GO:0003013,Partially Reversed,-0.8412,0.4495
ANK1,Cytoskeleton & Motility,GO:0007163,Partially Reversed,2.4933,-0.0657
AP3B1,Cytoskeleton & Motility,GO:0007018,Partially Reversed,1.2749,-0.1084
ARHGDIB,Cytoskeleton & Motility,GO:0048870,Partially Reversed,1.0179,-0.1358
ARPC1B,Cytoskeleton & Motility,GO:0007010,Partially Reversed,1.6412,-0.0018
ATG3,Cytoskeleton & Motility,GO:0044782,Partially Reversed,0.916,-0.0087
ATP2B4,Cytoskeleton & Motility,GO:0007018,Partially Reversed,0.892,-0.058
CLIP2,Cytoskeleton & Motility,GO:0007010,Partially Reversed,-0.7771,0.0521
CSPG4,Cytoskeleton & Motility,GO:0048870,Partially Reversed,0.9835,-0.2762
CTNNA1,Cytoskeleton & Motility,GO:0007163,Partially Reversed,0.7555,-0.4958
DSTN,Cytoskeleton & Motility,GO:0048870,Partially Reversed,0.7985,-0.0779
DYNC1LI2,Cytoskeleton & Motility,GO:0007018,Partially Reversed,1.442,-0.4137
EHD1,Cytoskeleton & Motility,GO:0044782,Partially Reversed,1.3118,-0.2902
EHD2,Cytoskeleton & Motility,GO:0044782,Partially Reversed,1.8419,-0.3734
EPB41L2,Cytoskeleton & Motility,GO:0007010,Partially Reversed,1.262,-0.1217
FLOT2,Cytoskeleton & Motility,GO:0007018,Partially Reversed,0.951,-0.254
ILK,Cytoskeleton & Motility,GO:0007163,Partially Reversed,0.7707,-0.0765
ITGB1,Cytoskeleton & Motility,GO:0007163,Partially Reversed,0.7763,-0.2539
MAPT,Cytoskeleton & Motility,GO:0007018,Partially Reversed,-0.798,0.2816
MSN,Cytoskeleton & Motility,GO:0007163,Partially Reversed,1.1853,-0.0605
PARVA,Cytoskeleton & Motility,GO:0044782,Partially Reversed,0.9272,-0.02
RAB8A,Cytoskeleton & Motility,GO:0044782,Partially Reversed,1.7692,-0.067
RAP1B,Cytoskeleton & Motility,GO:0007163,Partially Reversed,1.2324,-0.031
RHOG,Cytoskeleton & Motility,GO:0007163,Partially Reversed,1.1348,-0.211
RRAS,Cytoskeleton & Motility,GO:0048870,Partially Reversed,0.818,-0.352
SOD1,Cytoskeleton & Motility,GO:0007018,Partially Reversed,1.0931,-0.4737
SORD,Cytoskeleton & Motility,GO:0007018,Partially Reversed,0.7785,-0.5166
SYNE2,Cytoskeleton & Motility,GO:0044782,Partially Reversed,-0.7595,0.3081
SYNJ2BP,Cytoskeleton & Motility,GO:0048870,Partially Reversed,-0.6043,0.2878
YAP1,Cytoskeleton & Motility,GO:0044782,Partially Reversed,1.996,-0.3546
ANK3,DNA & Cell Cycle,GO:0000910,Partially Reversed,-1.0456,0.1259
ANXA1,DNA & Cell Cycle,GO:0000278,Partially Reversed,2.6086,-0.0868
CALM1,DNA & Cell Cycle,GO:0000910,Partially Reversed,0.8935,-0.2817
CAV2,DNA & Cell Cycle,GO:0140014,Partially Reversed,1.7101,-0.1806
CFL1,DNA & Cell Cycle,GO:0000910,Partially Reversed,0.7194,-0.203
DYNC1LI1,DNA & Cell Cycle,GO:0140014,Partially Reversed,-0.5575,0.1575
EML1,DNA & Cell Cycle,GO:0000278,Partially Reversed,-0.7892,0.1112
FHL1,DNA & Cell Cycle,GO:0000278,Partially Reversed,-0.5798,0.3141
GNAI1,DNA & Cell Cycle,GO:0000278,Partially Reversed,1.3276,-0.0637
HNRNPA1,DNA & Cell Cycle,GO:0032200,Partially Reversed,0.8075,-0.154
HNRNPA2B1,DNA & Cell Cycle,GO:0032200,Partially Reversed,1.0095,-0.1648
MYH10,DNA & Cell Cycle,GO:0000910,Partially Reversed,1.7569,-0.0841
MYH14,DNA & Cell Cycle,GO:0000910,Partially Reversed,-1.0074,0.0589
PTMS,DNA & Cell Cycle,GO:0006260,Partially Reversed,1.0469,-0.0342
PTPA,DNA & Cell Cycle,GO:0000278,Partially Reversed,0.6907,-0.2791
RANBP1,DNA & Cell Cycle,GO:0140014,Partially Reversed,0.9742,-0.0863
RHOA,DNA & Cell Cycle,GO:0140014,Partially Reversed,0.5817,-0.2339
RPS3,DNA & Cell Cycle,GO:0006281,Partially Reversed,-0.4789,0.1849
S100A11,DNA & Cell Cycle,GO:0006260,Partially Reversed,2.261,-0.0281
SAMHD1,DNA & Cell Cycle,GO:0006260,Partially Reversed,1.072,-0.0015
SDCBP,DNA & Cell Cycle,GO:0000278,Partially Reversed,0.7444,-0.224
SEPTIN10,DNA & Cell Cycle,GO:0000910,Partially Reversed,0.841,-0.4568
SPTBN1,DNA & Cell Cycle,GO:0000910,Partially Reversed,1.6712,-0.0302
STUB1,DNA & Cell Cycle,GO:0006281,Partially Reversed,-0.636,0.0798
TNKS1BP1,DNA & Cell Cycle,GO:0032200,Partially Reversed,2.1638,-0.6112
TUBA1C,DNA & Cell Cycle,GO:0000278,Partially Reversed,2.1743,-0.2063
TUBB,DNA & Cell Cycle,GO:0007059,Partially Reversed,0.8159,-0.1663
TUBB2B,DNA & Cell Cycle,GO:0000278,Partially Reversed,2.1532,-0.8472
TUBB6,DNA & Cell Cycle,GO:0000278,Partially Reversed,1.6903,-0.0713
BLVRB,Development,GO:0030154,Partially Reversed,1.5328,-0.2469
CRIP2,Development,GO:0030154,Partially Reversed,1.7102,-0.0145
DDAH2,Development,GO:0012501,Partially Reversed,1.6379,-0.136
GNB1,Development,GO:0048856,Partially Reversed,1.0575,-0.2479
S100A4,Development,GO:0030154,Partially Reversed,2.3336,-0.2642
TAGLN,Development,GO:0030154,Partially Reversed,2.5159,-0.0381
XPNPEP1,Development,GO:0012501,Partially Reversed,-0.6596,0.0048
AHNAK,ECM & Adhesion,GO:0042060,Partially Reversed,1.5525,-0.2174
ANXA5,ECM & Adhesion,GO:0042060,Partially Reversed,1.4694,-0.2119
CAST,ECM & Adhesion,GO:0034330,Partially Reversed,0.6539,-0.045
CD9,ECM & Adhesion,GO:0042060,Partially Reversed,1.9758,-0.245
COL6A2,ECM & Adhesion,GO:0007155,Partially Reversed,2.1612,-0.3452
COMP,ECM & Adhesion,GO:0030198,Partially Reversed,3.7712,-0.1454
