gene,pathway,go_slim_id,pattern,logFC_Cancer_vs_Healthy,logFC_Training_CR
CAVIN4,Transcription & Chromatin,GO:0006355,Partially Reversed,-0.6923,0.1735
FHOD1,Transcription & Chromatin,GO:0006355,Partially Reversed,-0.7072,0.141
HBS1L,Transcription & Chromatin,GO:0016071,Partially Reversed,-0.5693,0.0953
HNRNPA3,Transcription & Chromatin,GO:0016071,Partially Reversed,1.0353,-0.4951
HNRNPF,Transcription & Chromatin,GO:0016071,Partially Reversed,0.8503,-0.2559
HNRNPH1,Transcription & Chromatin,GO:0016071,Partially Reversed,0.5257,-0.0262
HNRNPK,Transcription & Chromatin,GO:0006325,Partially Reversed,0.5639,-0.2296
LGALS3,Transcription & Chromatin,GO:0016071,Partially Reversed,1.3119,-0.0723
MYO1C,Transcription & Chromatin,GO:0006325,Partially Reversed,1.3455,-0.2032
NOL3,Transcription & Chromatin,GO:0016071,Partially Reversed,-0.7722,0.0848
TSFM,Transcription & Chromatin,GO:0006355,Partially Reversed,-0.8886,0.4763
VIM,Transcription & Chromatin,GO:0016071,Partially Reversed,2.97,-0.0785
ZBTB9,Transcription & Chromatin,GO:0006355,Partially Reversed,-0.8871,0.3736
DARS1,Translation & Ribosome,GO:0006399,Partially Reversed,-0.5839,0.1065
EIF3B,Translation & Ribosome,GO:0002181,Partially Reversed,-0.5475,0.097
EIF3J,Translation & Ribosome,GO:0002181,Partially Reversed,-0.5034,0.0358
EIF4B,Translation & Ribosome,GO:0002181,Partially Reversed,0.92490000000000006,-0.3664
EPRS1,Translation & Ribosome,GO:0006399,Partially Reversed,-0.6287,0.226
FARSB,Translation & Ribosome,GO:0006399,Partially Reversed,-0.8339,0.123
GARS1,Translation & Ribosome,GO:0006399,Partially Reversed,-0.6485,0.2495
KARS1,Translation & Ribosome,GO:0006399,Partially Reversed,-0.6204,0.1661
LARS1,Translation & Ribosome,GO:0006399,Partially Reversed,-0.5155,0.1762
LRRC47,Translation & Ribosome,GO:0006399,Partially Reversed,-0.7453,0.0586
RARS1,Translation & Ribosome,GO:0006399,Partially Reversed,-0.6581,0.1674
RPL30,Translation & Ribosome,GO:0002181,Partially Reversed,-0.689,0.5141
RPS2,Translation & Ribosome,GO:0002181,Partially Reversed,-0.5777,0.3337
RPS9,Translation & Ribosome,GO:0042254,Partially Reversed,-0.7358,0.1788
YBX3,Translation & Ribosome,GO:0002181,Partially Reversed,-0.7851,0.3024
ACSL3,Transport,GO:0072659,Partially Reversed,-0.8823,0.297
AGFG1,Transport,GO:0006913,Partially Reversed,1.1653,-0.1606
ALYREF,Transport,GO:0006913,Partially Reversed,0.9513,-0.4332
ANP32A,Transport,GO:0006913,Partially Reversed,0.9373,-0.1016
ARFIP1,Transport,GO:0006886,Partially Reversed,0.9706,-0.2484
ARHGDIA,Transport,GO:0016192,Partially Reversed,0.7393,-0.0995
ATP1B1,Transport,GO:0072659,Partially Reversed,-0.7924,0.1184
AZGP1,Transport,GO:0055085,Partially Reversed,1.8104,-0.0809
BCAP29,Transport,GO:0006886,Partially Reversed,-0.6695,0.3189
CA2,Transport,GO:0055085,Partially Reversed,1.8365,-0.412
CAMK2B,Transport,GO:0072659,Partially Reversed,-0.9453,0.1766
CAMK2D,Transport,GO:0072659,Partially Reversed,-0.553,0.4372
CAVIN2,Transport,GO:0061024,Partially Reversed,1.6663,-0.5013
CD81,Transport,GO:0072659,Partially Reversed,1.8957,-0.4849
CLIC5,Transport,GO:0055085,Partially Reversed,-0.7597,0.0676
CNIH4,Transport,GO:0016192,Partially Reversed,-0.6141,0.3594
CSE1L,Transport,GO:0006913,Partially Reversed,-0.8843,0.1501
CSRP3,Transport,GO:0072659,Partially Reversed,-0.7833,0.4071
CTTN,Transport,GO:0006886,Partially Reversed,1.148,-0.1433
CYB5A,Transport,GO:0055085,Partially Reversed,1.2709,-0.4036
CYBRD1,Transport,GO:0055085,Partially Reversed,1.938,-0.1449
DHRS7C,Transport,GO:0055085,Partially Reversed,-0.9019,0.3085
DYSF,Transport,GO:0016192,Partially Reversed,-0.7325,0.2682
EIPR1,Transport,GO:0016192,Partially Reversed,0.7097,-0.39
ELAVL1,Transport,GO:0006913,Partially Reversed,0.8148,-0.1934
EPS15,Transport,GO:0016192,Partially Reversed,1.0897,-0.1223
ESYT1,Transport,GO:0061024,Partially Reversed,0.8911,-0.3036
GNB2,Transport,GO:0055085,Partially Reversed,0.6156,-0.081
KPNA3,Transport,GO:0006913,Partially Reversed,-0.7532,0.3238
LASP1,Transport,GO:0055085,Partially Reversed,1.8155,-0.0252
MYO6,Transport,GO:0006886,Partially Reversed,-1.5562,0.6011
NDRG1,Transport,GO:0061024,Partially Reversed,1.9326,-0.1659
NUTF2,Transport,GO:0006913,Partially Reversed,0.5775,-0.1666
OPTN,Transport,GO:0072659,Partially Reversed,-0.6366,0.1779
PACSIN2,Transport,GO:0061024,Partially Reversed,0.7028,-0.3196
PEA15,Transport,GO:0055085,Partially Reversed,1.7742,-0.023
PITPNA,Transport,GO:0061024,Partially Reversed,0.9405,-0.1284
S100A6,Transport,GO:0055085,Partially Reversed,3.1368,-0.2566
SLC25A20,Transport,GO:0055085,Partially Reversed,-0.6788,0.2985
SLC25A3,Transport,GO:0055085,Partially Reversed,-0.6266,0.3288
SNX1,Transport,GO:0006886,Partially Reversed,0.9139,-0.0816
SORBS1,Transport,GO:0072659,Partially Reversed,1.4214,-0.4686
STAM,Transport,GO:0006886,Partially Reversed,0.7552,-0.0223
STOM,Transport,GO:0055085,Partially Reversed,2.2901,-0.1033
SYPL2,Transport,GO:0061024,Partially Reversed,-0.8924,0.0481
TRIP10,Transport,GO:0016192,Partially Reversed,-0.5603,0.1568
TXN,Transport,GO:0006913,Partially Reversed,0.692,-0.2217
USO1,Transport,GO:0006886,Partially Reversed,-0.7301,0.0114
VPS28,Transport,GO:0006886,Partially Reversed,-0.8281,0.0495
ACAD8,Amino Acid & Cofactor Metabolism,GO:0006520,Persistent,-0.9891,-0.1988
ACLY,Amino Acid & Cofactor Metabolism,GO:0055086,Persistent,1.8193,0.1987
AKR1C3,Amino Acid & Cofactor Metabolism,GO:0006766,Persistent,1.5815,0.0596
APOE,Amino Acid & Cofactor Metabolism,GO:0098754,Persistent,2.779,0.2662
APOM,Amino Acid & Cofactor Metabolism,GO:0098754,Persistent,2.7683,0.2247
AQP1,Amino Acid & Cofactor Metabolism,GO:0007586,Persistent,1.051,0.0514
BTD,Amino Acid & Cofactor Metabolism,GO:0006766,Persistent,1.0401,0.0201
CP,Amino Acid & Cofactor Metabolism,GO:0098754,Persistent,2.7087,0.305
DBT,Amino Acid & Cofactor Metabolism,GO:0006520,Persistent,-0.7848,-0.0877
HP,Amino Acid & Cofactor Metabolism,GO:0098754,Persistent,3.2795,0.0338
MPC2,Amino Acid & Cofactor Metabolism,GO:0055086,Persistent,-0.94,-0.1535
SERPINA3,Amino Acid & Cofactor Metabolism,GO:0007586,Persistent,2.7577,0.1073
TTR,Amino Acid & Cofactor Metabolism,GO:0055086,Persistent,2.4176,0.0042
ARPP19,Carbohydrate & Energy Metabolism,GO:0005975,Persistent,-0.7685,-0.2172
DMAC2L,Carbohydrate & Energy Metabolism,GO:1901135,Persistent,-0.8608,-0.0589
MPP1,Carbohydrate & Energy Metabolism,GO:1901135,Persistent,1.1717,0.1241
NME2,Carbohydrate & Energy Metabolism,GO:1901135,Persistent,0.7649,0.0768
PGLS,Carbohydrate & Energy Metabolism,GO:0005975,Persistent,0.7158,0.0281
PGM2,Carbohydrate & Energy Metabolism,GO:0005975,Persistent,1.3576,0.1134
PNP,Carbohydrate & Energy Metabolism,GO:1901135,Persistent,2.6614,0.1044
SLC37A4,Carbohydrate & Energy Metabolism,GO:0005975,Persistent,-0.7576,-0.0068
SULT1A1,Carbohydrate & Energy Metabolism,GO:1901135,Persistent,1.2993,0.0564
AKAP12,Circulatory System,GO:0003013,Persistent,1.5801,0.1602
MANF,Circulatory System,GO:0003013,Persistent,0.8772,0.3212
PPCS,Circulatory System,GO:0003013,Persistent,0.6758,0.0992
SERPING1,Circulatory System,GO:0003013,Persistent,3.011,0.1622
SMTNL1,Circulatory System,GO:0003013,Persistent,-1.1475,-0.4392
ADPRHL1,Cytoskeleton & Motility,GO:0007010,Persistent,-1.0425,-0.0307
ARPC3,Cytoskeleton & Motility,GO:0048870,Persistent,0.8709,0.2258
ARPC5,Cytoskeleton & Motility,GO:0048870,Persistent,2.273,0.0398
CAP1,Cytoskeleton & Motility,GO:0007163,Persistent,1.3253,0.0408
CLIC4,Cytoskeleton & Motility,GO:0007163,Persistent,0.7248,0.1636
EHD4,Cytoskeleton & Motility,GO:0044782,Persistent,0.9078,0.1511
FSCN1,Cytoskeleton & Motility,GO:0007163,Persistent,1.5064,0.5673
FYCO1,Cytoskeleton & Motility,GO:0007018,Persistent,-0.5794,-0.1418
GLIPR2,Cytoskeleton & Motility,GO:0048870,Persistent,1.8977,0.0205
GNAI2,Cytoskeleton & Motility,GO:0048870,Persistent,1.2127,0.0083
GSN,Cytoskeleton & Motility,GO:0044782,Persistent,1.5312,0.0862
LAMP1,Cytoskeleton & Motility,GO:0007018,Persistent,0.9358,0.21560000000000001
PLS3,Cytoskeleton & Motility,GO:0007010,Persistent,1.0967,0.2043
RAB23,Cytoskeleton & Motility,GO:0044782,Persistent,1.2325,0.4527
SEPTIN7,Cytoskeleton & Motility,GO:0044782,Persistent,0.7684,0.0787
SERPINF1,Cytoskeleton & Motility,GO:0048870,Persistent,2.0636,0.209
SH3BGRL3,Cytoskeleton & Motility,GO:0007010,Persistent,1.6147,0.2544
TAGLN2,Cytoskeleton & Motility,GO:0007010,Persistent,1.4352,0.0834
THBS4,Cytoskeleton & Motility,GO:0048870,Persistent,2.7714,0.6528
ACTB,DNA & Cell Cycle,GO:0006310,Persistent,1.5433,0.0682
ACTR2,DNA & Cell Cycle,GO:0006310,Persistent,0.6227,0.1618
ACTR3,DNA & Cell Cycle,GO:0007059,Persistent,0.5847,0.2137
ARF1,DNA & Cell Cycle,GO:0000910,Persistent,0.7347,0.0366
CLASP2,DNA & Cell Cycle,GO:0140014,Persistent,-0.6225,-0.1433
ENDOG,DNA & Cell Cycle,GO:0006260,Persistent,-0.7423,-0.2404
FLNA,DNA & Cell Cycle,GO:0140014,Persistent,1.3649,0.0013
GPNMB,DNA & Cell Cycle,GO:0000278,Persistent,1.7276,0.7229
IQGAP1,DNA & Cell Cycle,GO:0000910,Persistent,0.8654,0.3972
KPNA1,DNA & Cell Cycle,GO:0006310,Persistent,-0.6641,-0.1216
MAPRE3,DNA & Cell Cycle,GO:0007059,Persistent,-0.6357,-0.0573
MYH9,DNA & Cell Cycle,GO:0000910,Persistent,0.9563,0.0532
SEPTIN11,DNA & Cell Cycle,GO:0000910,Persistent,0.7229,0.1519
TTLL12,DNA & Cell Cycle,GO:0000278,Persistent,0.7748,0.0446
ASPN,Development,GO:0048856,Persistent,1.5927,0.661
BGN,Development,GO:0048856,Persistent,1.6417,0.536
DIABLO,Development,GO:0012501,Persistent,-0.778,-0.0865
MAOB,Development,GO:0048856,Persistent,-0.578,-0.104
MYL12B,Development,GO:0048856,Persistent,0.7929,0.1633
OGN,Development,GO:0048856,Persistent,2.032,0.4053
PRELP,Development,GO:0048856,Persistent,2.6865,0.0559
PTER,Development,GO:0030154,Persistent,-0.6917,-0.0325
ADD1,ECM & Adhesion,GO:0034330,Persistent,1.7863,0.0336
AEBP1,ECM & Adhesion,GO:0030198,Persistent,1.7765,0.7863
AGT,ECM & Adhesion,GO:0030198,Persistent,2.4073,0.3483
C1QB,ECM & Adhesion,GO:0034330,Persistent,2.1543,0.5071
C1QC,ECM & Adhesion,GO:0034330,Persistent,2.234,0.4903
C3,ECM & Adhesion,GO:0034330,Persistent,3.1919,0.142
CD34,ECM & Adhesion,GO:0042060,Persistent,1.6965,0.0495
CD44,ECM & Adhesion,GO:0042060,Persistent,1.9167,0.563
CLIC1,ECM & Adhesion,GO:0042060,Persistent,1.6017,0.0462
CNN2,ECM & Adhesion,GO:0042060,Persistent,1.4793,0.0616
CNN3,ECM & Adhesion,GO:0007155,Persistent,1.3693,0.2075
COL1A2,ECM & Adhesion,GO:0030198,Persistent,2.8997,0.3006
COL6A1,ECM & Adhesion,GO:0030198,Persistent,1.9144,0.0654
COL6A3,ECM & Adhesion,GO:0007155,Persistent,1.2814,0.5486
CORO1B,ECM & Adhesion,GO:0042060,Persistent,1.3115,0.0232
CORO1C,ECM & Adhesion,GO:0034330,Persistent,1.9121,0.1196
CTSG,ECM & Adhesion,GO:0030198,Persistent,0.9585,0.6752
DBNL,ECM & Adhesion,GO:0034330,Persistent,1.0168,0.0443
FBLN1,ECM & Adhesion,GO:0030198,Persistent,1.9805,0.1578
FN1,ECM & Adhesion,GO:0042060,Persistent,2.5227,0.0922
LAMB2,ECM & Adhesion,GO:0030198,Persistent,1.3049,0.0973
LCP1,ECM & Adhesion,GO:0030198,Persistent,1.865,0.0268
LGALS3BP,ECM & Adhesion,GO:0007155,Persistent,1.6092,0.1636
LPP,ECM & Adhesion,GO:0007155,Persistent,0.8005,0.0326
LRG1,ECM & Adhesion,GO:0042060,Persistent,1.9173,0.1007
LUM,ECM & Adhesion,GO:0030198,Persistent,1.9945,0.1074
NID1,ECM & Adhesion,GO:0030198,Persistent,1.1605,0.0592
SERPINF2,ECM & Adhesion,GO:0030198,Persistent,2.1775,0.1005
SPARC,ECM & Adhesion,GO:0034330,Persistent,2.4212,0.0059
TGFBI,ECM & Adhesion,GO:0030198,Persistent,1.2071,0.119
TNXB,ECM & Adhesion,GO:0030198,Persistent,1.108,0.2778
A2M,Immune & Inflammation,GO:0006954,Persistent,3.1786,0.217
AKAP1,Immune & Inflammation,GO:0098542,Persistent,-0.6391,-0.1392
C1S,Immune & Inflammation,GO:0098542,Persistent,2.1102,0.1306
C2,Immune & Inflammation,GO:0098542,Persistent,1.4765,0.0748
C8G,Immune & Inflammation,GO:0098542,Persistent,1.4661,0.2387
CFB,Immune & Inflammation,GO:0098542,Persistent,2.5438,0.178
CFH,Immune & Inflammation,GO:0098542,Persistent,3.1883,0.0935
CFI,Immune & Inflammation,GO:0098542,Persistent,2.346,0.0898
IGHA1,Immune & Inflammation,GO:0098542,Persistent,3.3611,0.0772
IGHG3,Immune & Inflammation,GO:0098542,Persistent,2.6349,0.0246
IGHM,Immune & Inflammation,GO:0098542,Persistent,3.6335,0.3323
IGHV3-7,Immune & Inflammation,GO:0002376,Persistent,3.0643,0.3099
IGKV3-20,Immune & Inflammation,GO:0098542,Persistent,3.5578,0.038
IGKV4-1,Immune & Inflammation,GO:0002376,Persistent,2.4616,0.1684
IGLC2,Immune & Inflammation,GO:0002376,Persistent,3.3511,3e-4
IGLV1-40,Immune & Inflammation,GO:0002376,Persistent,2.3728,0.0367
ITIH4,Immune & Inflammation,GO:0006954,Persistent,3.0794,0.1813
PPBP,Immune & Inflammation,GO:0006954,Persistent,2.7628,0.2565
APOC2,Lipid Metabolism,GO:0042180,Persistent,2.7955,0.2211
APOL1,Lipid Metabolism,GO:0006629,Persistent,2.9092,0.218
ECHDC1,Lipid Metabolism,GO:0006629,Persistent,0.8587,2e-4
IMPA2,Lipid Metabolism,GO:0006629,Persistent,-0.798,-0.0967
DCN,Mitochondria & Energy,GO:0007005,Persistent,2.0651,0.0904
MARCKS,Mitochondria & Energy,GO:0007005,Persistent,1.4792,0.0684
VAT1,Mitochondria & Energy,GO:0007005,Persistent,1.5897,0.1175
CACNB1,Muscle & Contractile,GO:0003012,Persistent,-0.6837,-0.061
CALD1,Muscle & Contractile,GO:0003012,Persistent,1.5413,0.2639
CNN1,Muscle & Contractile,GO:0003012,Persistent,1.6491,0.2227
JSRP1,Muscle & Contractile,GO:0003012,Persistent,-0.8354,-0.0969
MYL9,Muscle & Contractile,GO:0003012,Persistent,0.8358,0.4446
PLN,Muscle & Contractile,GO:0003012,Persistent,-1.0984,-0.1128
RYR1,Muscle & Contractile,GO:0003012,Persistent,-0.7131,-0.0875
TMOD1,Muscle & Contractile,GO:0003012,Persistent,1.136,0.3468
TMOD3,Muscle & Contractile,GO:0003012,Persistent,1.8701,0.4587
TPM4,Muscle & Contractile,GO:0003012,Persistent,1.4611,0.3474
ADPRH,Other,OTHER,Persistent,-1.5648,-0.1431
BLVRA,Other,OTHER,Persistent,0.6752,0.0485
BOLA2,Other,OTHER,Persistent,0.7612,0.0689
C11orf54,Other,OTHER,Persistent,-0.7577,-0.0206
GYPC,Other,OTHER,Persistent,1.0567,0.2169
ISOC1,Other,OTHER,Persistent,-0.6783,-0.115
LRRC59,Other,OTHER,Persistent,0.9744,0.1399
NUBP2,Other,OTHER,Persistent,0.8569,0.6268
TPSB2,Other,OTHER,Persistent,0.9373,0.1918
TXLNB,Other,OTHER,Persistent,-0.9018,-0.1335
C1R,Protein Homeostasis,GO:0051604,Persistent,1.5305,0.1187
CAPG,Protein Homeostasis,GO:0065003,Persistent,1.6286,0.4283
CLEC3B,Protein Homeostasis,GO:0051604,Persistent,1.804,0.2565
CST3,Protein Homeostasis,GO:0009100,Persistent,1.2116,0.074
CTSH,Protein Homeostasis,GO:0051604,Persistent,1.4286,0.2784
DNAJB1,Protein Homeostasis,GO:0006457,Persistent,0.7248,0.2281
F13A1,Protein Homeostasis,GO:0051604,Persistent,1.5278,0.3069
FBXO7,Protein Homeostasis,GO:0006914,Persistent,1.721,0.3001
HPR,Protein Homeostasis,GO:0051604,Persistent,2.0227,0.3304
HSPA2,Protein Homeostasis,GO:0006457,Persistent,-0.8431,-0.0623
KCTD12,Protein Homeostasis,GO:0065003,Persistent,1.0288,0.1237
KLKB1,Protein Homeostasis,GO:0051604,Persistent,1.7147,0.0996
MUSTN1,Protein Homeostasis,GO:0009100,Persistent,1.1073,0.4383
PDIA3,Protein Homeostasis,GO:0006457,Persistent,1.0351,0.01
PPIB,Protein Homeostasis,GO:0006457,Persistent,1.0554,0.2379
PPID,Protein Homeostasis,GO:0006457,Persistent,-0.6208,-0.0167
RCN3,Protein Homeostasis,GO:0030163,Persistent,2.3499,0.5567
STEAP4,Protein Homeostasis,GO:0065003,Persistent,0.9407,0.3874
TF,Protein Homeostasis,GO:0030163,Persistent,2.6639,0.0349
THBS1,Protein Homeostasis,GO:0051604,Persistent,2.7118,0.1485
ANXA4,Transcription & Chromatin,GO:0006355,Persistent,0.9351,0.2734
CAND2,Transcription & Chromatin,GO:0006355,Persistent,-0.7085,-0.1631
EFEMP1,Transcription & Chromatin,GO:0006355,Persistent,1.7278,0.1319
NEK9,Transcription & Chromatin,GO:0006325,Persistent,-0.6325,-0.2996
PTBP1,Transcription & Chromatin,GO:0016071,Persistent,1.6525,0.1128
S100A10,Transcription & Chromatin,GO:0016071,Persistent,1.6817,0.1028
EIF3C,Translation & Ribosome,GO:0002181,Persistent,-0.4796,-0.0139
RPL14,Translation & Ribosome,GO:0042254,Persistent,0.7508,0.1193
RPL27A,Translation & Ribosome,GO:0002181,Persistent,0.7416,0.0486
SH3BGRL,Translation & Ribosome,GO:0002181,Persistent,1.8844,0.2206
ACTN4,Transport,GO:0055085,Persistent,1.5778,0.2898
AP1B1,Transport,GO:0006886,Persistent,0.8687,0.6702
AP2A1,Transport,GO:0006886,Persistent,0.5944,0.0991
AP2A2,Transport,GO:0006886,Persistent,1.0648,0.1752
APOD,Transport,GO:0006913,Persistent,1.7503,0.1572
ARHGAP1,Transport,GO:0016192,Persistent,1.2939,0.2449
CLTC,Transport,GO:0072659,Persistent,0.6225,0.207
DPYSL2,Transport,GO:0016192,Persistent,0.9766,0.0708
NCLN,Transport,GO:0061024,Persistent,0.7962,0.1488
PICALM,Transport,GO:0072659,Persistent,1.1145,0.176
SFXN3,Transport,GO:0055085,Persistent,1.8156,0.0849
STX4,Transport,GO:0072659,Persistent,-0.7637,-0.491
UBE2O,Transport,GO:0016192,Persistent,0.8113,0.1957
THY1,ECM & Adhesion,GO:0034330,Exacerbated,2.511,0.9494
