gene,pattern,sort_key,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,imputed
EHBP1L1,Partially Reversed,0.7956,-0.7956,0.1382,0.001355,0.883751,TRUE
MRPL46,Partially Reversed,0.7943,-0.7943,0.0739,0.03437,0.981331,TRUE
CPT2,Partially Reversed,0.7933,-0.7933,0.2407,0.010119,0.716033,FALSE
ATP1B1,Partially Reversed,0.7924,-0.7924,0.1184,0.014328,0.939122,TRUE
EML1,Partially Reversed,0.7892,-0.7892,0.1112,0.003691,0.93416,TRUE
COQ8A,Partially Reversed,0.7883,-0.7883,0.1145,0.006449,0.934435,TRUE
PFKL,Partially Reversed,0.7882,-0.7882,0.0557,0.011229,0.986903,FALSE
YBX3,Partially Reversed,0.7851,-0.7851,0.3024,0.031906,0.637552,FALSE
CSRP3,Partially Reversed,0.7833,-0.7833,0.4071,0.013701,0.322089,TRUE
ATP5F1D,Partially Reversed,0.7826,-0.7826,0.3994,0.01254,0.329505,FALSE
CISD1,Partially Reversed,0.7825,-0.7825,0.3613,0.002561,0.308188,TRUE
CLIP2,Partially Reversed,0.7771,-0.7771,0.0521,0.003438,0.987434,TRUE
NOL3,Partially Reversed,0.7722,-0.7722,0.0848,0.012551,0.967735,TRUE
MAVS,Partially Reversed,0.77,-0.77,0.0017,2.52e-4,0.999983,TRUE
PIP4K2B,Partially Reversed,0.77,-0.77,0.2161,0.004987,0.764648,TRUE
MT-ND5,Partially Reversed,0.766,-0.766,0.1239,0.031847,0.939232,TRUE
CLIC5,Partially Reversed,0.7597,-0.7597,0.0676,0.013535,0.97996,TRUE
SYNE2,Partially Reversed,0.7595,-0.7595,0.3081,0.029984,0.686187,TRUE
KPNA3,Partially Reversed,0.7532,-0.7532,0.3238,0.039712,0.579779,TRUE
SAMM50,Partially Reversed,0.7531,-0.7531,0.3385,0.043576,0.553038,FALSE
LRRC47,Partially Reversed,0.7453,-0.7453,0.0586,0.005593,0.981977,FALSE
CYB5R1,Partially Reversed,0.744,-0.744,0.2205,0.006818,0.712327,FALSE
APOO,Partially Reversed,0.7372,-0.7372,0.2233,0.049314,0.797308,TRUE
RPS9,Partially Reversed,0.7358,-0.7358,0.1788,0.00126,0.757134,FALSE
DYSF,Partially Reversed,0.7325,-0.7325,0.2682,0.006997,0.572691,FALSE
TIMM50,Partially Reversed,0.7303,-0.7303,0.2088,0.03116,0.820693,TRUE
USO1,Partially Reversed,0.7301,-0.7301,0.0114,0.004322,0.99933399999999994,FALSE
NNT,Partially Reversed,0.7225,-0.7225,0.2998,0.013488,0.517486,FALSE
BCL2L13,Partially Reversed,0.7169,-0.7169,0.1115,0.014659,0.935094,TRUE
FUNDC2,Partially Reversed,0.7163,-0.7163,0.1521,0.032549,0.893314,FALSE
CUL5,Partially Reversed,0.7084,-0.7084,0.1967,0.020811,0.794169,FALSE
FHOD1,Partially Reversed,0.7072,-0.7072,0.141,0.018867,0.897135,TRUE
CAVIN4,Partially Reversed,0.6923,-0.6923,0.1735,0.041528,0.858334,TRUE
RPL30,Partially Reversed,0.689,-0.689,0.5141,0.014975,0.065741,FALSE
SLC35A4,Partially Reversed,0.6862,-0.6862,0.0189,0.045192,0.998726,TRUE
PDHB,Partially Reversed,0.6849,-0.6849,0.3273,0.03894,0.493882,FALSE
FIS1,Partially Reversed,0.6835,-0.6835,0.2671,0.011109,0.552805,FALSE
SLC25A20,Partially Reversed,0.6788,-0.6788,0.2985,0.045862,0.577535,FALSE
HSPB7,Partially Reversed,0.6716,-0.6716,0.2076,0.030303,0.764701,TRUE
BCAP29,Partially Reversed,0.6695,-0.6695,0.3189,0.033982,0.511746,TRUE
XPNPEP1,Partially Reversed,0.6596,-0.6596,0.0048,0.005657,0.99987,FALSE
RARS1,Partially Reversed,0.6581,-0.6581,0.1674,0.005868,0.786119,TRUE
TMEM11,Partially Reversed,0.6547,-0.6547,0.2237,0.024644,0.71098,TRUE
GARS1,Partially Reversed,0.6485,-0.6485,0.2495,0.013994,0.581781,FALSE
SCCPDH,Partially Reversed,0.6481,-0.6481,0.3327,0.022938,0.379207,FALSE
TRAP1,Partially Reversed,0.6473,-0.6473,0.2074,0.03121,0.749401,TRUE
ATP1A1,Partially Reversed,0.641,-0.641,0.2048,0.029181,0.747144,FALSE
AIMP2,Partially Reversed,0.6405,-0.6405,0.2181,0.02523,0.703934,TRUE
ETFDH,Partially Reversed,0.6396,-0.6396,0.155,0.048882,0.874381,FALSE
ACOT9,Partially Reversed,0.638,-0.638,0.2449,0.007826,0.544954,TRUE
OPTN,Partially Reversed,0.6366,-0.6366,0.1779,0.049056,0.836147,TRUE
STUB1,Partially Reversed,0.636,-0.636,0.0798,0.045619,0.969549,TRUE
HADHB,Partially Reversed,0.6296,-0.6296,0.1992,0.017953,0.725959,FALSE
EPRS1,Partially Reversed,0.6287,-0.6287,0.226,0.0055,0.573469,FALSE
SLC25A3,Partially Reversed,0.6266,-0.6266,0.3288,0.014353,0.317042,FALSE
PRKAR2A,Partially Reversed,0.6216,-0.6216,0.051,0.013328,0.983559,FALSE
KARS1,Partially Reversed,0.6204,-0.6204,0.1661,0.009113,0.779496,TRUE
DLAT,Partially Reversed,0.6155,-0.6155,0.1798,0.035326,0.79922,FALSE
CNIH4,Partially Reversed,0.6141,-0.6141,0.3594,0.026445,0.285018,TRUE
OPLAH,Partially Reversed,0.6134,-0.6134,0.0286,0.031314,0.995731,TRUE
SYNJ2BP,Partially Reversed,0.6043,-0.6043,0.2878,0.027877,0.464986,FALSE
ELOB,Partially Reversed,0.5869,-0.5869,0.1559,0.027901,0.827108,FALSE
DARS1,Partially Reversed,0.5839,-0.5839,0.1065,0.011313,0.9071,FALSE
DNPEP,Partially Reversed,0.5804,-0.5804,0.1162,0.020668,0.899148,FALSE
FHL1,Partially Reversed,0.5798,-0.5798,0.3141,0.044718,0.40142099999999997,FALSE
HADHA,Partially Reversed,0.578,-0.578,0.1848,0.020765,0.729527,FALSE
RPS2,Partially Reversed,0.5777,-0.5777,0.3337,0.003808,0.145613,FALSE
HBS1L,Partially Reversed,0.5693,-0.5693,0.0953,0.035754,0.943137,TRUE
HSPB2,Partially Reversed,0.5608,-0.5608,0.1705,0.038214,0.788295,TRUE
TRIP10,Partially Reversed,0.5603,-0.5603,0.1568,0.037936,0.821868,TRUE
DYNC1LI1,Partially Reversed,0.5575,-0.5575,0.1575,0.020881,0.792424,TRUE
CAMK2D,Partially Reversed,0.553,-0.553,0.4372,0.037702,0.086131,FALSE
PBXIP1,Partially Reversed,0.54990000000000006,-0.54990000000000006,0.1166,0.042829,0.90442,TRUE
EIF3B,Partially Reversed,0.5475,-0.5475,0.097,0.007923,0.907439,TRUE
COPS7A,Partially Reversed,0.5284,-0.5284,0.0845,0.030848,0.943956,TRUE
LARS1,Partially Reversed,0.5155,-0.5155,0.1762,0.044175,0.76107,TRUE
EIF3J,Partially Reversed,0.5034,-0.5034,0.0358,0.038527,0.990654,TRUE
RPS3,Partially Reversed,0.4789,-0.4789,0.1849,0.047828,0.677441,FALSE
HNRNPH1,Partially Reversed,-0.5257,0.5257,-0.0262,0.005808,0.993647,FALSE
MTPN,Partially Reversed,-0.543,0.543,-0.0893,0.029594,0.939714,FALSE
HNRNPK,Partially Reversed,-0.5639,0.5639,-0.2296,0.033995,0.610027,FALSE
NUTF2,Partially Reversed,-0.5775,0.5775,-0.1666,0.004677,0.714298,FALSE
RHOA,Partially Reversed,-0.5817,0.5817,-0.2339,0.03358,0.617824,FALSE
GNAS,Partially Reversed,-0.5929,0.5929,-0.1866,0.023021,0.74331,FALSE
PSMD9,Partially Reversed,-0.5969,0.5969,-0.0107,0.029119,0.999389,FALSE
TBCA,Partially Reversed,-0.6148,0.6148,-0.0661,0.022135,0.973545,FALSE
GNB2,Partially Reversed,-0.6156,0.6156,-0.081,0.034667,0.963076,FALSE
FAM114A2,Partially Reversed,-0.6158,0.6158,-0.0427,0.046058,0.991036,FALSE
PGAM1,Partially Reversed,-0.6219,0.6219,-0.3666,0.019823,0.242946,FALSE
HLA-DRA,Partially Reversed,-0.6354,0.6354,-0.3997,0.036578,0.28045,TRUE
EEF1A1,Partially Reversed,-0.6381,0.6381,-0.0935,0.032793,0.952602,FALSE
ZYX,Partially Reversed,-0.6474,0.6474,-0.0767,0.014678,0.964404,FALSE
CAST,Partially Reversed,-0.6539,0.6539,-0.045,0.011095,0.988166,FALSE
RSU1,Partially Reversed,-0.6887,0.6887,-0.1563,0.026696,0.872262,FALSE
PTPA,Partially Reversed,-0.6907,0.6907,-0.2791,0.031247,0.605278,FALSE
TXN,Partially Reversed,-0.692,0.692,-0.2217,0.012572,0.698271,FALSE
PSME2,Partially Reversed,-0.6962,0.6962,-0.1035,0.014011,0.940919,FALSE
DCUN1D1,Partially Reversed,-0.6996,0.6996,-0.4348,0.015927,0.187284,TRUE
PACSIN2,Partially Reversed,-0.7028,0.7028,-0.3196,0.007232,0.40575,TRUE
EIPR1,Partially Reversed,-0.7097,0.7097,-0.39,0.019147,0.341329,TRUE
CFL1,Partially Reversed,-0.7194,0.7194,-0.203,0.020972,0.787107,FALSE
CMPK1,Partially Reversed,-0.7272,0.7272,-0.2042,0.009873,0.7574,FALSE
IDH1,Partially Reversed,-0.7305,0.7305,-0.3164,0.013693,0.48273,FALSE
ARHGDIA,Partially Reversed,-0.7393,0.7393,-0.0995,0.012221,0.950392,FALSE
FABP5,Partially Reversed,-0.7416,0.7416,-0.1752,0.035345,0.868227,FALSE
CYGB,Partially Reversed,-0.7432,0.7432,-0.1697,0.045462,0.891515,TRUE
SDCBP,Partially Reversed,-0.7444,0.7444,-0.224,0.015009,0.741685,TRUE
PSAP,Partially Reversed,-0.7475,0.7475,-0.4081,0.040684,0.380961,FALSE
STAM,Partially Reversed,-0.7552,0.7552,-0.0223,0.004803,0.997552,TRUE
CTNNA1,Partially Reversed,-0.7555,0.7555,-0.4958,0.012092,0.138357,TRUE
PYGL,Partially Reversed,-0.7574,0.7574,-0.3223,0.001471,0.348511,FALSE
ILK,Partially Reversed,-0.7707,0.7707,-0.0765,0.002362,0.966535,FALSE
ITGB1,Partially Reversed,-0.7763,0.7763,-0.2539,0.015292,0.69403,FALSE
ASAH1,Partially Reversed,-0.7763,0.7763,-0.6279,0.033136,0.067451,FALSE
SORD,Partially Reversed,-0.7785,0.7785,-0.5166,0.005692,0.091436,TRUE
