gene,pattern,sort_key,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,imputed
SPTAN1,Partially Reversed,-1.58,1.58,-0.0484,0,0.993262,FALSE
B2M,Partially Reversed,-1.6187,1.6187,-0.2208,0,0.851384,FALSE
ACAT2,Partially Reversed,-1.6327,1.6327,-0.361,0,0.582555,TRUE
GNAI3,Partially Reversed,-1.635,1.635,-0.0427,0,0.992965,TRUE
DDAH2,Partially Reversed,-1.6379,1.6379,-0.136,0,0.943383,TRUE
ARPC1B,Partially Reversed,-1.6412,1.6412,-0.0018,0,0.99999,TRUE
GPX3,Partially Reversed,-1.6429,1.6429,-0.2252,0,0.818065,FALSE
ADH1B,Partially Reversed,-1.6549,1.6549,-0.6434,5e-5,0.273923,FALSE
MYOZ2,Partially Reversed,-1.664,1.664,-0.0217,0.017112,0.99953,TRUE
CAVIN2,Partially Reversed,-1.6663,1.6663,-0.5013,0,0.343462,FALSE
SPTBN1,Partially Reversed,-1.6712,1.6712,-0.0302,0,0.997387,FALSE
TUBB6,Partially Reversed,-1.6903,1.6903,-0.0713,0,0.985871,FALSE
CAV2,Partially Reversed,-1.7101,1.7101,-0.1806,1e-5,0.936366,TRUE
CRIP2,Partially Reversed,-1.7102,1.7102,-0.0145,0,0.99936,FALSE
CARHSP1,Partially Reversed,-1.7509,1.7509,-0.5346,0.027281,0.408595,TRUE
MYH10,Partially Reversed,-1.7569,1.7569,-0.0841,6.99e-4,0.974709,TRUE
AKR1C2,Partially Reversed,-1.7661,1.7661,-0.4958,8e-6,0.431936,TRUE
RAB8A,Partially Reversed,-1.7692,1.7692,-0.067,3.7e-5,0.988146,TRUE
PEA15,Partially Reversed,-1.7742,1.7742,-0.023,0,0.998572,TRUE
DMTN,Partially Reversed,-1.7794,1.7794,-0.2815,0.002982,0.812803,TRUE
AZGP1,Partially Reversed,-1.8104,1.8104,-0.0809,0,0.980654,FALSE
CSRP1,Partially Reversed,-1.8107,1.8107,-0.2072,0,0.842939,FALSE
LASP1,Partially Reversed,-1.8155,1.8155,-0.0252,0,0.998336,TRUE
CA2,Partially Reversed,-1.8365,1.8365,-0.412,0,0.545252,FALSE
EHD2,Partially Reversed,-1.8419,1.8419,-0.3734,0,0.652665,FALSE
CRIP1,Partially Reversed,-1.8565,1.8565,-0.3729,3.33e-4,0.666235,TRUE
ALAD,Partially Reversed,-1.8664,1.8664,-0.0523,0,0.993086,FALSE
SOD3,Partially Reversed,-1.8938,1.8938,-0.5363,0,0.293215,FALSE
CD81,Partially Reversed,-1.8957,1.8957,-0.4849,0,0.448671,FALSE
MFAP4,Partially Reversed,-1.9044,1.9044,-0.0436,2.86e-4,0.996637,TRUE
NDRG1,Partially Reversed,-1.9326,1.9326,-0.1659,3e-6,0.904051,TRUE
CYBRD1,Partially Reversed,-1.938,1.938,-0.1449,1.6e-5,0.95192,TRUE
CD9,Partially Reversed,-1.9758,1.9758,-0.245,0,0.843162,TRUE
CAV1,Partially Reversed,-1.9824,1.9824,-0.4038,0,0.654732,FALSE
PRDX2,Partially Reversed,-1.9827,1.9827,-0.2579,0,0.837871,FALSE
ANXA2,Partially Reversed,-1.9845,1.9845,-0.0797,0,0.98653,FALSE
YAP1,Partially Reversed,-1.996,1.996,-0.3546,0,0.721971,TRUE
SPTB,Partially Reversed,-1.9989,1.9989,-0.102,0,0.974017,FALSE
FBN1,Partially Reversed,-2.0182,2.0182,-0.288,0,0.805904,FALSE
BPGM,Partially Reversed,-2.0346,2.0346,-0.0924,0,0.975696,FALSE
PROS1,Partially Reversed,-2.0625,2.0625,-0.4126,0.002022,0.573386,TRUE
EPB41,Partially Reversed,-2.0668,2.0668,-0.1496,0,0.939545,TRUE
TUBB2B,Partially Reversed,-2.1532,2.1532,-0.8472,1.7e-5,0.154721,TRUE
COL6A2,Partially Reversed,-2.1612,2.1612,-0.3452,0,0.735539,TRUE
TNKS1BP1,Partially Reversed,-2.1638,2.1638,-0.6112,4e-6,0.296044,TRUE
TUBA1C,Partially Reversed,-2.1743,2.1743,-0.2063,8.93e-4,0.896578,TRUE
AKR1C1,Partially Reversed,-2.179,2.179,-0.3231,0,0.761548,FALSE
RBP4,Partially Reversed,-2.2028,2.2028,-0.2286,0,0.839729,TRUE
DEFA3,Partially Reversed,-2.2303,2.2303,-0.2132,0,0.881481,TRUE
S100A11,Partially Reversed,-2.261,2.261,-0.0281,0,0.998303,TRUE
STOM,Partially Reversed,-2.2901,2.2901,-0.1033,0,0.973166,FALSE
GNG2,Partially Reversed,-2.3182,2.3182,-0.832,2.4e-5,0.109753,TRUE
S100A4,Partially Reversed,-2.3336,2.3336,-0.2642,0,0.813409,FALSE
SNCG,Partially Reversed,-2.3412,2.3412,-0.3352,0,0.777132,TRUE
LXN,Partially Reversed,-2.3506,2.3506,-0.1428,0,0.93772200000000006,TRUE
IGLV1-51,Partially Reversed,-2.3581,2.3581,-0.3347,8.65e-4,0.75093,TRUE
C4A,Partially Reversed,-2.3688,2.3688,-0.1182,0,0.967454,TRUE
S100A8,Partially Reversed,-2.3813,2.3813,-0.3131,0,0.789666,FALSE
ANK1,Partially Reversed,-2.4933,2.4933,-0.0657,0,0.990668,FALSE
HSPA12A,Partially Reversed,-2.5061,2.5061,-0.1841,0,0.927399,TRUE
TAGLN,Partially Reversed,-2.5159,2.5159,-0.0381,0,0.996766,FALSE
TKT,Partially Reversed,-2.5201,2.5201,-0.2862,0,0.811863,FALSE
MCAM,Partially Reversed,-2.5595,2.5595,-0.7017,0,0.29788,TRUE
SAA4,Partially Reversed,-2.58,2.58,-0.064,5.5e-5,0.990983,TRUE
S100B,Partially Reversed,-2.5842,2.5842,-0.7839,0.020023,0.430154,TRUE
ANXA1,Partially Reversed,-2.6086,2.6086,-0.0868,0,0.986214,FALSE
SERPINA1,Partially Reversed,-2.6581,2.6581,-0.133,0,0.966775,FALSE
FABP4,Partially Reversed,-2.674,2.674,-0.4843,0,0.658364,FALSE
FASN,Partially Reversed,-2.721,2.721,-0.9017,3.9e-4,0.098189,TRUE
JCHAIN,Partially Reversed,-2.7257,2.7257,-0.1002,0,0.984464,TRUE
SLC2A1,Partially Reversed,-2.7484,2.7484,-0.0037,0,0.999971,TRUE
ORM1,Partially Reversed,-2.7842,2.7842,-0.0498,0,0.995307,FALSE
CAT,Partially Reversed,-2.8392,2.8392,-0.3581,0,0.685573,FALSE
S100A9,Partially Reversed,-2.8558,2.8558,-0.4376,0,0.598577,FALSE
IGHA2,Partially Reversed,-2.8817,2.8817,-0.3601,0,0.687181,TRUE
VIM,Partially Reversed,-2.97,2.97,-0.0785,0,0.990949,FALSE
APOC1,Partially Reversed,-2.9839,2.9839,-0.3084,1e-6,0.830246,TRUE
CAVIN3,Partially Reversed,-3.0109,3.0109,-0.8164,1.1e-5,0.121156,TRUE
AOC3,Partially Reversed,-3.0182,3.0182,-0.5425,0,0.525565,FALSE
IGKV3-11,Partially Reversed,-3.0261,3.0261,-0.4596,0,0.485564,TRUE
S100A6,Partially Reversed,-3.1368,3.1368,-0.2566,0,0.89824,TRUE
ALB,Partially Reversed,-3.1371000000000002,3.1371000000000002,-0.4069,0,0.72621,FALSE
MGST1,Partially Reversed,-3.1616,3.1616,-0.514,1e-6,0.594989,TRUE
CLU,Partially Reversed,-3.192,3.192,-0.0479,0,0.99531,FALSE
IGHG1,Partially Reversed,-3.1998,3.1998,-0.0146,0,0.999643,FALSE
IGHG2,Partially Reversed,-3.3738,3.3738,-0.0365,0,0.997786,FALSE
PHGDH,Partially Reversed,-3.4033,3.4033,-0.1158,0,0.975912,TRUE
IGKC,Partially Reversed,-3.4542,3.4542,-0.1072,0,0.979568,FALSE
IGKV3-15,Partially Reversed,-3.4644,3.4644,-0.1958,0,0.91639,TRUE
HBB,Partially Reversed,-3.5681,3.5681,-0.6169,0,0.493316,FALSE
ADIRF,Partially Reversed,-3.5983,3.5983,-1.0409,0,0.067833,TRUE
SNCA,Partially Reversed,-3.6614,3.6614,-0.0656,0,0.9916,FALSE
HBG2,Partially Reversed,-3.7262,3.7262,-0.1216,0,0.981384,TRUE
COMP,Partially Reversed,-3.7712,3.7712,-0.1454,0,0.972831,TRUE
HBA1,Partially Reversed,-3.806,3.806,-0.5939,0,0.520022,FALSE
PLIN1,Partially Reversed,-4.1417,4.1417,-0.8213,0,0.31522,TRUE
IGHM,Persistent,3.6335,3.6335,0.3323,0,0.807767,FALSE
IGKV3-20,Persistent,3.5578,3.5578,0.038,0,0.997187,FALSE
IGHA1,Persistent,3.3611,3.3611,0.0772,0,0.990313,TRUE
IGLC2,Persistent,3.3511,3.3511,3e-4,0,1,FALSE
HP,Persistent,3.2795,3.2795,0.0338,0,0.998232,FALSE
C3,Persistent,3.1919,3.1919,0.142,0,0.958976,FALSE
CFH,Persistent,3.1883,3.1883,0.0935,0,0.979178,FALSE
A2M,Persistent,3.1786,3.1786,0.217,0,0.901494,FALSE
ITIH4,Persistent,3.0794,3.0794,0.1813,0,0.927262,FALSE
IGHV3-7,Persistent,3.0643,3.0643,0.3099,0,0.783409,FALSE
SERPING1,Persistent,3.011,3.011,0.1622,0,0.939292,FALSE
APOL1,Persistent,2.9092,2.9092,0.218,0,0.898736,TRUE
COL1A2,Persistent,2.8997,2.8997,0.3006,0.002621,0.877464,TRUE
APOC2,Persistent,2.7955,2.7955,0.2211,0,0.87573,TRUE
APOE,Persistent,2.779,2.779,0.2662,0,0.830466,FALSE
THBS4,Persistent,2.7714,2.7714,0.6528,2.4e-5,0.407287,TRUE
APOM,Persistent,2.7683,2.7683,0.2247,0,0.914123,TRUE
PPBP,Persistent,2.7628,2.7628,0.2565,1e-6,0.855499,TRUE
SERPINA3,Persistent,2.7577,2.7577,0.1073,0,0.970689,FALSE
THBS1,Persistent,2.7118,2.7118,0.1485,4.4e-5,0.953653,TRUE
CP,Persistent,2.7087,2.7087,0.305,0,0.759215,FALSE
PRELP,Persistent,2.6865,2.6865,0.0559,0,0.995193,FALSE
TF,Persistent,2.6639,2.6639,0.0349,0,0.997564,FALSE
PNP,Persistent,2.6614,2.6614,0.1044,0,0.971381,FALSE
IGHG3,Persistent,2.6349,2.6349,0.0246,0,0.998938,TRUE
CFB,Persistent,2.5438,2.5438,0.178,0,0.918483,FALSE
FN1,Persistent,2.5227,2.5227,0.0922,0,0.979416,TRUE
IGKV4-1,Persistent,2.4616,2.4616,0.1684,0,0.935971,TRUE
SPARC,Persistent,2.4212,2.4212,0.0059,0,0.999902,TRUE
TTR,Persistent,2.4176,2.4176,0.0042,0,0.999962,FALSE
AGT,Persistent,2.4073,2.4073,0.3483,0,0.653387,FALSE
IGLV1-40,Persistent,2.3728,2.3728,0.0367,0,0.997226,TRUE
RCN3,Persistent,2.3499,2.3499,0.5567,1.05e-4,0.570535,TRUE
CFI,Persistent,2.346,2.346,0.0898,0,0.977933,TRUE
ARPC5,Persistent,2.273,2.273,0.0398,0,0.995694,TRUE
C1QC,Persistent,2.234,2.234,0.4903,0,0.496534,TRUE
SERPINF2,Persistent,2.1775,2.1775,0.1005,0,0.970668,FALSE
C1QB,Persistent,2.1543,2.1543,0.5071,1e-6,0.450739,TRUE
C1S,Persistent,2.1102,2.1102,0.1306,1.5e-5,0.959947,TRUE
DCN,Persistent,2.0651,2.0651,0.0904,0,0.984885,FALSE
SERPINF1,Persistent,2.0636,2.0636,0.209,0,0.865218,FALSE
OGN,Persistent,2.032,2.032,0.4053,0,0.593155,TRUE
HPR,Persistent,2.0227,2.0227,0.3304,1.7e-5,0.74597,TRUE
LUM,Persistent,1.9945,1.9945,0.1074,0,0.974322,FALSE
FBLN1,Persistent,1.9805,1.9805,0.1578,0,0.912312,FALSE
LRG1,Persistent,1.9173,1.9173,0.1007,0,0.972653,FALSE
CD44,Persistent,1.9167,1.9167,0.563,0.001249,0.471244,TRUE
COL6A1,Persistent,1.9144,1.9144,0.0654,4e-6,0.992057,TRUE
CORO1C,Persistent,1.9121,1.9121,0.1196,2.1e-5,0.964049,TRUE
GLIPR2,Persistent,1.8977,1.8977,0.0205,2e-6,0.999095,TRUE
SH3BGRL,Persistent,1.8844,1.8844,0.2206,0,0.843291,FALSE
TMOD3,Persistent,1.8701,1.8701,0.4587,7.5e-4,0.407922,TRUE
LCP1,Persistent,1.865,1.865,0.0268,0,0.99841,FALSE
ACLY,Persistent,1.8193,1.8193,0.1987,0.006331,0.891022,TRUE
SFXN3,Persistent,1.8156,1.8156,0.0849,0,0.96542,TRUE
CLEC3B,Persistent,1.804,1.804,0.2565,0,0.792156,FALSE
ADD1,Persistent,1.7863,1.7863,0.0336,0,0.996534,TRUE
AEBP1,Persistent,1.7765,1.7765,0.7863,0.004348,0.21248,TRUE
APOD,Persistent,1.7503,1.7503,0.1572,0,0.936703,FALSE
EFEMP1,Persistent,1.7278,1.7278,0.1319,0,0.947176,TRUE
GPNMB,Persistent,1.7276,1.7276,0.7229,0.00116,0.237461,TRUE
FBXO7,Persistent,1.721,1.721,0.3001,0,0.690643,TRUE
KLKB1,Persistent,1.7147,1.7147,0.0996,0.005424,0.977115,TRUE
CD34,Persistent,1.6965,1.6965,0.0495,9e-5,0.991168,TRUE
S100A10,Persistent,1.6817,1.6817,0.1028,3e-6,0.974742,FALSE
PTBP1,Persistent,1.6525,1.6525,0.1128,1e-6,0.964611,TRUE
CNN1,Persistent,1.6491,1.6491,0.2227,0.002268,0.873846,TRUE
BGN,Persistent,1.6417,1.6417,0.536,4.2e-5,0.373066,TRUE
CAPG,Persistent,1.6286,1.6286,0.4283,0.001236,0.636403,TRUE
SH3BGRL3,Persistent,1.6147,1.6147,0.2544,0,0.773685,TRUE
LGALS3BP,Persistent,1.6092,1.6092,0.1636,0,0.913138,TRUE
CLIC1,Persistent,1.6017,1.6017,0.0462,0,0.992201,FALSE
ASPN,Persistent,1.5927,1.5927,0.661,1.18e-4,0.24196,TRUE
VAT1,Persistent,1.5897,1.5897,0.1175,0,0.958142,FALSE
AKR1C3,Persistent,1.5815,1.5815,0.0596,7e-6,0.991273,FALSE
AKAP12,Persistent,1.5801,1.5801,0.1602,0,0.915577,FALSE
ACTN4,Persistent,1.5778,1.5778,0.2898,4e-6,0.761466,FALSE
ADPRH,Persistent,1.5648,-1.5648,-0.1431,2e-6,0.940291,TRUE
ACTB,Persistent,1.5433,1.5433,0.0682,2.38e-4,0.99067,FALSE
CALD1,Persistent,1.5413,1.5413,0.2639,9e-6,0.774702,TRUE
GSN,Persistent,1.5312,1.5312,0.0862,1e-6,0.978199,FALSE
C1R,Persistent,1.5305,1.5305,0.1187,0.002823,0.955779,TRUE
F13A1,Persistent,1.5278,1.5278,0.3069,4e-6,0.716273,FALSE
FSCN1,Persistent,1.5064,1.5064,0.5673,0,0.126129,FALSE
CNN2,Persistent,1.4793,1.4793,0.0616,5.75e-4,0.990438,TRUE
MARCKS,Persistent,1.4792,1.4792,0.0684,0,0.982617,TRUE
C2,Persistent,1.4765,1.4765,0.0748,0.013117,0.985518,TRUE
C8G,Persistent,1.4661,1.4661,0.2387,3e-6,0.803423,TRUE
TPM4,Persistent,1.4611,1.4611,0.3474,1e-6,0.585931,FALSE
TAGLN2,Persistent,1.4352,1.4352,0.0834,0,0.974954,FALSE
CTSH,Persistent,1.4286,1.4286,0.2784,0.022829,0.791628,TRUE
CNN3,Persistent,1.3693,1.3693,0.2075,7.55e-4,0.879105,TRUE
FLNA,Persistent,1.3649,1.3649,0.0013,2e-6,0.999995,FALSE
PGM2,Persistent,1.3576,1.3576,0.1134,1e-6,0.945117,TRUE
CAP1,Persistent,1.3253,1.3253,0.0408,1e-6,0.99395,FALSE
CORO1B,Persistent,1.3115,1.3115,0.0232,0.003466,0.998659,TRUE
LAMB2,Persistent,1.3049,1.3049,0.0973,0.002252,0.980061,TRUE
SULT1A1,Persistent,1.2993,1.2993,0.0564,3.4e-4,0.991027,TRUE
ARHGAP1,Persistent,1.2939,1.2939,0.2449,0,0.702591,FALSE
COL6A3,Persistent,1.2814,1.2814,0.5486,0.00679,0.429459,FALSE
RAB23,Persistent,1.2325,1.2325,0.4527,0.037846,0.676862,TRUE
GNAI2,Persistent,1.2127,1.2127,0.0083,6.2e-5,0.999782,FALSE
CST3,Persistent,1.2116,1.2116,0.074,3.53e-4,0.984038,TRUE
TGFBI,Persistent,1.2071,1.2071,0.119,0.001948,0.962812,TRUE
MPP1,Persistent,1.1717,1.1717,0.1241,2.85e-4,0.949084,TRUE
NID1,Persistent,1.1605,1.1605,0.0592,0.004146,0.99119,TRUE
SMTNL1,Persistent,1.1475,-1.1475,-0.4392,2.5e-4,0.355842,TRUE
TMOD1,Persistent,1.136,1.136,0.3468,0.001163,0.613658,TRUE
PICALM,Persistent,1.1145,1.1145,0.176,0.001185,0.890383,TRUE
TNXB,Persistent,1.108,1.108,0.2778,0.010724,0.769596,TRUE
MUSTN1,Persistent,1.1073,1.1073,0.4383,0.00998,0.526247,TRUE
PLN,Persistent,1.0984,-1.0984,-0.1128,8.54e-4,0.958149,TRUE
PLS3,Persistent,1.0967,1.0967,0.2043,4.24e-4,0.835895,FALSE
AP2A2,Persistent,1.0648,1.0648,0.1752,9.06e-4,0.865351,TRUE
GYPC,Persistent,1.0567,1.0567,0.2169,0.002226,0.833193,TRUE
PPIB,Persistent,1.0554,1.0554,0.2379,6.01e-4,0.767078,FALSE
AQP1,Persistent,1.051,1.051,0.0514,0.012977,0.991638,TRUE
ADPRHL1,Persistent,1.0425,-1.0425,-0.0307,9.44e-4,0.996805,TRUE
BTD,Persistent,1.0401,1.0401,0.0201,0.001059,0.998658,FALSE
PDIA3,Persistent,1.0351,1.0351,0.01,6.33e-4,0.999656,FALSE
KCTD12,Persistent,1.0288,1.0288,0.1237,9.8e-5,0.927965,TRUE
DBNL,Persistent,1.0168,1.0168,0.0443,1.13e-4,0.991327,TRUE
ACAD8,Persistent,0.9891,-0.9891,-0.1988,0.002981,0.84934,TRUE
DPYSL2,Persistent,0.9766,0.9766,0.0708,0.001059,0.980002,FALSE
LRRC59,Persistent,0.9744,0.9744,0.1399,0.002368,0.928555,TRUE
CTSG,Persistent,0.9585,0.9585,0.6752,0.045759,0.167441,TRUE
MYH9,Persistent,0.9563,0.9563,0.0532,0.002021,0.989374,FALSE
STEAP4,Persistent,0.9407,0.9407,0.3874,0.00189,0.586042,TRUE
MPC2,Persistent,0.94,-0.94,-0.1535,0.002205,0.899094,TRUE
TPSB2,Persistent,0.9373,0.9373,0.1918,0.036795,0.902742,TRUE
LAMP1,Persistent,0.9358,0.9358,0.21560000000000001,0.014681,0.852054,TRUE
ANXA4,Persistent,0.9351,0.9351,0.2734,0.001103,0.640359,FALSE
EHD4,Persistent,0.9078,0.9078,0.1511,0.003978,0.89959,TRUE
TXLNB,Persistent,0.9018,-0.9018,-0.1335,0.03559,0.949211,TRUE
MANF,Persistent,0.8772,0.8772,0.3212,0.041323,0.693648,TRUE
ARPC3,Persistent,0.8709,0.8709,0.2258,0.010426,0.792102,FALSE
AP1B1,Persistent,0.8687,0.8687,0.6702,0.022886,0.071293,TRUE
IQGAP1,Persistent,0.8654,0.8654,0.3972,0.007496,0.383758,FALSE
DMAC2L,Persistent,0.8608,-0.8608,-0.0589,0.002259,0.985029,TRUE
ECHDC1,Persistent,0.8587,0.8587,2e-4,0.009987,1,TRUE
NUBP2,Persistent,0.8569,0.8569,0.6268,0.016709,0.156383,TRUE
HSPA2,Persistent,0.8431,-0.8431,-0.0623,0.020462,0.986828,TRUE
MYL9,Persistent,0.8358,0.8358,0.4446,0.022322,0.324498,TRUE
JSRP1,Persistent,0.8354,-0.8354,-0.0969,0.013316,0.963718,TRUE
UBE2O,Persistent,0.8113,0.8113,0.1957,0.013493,0.831557,TRUE
LPP,Persistent,0.8005,0.8005,0.0326,0.007307,0.995506,TRUE
IMPA2,Persistent,0.798,-0.798,-0.0967,0.046565,0.969943,TRUE
NCLN,Persistent,0.7962,0.7962,0.1488,0.022128,0.928461,TRUE
MYL12B,Persistent,0.7929,0.7929,0.1633,0.004108,0.852272,FALSE
DBT,Persistent,0.7848,-0.7848,-0.0877,0.005768,0.963435,TRUE
DIABLO,Persistent,0.778,-0.778,-0.0865,0.002144,0.956696,TRUE
TTLL12,Persistent,0.7748,0.7748,0.0446,0.022176,0.993245,TRUE
ARPP19,Persistent,0.7685,-0.7685,-0.2172,0.003584,0.71683,TRUE
SEPTIN7,Persistent,0.7684,0.7684,0.0787,0.010121,0.971092,FALSE
NME2,Persistent,0.7649,0.7649,0.0768,0.004457,0.96859,FALSE
STX4,Persistent,0.7637,-0.7637,-0.491,0.012028,0.321599,TRUE
BOLA2,Persistent,0.7612,0.7612,0.0689,0.010324,0.977016,TRUE
C11orf54,Persistent,0.7577,-0.7577,-0.0206,0.025702,0.998429,FALSE
SLC37A4,Persistent,0.7576,-0.7576,-0.0068,0.008481,0.999812,TRUE
RPL14,Persistent,0.7508,0.7508,0.1193,0.046842,0.948403,TRUE
ENDOG,Persistent,0.7423,-0.7423,-0.2404,0.046993,0.771225,TRUE
RPL27A,Persistent,0.7416,0.7416,0.0486,0.017733,0.989797,FALSE
ARF1,Persistent,0.7347,0.7347,0.0366,0.00962,0.993628,FALSE
CLIC4,Persistent,0.7248,0.7248,0.1636,0.010587,0.847564,FALSE
DNAJB1,Persistent,0.7248,0.7248,0.2281,0.035462,0.766364,TRUE
SEPTIN11,Persistent,0.7229,0.7229,0.1519,0.01776,0.883007,TRUE
PGLS,Persistent,0.7158,0.7158,0.0281,0.002982,0.995454,FALSE
RYR1,Persistent,0.7131,-0.7131,-0.0875,0.032766000000000003,0.966805,TRUE
CAND2,Persistent,0.7085,-0.7085,-0.1631,0.029658,0.871309,TRUE
PTER,Persistent,0.6917,-0.6917,-0.0325,0.013495,0.995819,TRUE
CACNB1,Persistent,0.6837,-0.6837,-0.061,0.034437,0.983702,TRUE
ISOC1,Persistent,0.6783,-0.6783,-0.115,0.011806,0.921975,TRUE
PPCS,Persistent,0.6758,0.6758,0.0992,0.00492,0.940882,TRUE
BLVRA,Persistent,0.6752,0.6752,0.0485,0.014169,0.987465,FALSE
KPNA1,Persistent,0.6641,-0.6641,-0.1216,0.035961,0.927369,TRUE
AKAP1,Persistent,0.6391,-0.6391,-0.1392,0.040473,0.905904,TRUE
MAPRE3,Persistent,0.6357,-0.6357,-0.0573,0.030479,0.983827,TRUE
NEK9,Persistent,0.6325,-0.6325,-0.2996,0.012313,0.472443,TRUE
ACTR2,Persistent,0.6227,0.6227,0.1618,0.005875,0.777024,FALSE
CLTC,Persistent,0.6225,0.6225,0.207,0.042702,0.749679,FALSE
CLASP2,Persistent,0.6225,-0.6225,-0.1433,0.022838,0.883799,TRUE
PPID,Persistent,0.6208,-0.6208,-0.0167,0.035836,0.998759,TRUE
AP2A1,Persistent,0.5944,0.5944,0.0991,0.011493,0.923473,FALSE
ACTR3,Persistent,0.5847,0.5847,0.2137,0.020015,0.645172,FALSE
FYCO1,Persistent,0.5794,-0.5794,-0.1418,0.043994,0.874027,TRUE
MAOB,Persistent,0.578,-0.578,-0.104,0.032255,0.927483,FALSE
EIF3C,Persistent,0.4796,-0.4796,-0.0139,0.038973,0.998665,TRUE
THY1,Exacerbated,2.511,2.511,0.9494,0,0.015241,TRUE
