gene,quadrant,sig_cat,logFC_CRE,logFC_PLA,pi_CRE,pi_PLA
FTL,Concordant Up,Both,2.32779833165115,2.2332084318835,5.59663504201068e-11,2.2361155934054466e-8
THY1,Concordant Up,Both,1.48435527922349,1.40772855090104,2.59006839633907e-4,0.00241508847862498
LAMA2,Concordant Up,CRE,1.33108196034867,0.287060226898408,0.01942450304542684,0.890564647314624
MYOZ1,Concordant Up,PLA,1.15519486562198,1.73231910840765,0.12502904027389594,0.00991575012388724
S100A13,Concordant Up,CRE,1.15079903564441,0.467851721751686,1.273715769089151e-4,0.4327286874819197
COL15A1,Concordant Up,CRE,1.05243671449174,0.188876715721207,0.04839787892575586,0.9458351356477832
HIST2H2BE,Concordant Up,CRE (q<0.10),0.998656090602513,0.897219725444831,0.06221901064377158,0.10782997853661928
CTSG,Concordant Up,CRE (q<0.10),0.973948602278938,0.56870668337837,0.05118534934229731,0.5508037818054783
ASPN,Concordant Up,PLA,0.930995218495706,1.3128375299883,0.14407357524106365,0.01876773253451578
BGN,Concordant Up,PLA (q<0.10),0.898902323429752,0.985913839891257,0.1122865789008017,0.07342530841814791
COL6A3,Concordant Up,PLA (q<0.10),0.897310024192382,1.24558543493351,0.19165073498439653,0.05332939096612296
BDH2,Concordant Up,CRE,0.777333376219197,0.136735795304347,0.01655403914024847,0.9543494462001528
DARS2,Concordant Up,CRE,0.760037919471564,0.736249033979465,0.04781561137744264,0.07988251526683697
FSCN1,Concordant Up,CRE (q<0.10),0.749550407942234,0.745128438389504,0.08463013991845882,0.13985185809869216
ATG7,Concordant Up,CRE,0.731571531619592,0.163294423381757,0.02407333533522314,0.9510130919742305
ARCN1,Concordant Up,CRE,0.731040446788466,0.207592020571262,0.00117643135331067,0.7452779358140518
MYBPH,Concordant Up,PLA (q<0.10),0.706221397703771,1.13612526237115,0.40798056866921945,0.0880611545502526
FTH1,Concordant Up,CRE (q<0.10),0.694283550940096,0.294010038062595,0.06009456407525671,0.7420569363984801
ACTR2,Concordant Up,CRE (q<0.10),0.501556165408736,0.0664633397073047,0.0860168461365953,0.9804502556738836
NT5C2,Concordant Up,PLA (q<0.10),0.501413505242287,0.773219676490713,0.27835829932656697,0.08391676017801417
SYNCRIP,Concordant Up,CRE (q<0.10),0.480283418511959,0.383774221809905,0.05483093494587589,0.2552758646193754
SYNM,Concordant Up,PLA (q<0.10),0.465207559336573,0.936984908664837,0.5247764449640188,0.07330343897571832
MYL9,Concordant Up,PLA (q<0.10),0.445905081427821,0.869374036610349,0.4903084875637864,0.05766789659304958
AP1B1,Concordant Up,PLA (q<0.10),0.341713097329372,0.844668541323315,0.6282231424340508,0.05012281169250835
CSRP3,Concordant Up,PLA (q<0.10),0.290842774019854,0.680321563138317,0.6280091960224297,0.05531336686144923
ARPC3,Concordant Up,PLA,0.260380438790424,0.805015500201364,0.7700521040092525,0.04605425869337677
SMS,Concordant Up,PLA (q<0.10),0.252877720158885,0.788240822379269,0.7655113588853969,0.05395054251850858
C6orf136,Concordant Up,PLA,0.248795115865672,1.65070445475855,0.913251679552048,8.553203148344421e-4
PICALM,Concordant Up,PLA (q<0.10),0.223778995136012,0.855263570064839,0.8412161544254126,0.05044412721794335
LNPEP,Concordant Up,PLA,0.206464999612939,0.740197898695167,0.8152653540934709,0.04063167480444676
GET4,Concordant Up,PLA (q<0.10),0.157462187057737,0.84808607949366,0.9224038734748582,0.08951507472530695
GMFB,Concordant Up,PLA,0.156704361767986,1.17142026302654,0.9430480218103284,0.00348095083464605
CTBP1,Concordant Up,PLA,0.13581812217857,1.0323456795299,0.9198357908125052,0.01133490310055626
IL18,Concordant Up,PLA,0.127833789514977,1.55987583476249,0.9539057217834764,8.918442836574809e-4
CRADD,Concordant Up,PLA (q<0.10),0.0696608001501389,1.0364055369316,0.991537582796252,0.0744925088842888
PMM2,Concordant Up,PLA,0.0653964227864385,0.654641507968531,0.9798596018123338,0.03669202362691248
CNIH4,Concordant Up,PLA (q<0.10),0.00861452403330532,0.612651029095488,0.99970822047861,0.07980991120994764
CBFB,Concordant Down,PLA,-0.0176101421183432,-0.67773723041795,0.99874854180086,0.04601830168490675
GNPDA1,Concordant Down,PLA (q<0.10),-0.0405117875392413,-0.462363083204409,0.9876566034195304,0.06359985116207713
IMPDH2,Concordant Down,PLA (q<0.10),-0.066414595884492,-0.45689179253424,0.9659101593737854,0.06878905896843127
TMX4,Concordant Down,PLA,-0.0708706832482697,-0.857172074730386,0.9779763445101384,0.0033265327665989
EIF4E,Concordant Down,PLA (q<0.10),-0.0725080229044792,-0.461890080718213,0.9611490290665656,0.08630181628602449
DCUN1D1,Concordant Down,PLA,-0.10451871585488,-0.771229936985399,0.961360346068097,0.04199246132894797
ZADH2,Concordant Down,PLA,-0.113999529445177,-0.892724915518215,0.9447685021912418,0.00336985779796182
SUOX,Concordant Down,PLA (q<0.10),-0.170780748368095,-0.59175381972776,0.8556571405497738,0.08115422506580804
PYGL,Concordant Down,PLA (q<0.10),-0.177253379802622,-0.567549775666592,0.8121494801665743,0.06658848283476466
