"contrast","Cancer_vs_Healthy","Training_CR","Baseline_Supplement","Training_CRE","Training_PLA","Supplement_Interaction"
"Cancer_vs_Healthy",1,-0.451662404092072,-0.818122031421264,0.513080014614542,-0.801278772378517,0.819145049324078
"Training_CR",-0.451662404092072,1,0.336436007348438,0.239646575102791,0.699133934039017,-0.348788382468725
"Baseline_Supplement",-0.818122031421264,0.336436007348438,1,-0.567946811302598,0.798092905257633,-0.87094742367247
"Training_CRE",0.513080014614542,0.239646575102791,-0.567946811302598,1,-0.330592249147056,0.685171900971044
"Training_PLA",-0.801278772378517,0.699133934039017,0.798092905257633,-0.330592249147056,1,-0.836199807540898
"Supplement_Interaction",0.819145049324078,-0.348788382468725,-0.87094742367247,0.685171900971044,-0.836199807540898,1
