"gene","uniprot_id","logFC_CvH","pval_CvH","cancer_dir","logFC_Training_CRE","logFC_Training_PLA","P.Value_Training_CRE","P.Value_Training_PLA","logFC_Supplement_Interaction","P.Value_Supplement_Interaction","delta_from_identity"
"CAV2","P51636",1.71007432901375,0.00116013246484893,"Cancer Up",1.63363079603539,-2.02602454029456,0.0226781126764632,0.0210687156786773,3.65965533632995,0.00219921007430766,3.65965533632995
"AOX1","Q06278",1.54159693548712,0.025777237266755,"Cancer Up",0.779800074833766,-2.31780651312995,0.180887348719384,0.0113988993190151,3.09760658796371,0.00623087362172596,3.09760658796372
"TUBB4A","P04350",1.8677410797848,0.00104428842259548,"Cancer Up",0.320155123425833,-2.58581990533008,0.43393015214943,0.0025115367389076,2.90597502875591,0.00298170198165746,2.90597502875591
"ATL3","Q6DD88",3.4102745785537,2.02680425203908e-05,"Cancer Up",0.304070268813572,-2.27474800856197,0.48053634783384,0.00049474020294484,2.57881827737555,0.00135431198764273,2.57881827737554
"HBA1","P69905",3.80600494195684,7.89479937167836e-06,"Cancer Up",0.686300261327286,-1.89163964930727,0.463875570044585,0.0575950823415836,2.57793991063456,0.0624652150474772,2.57793991063456
"COL6A2","P12110",2.16123117585332,0.00040902641050505,"Cancer Up",0.89969949607045,-1.60277880204915,0.151270120840829,0.0216248573244828,2.5024782981196,0.00973791287536297,2.5024782981196
"MYL3","P08590",-1.34189890066721,0.030353893067322,"Cancer Down",-0.578440340190234,1.88151042502945,0.452063669665825,0.0232487385132346,-2.45995076521968,0.032021040225775,-2.45995076521968
"FABP4","P15090",2.67401379255415,0.00071988295817512,"Cancer Up",0.737457496448407,-1.70798506460927,0.432670755786295,0.0854033324268103,2.44544256105768,0.0770002299986751,2.44544256105768
"HBB","P68871",3.56814918246507,2.42986015344488e-05,"Cancer Up",0.54921885744848,-1.80521183518442,0.562461899809819,0.0728971541941843,2.3544306926329,0.0914961912264695,2.3544306926329
"ALYREF","Q86V81",0.95126149726082,0.0242982316993116,"Cancer Up",0.728852310984539,-1.59549453176995,0.167786744987467,0.0453169512613531,2.32434684275449,0.0219057513528233,2.32434684275449
"GGT5","P36269",1.36873448898402,0.00141540820868798,"Cancer Up",0.661583198846458,-1.60968658476086,0.0133198587063968,1.91408162329025e-05,2.27126978360732,7.0930036355249e-06,2.27126978360732
"TNKS1BP1","Q9C0C2",2.16376983887625,0.00316572332657602,"Cancer Up",0.525568979925382,-1.73447470412638,0.316692344521031,0.0128996309949058,2.26004368405176,0.0125053822817005,2.26004368405176
"HBG2","P69892",3.72618345456958,0.00033027432208542,"Cancer Up",0.947401348385139,-1.19362433618634,0.357102108888606,0.227550522311606,2.14102568457147,0.137844310515039,2.14102568457148
"ADIRF","Q15847",3.59834505507814,0.00553363350530728,"Cancer Up",0.0274784763431413,-2.10705657793927,0.972922570010423,0.0143918761746157,2.13453505428241,0.071291120415531,2.13453505428241
"G3BP2","Q9UN86",-0.963664143302829,0.0334415854119076,"Cancer Down",-0.0967876698825201,2.02314300006256,0.857199321320306,0.00675604969019901,-2.11993066994508,0.0222658474733803,-2.11993066994508
"MYH2","Q9UKX2",-1.1490022208493,0.0454855033318554,"Cancer Down",-0.290557637095361,1.80655446698731,0.67914614668426,0.0210977453673627,-2.09711210408267,0.0481342619458977,-2.09711210408267
"GPNMB","Q14956",1.72763744290166,0.0199870700791521,"Cancer Up",1.72832430266407,-0.303089873580788,0.0189291503234911,0.677288390878849,2.03141417624486,0.0525868847666571,2.03141417624486
