"pathway","database","contrast","NES","padj","sig_label"
"GOSLIM_MITOCHONDRION_ORGANIZATION","GOSlim","Baseline_Supplement",2.10484639513346,1.61467599784736e-07,"***"
"GOSLIM_MITOCHONDRION_ORGANIZATION","GOSlim","Training_CRE",-1.07615503230901,0.426436504357493,""
"GOSLIM_MITOCHONDRION_ORGANIZATION","GOSlim","Training_PLA",2.08718133399622,3.81323888364624e-07,"***"
"GOSLIM_MITOCHONDRION_ORGANIZATION","GOSlim","Supplement_Interaction",-2.05700346974107,1.11185894306633e-06,"***"
"GOSLIM_AMINO_ACID_METABOLIC_PROCESS","GOSlim","Cancer_vs_Healthy",-1.89694916315245,4.79472372325257e-05,"***"
"GOSLIM_AMINO_ACID_METABOLIC_PROCESS","GOSlim","Training_CR",0.770954904025724,0.913793103448276,""
"GOSLIM_AMINO_ACID_METABOLIC_PROCESS","GOSlim","Baseline_Supplement",1.74789943429618,0.00242027566359026,"**"
"GOSLIM_AMINO_ACID_METABOLIC_PROCESS","GOSlim","Training_CRE",-1.2229024573048,0.277451324329065,""
"GOSLIM_AMINO_ACID_METABOLIC_PROCESS","GOSlim","Training_PLA",1.02900087684754,0.67055343201041,""
"GOSLIM_AMINO_ACID_METABOLIC_PROCESS","GOSlim","Supplement_Interaction",-0.98071210607716,0.662096929909249,""
"GOSLIM_TRNA_METABOLIC_PROCESS","GOSlim","Cancer_vs_Healthy",-2.08557277131202,0.000154892491209659,"***"
"GOSLIM_TRNA_METABOLIC_PROCESS","GOSlim","Training_CR",1.53420798016632,0.108281708509945,""
"GOSLIM_TRNA_METABOLIC_PROCESS","GOSlim","Baseline_Supplement",1.77332908684627,0.013781135157207,"*"
"GOSLIM_TRNA_METABOLIC_PROCESS","GOSlim","Training_CRE",0.685453011777043,0.959823008849558,""
"GOSLIM_TRNA_METABOLIC_PROCESS","GOSlim","Training_PLA",1.62395601796061,0.0442817977088025,"*"
"GOSLIM_TRNA_METABOLIC_PROCESS","GOSlim","Supplement_Interaction",-1.15985353589405,0.444882543371794,""
"HALLMARK_MYOGENESIS","Hallmark","Cancer_vs_Healthy",0.805176507640692,0.870302013422819,""
"HALLMARK_MYOGENESIS","Hallmark","Training_CR",1.56576787934586,0.0411276113767934,"*"
"HALLMARK_MYOGENESIS","Hallmark","Baseline_Supplement",0.7882045388982,0.952353710362864,""
"HALLMARK_MYOGENESIS","Hallmark","Training_CRE",1.22022754194628,0.32421340629275,""
"HALLMARK_MYOGENESIS","Hallmark","Training_PLA",1.36454553492411,0.111922421338739,""
"HALLMARK_MYOGENESIS","Hallmark","Supplement_Interaction",-1.00894785453173,0.642762535477767,""
"GOSLIM_CYTOPLASMIC_TRANSLATION","GOSlim","Cancer_vs_Healthy",-1.34490385520833,0.0549924213717317,""
"GOSLIM_CYTOPLASMIC_TRANSLATION","GOSlim","Training_CR",1.59502560359305,0.0265361094933023,"*"
"GOSLIM_CYTOPLASMIC_TRANSLATION","GOSlim","Baseline_Supplement",0.926469685321984,0.832872444011684,""
"GOSLIM_CYTOPLASMIC_TRANSLATION","GOSlim","Training_CRE",1.5121312820493,0.0590941575844202,""
"GOSLIM_CYTOPLASMIC_TRANSLATION","GOSlim","Training_PLA",0.979830331128243,0.787288467228527,""
"GOSLIM_CYTOPLASMIC_TRANSLATION","GOSlim","Supplement_Interaction",1.07181975639141,0.521098311092577,""
"HALLMARK_MYC_TARGETS_V1","Hallmark","Cancer_vs_Healthy",-0.998465582058082,0.634319368223799,""
"HALLMARK_MYC_TARGETS_V1","Hallmark","Training_CR",1.59131542124009,0.0301228686311583,"*"
